source,target,relations_x,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations_y,compare
ABRAMIS,BRAMA,PARENT-CHILD,54.0,13.81,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACANTHOPAGRUS,BUTCHERI,PARENT-CHILD,3.0,13.77,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACANTHURUS,TRIOSTEGUS,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALBURNUS,ALBURNUS,PARENT-CHILD,28.0,13.92,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMBLOPLITES,RUPESTRIS,PARENT-CHILD,15.0,13.69,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMEIURUS,NEBULOSUS,PARENT-CHILD,5.0,13.62,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMNIATABA,PERCOIDES,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANOLIS,SAGREI,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
APHREDODERUS,SAYANUS,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
APLODINOTUS,GRUNNIENS,PARENT-CHILD,6.0,13.77,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ARAPAIMA,GIGAS,PARENT-CHILD,14.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ARDEA,CINEREA,PARENT-CHILD,4.0,13.67,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ASPIUS,ASPIUS,PARENT-CHILD,7.0,13.9,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ASTROBLEPUS,UBIDIAI,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ASTYANAX,INTERMEDIUS,PARENT-CHILD,11.0,13.6,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ATHERINA,BOYERI,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ATRACTOSTEUS,SPATULA,PARENT-CHILD,6.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBATULA,BARBATULA,PARENT-CHILD,16.0,13.95,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,BARBUS,PARENT-CHILD,59.0,13.61,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BRACHYRHAPHIS,RHABDOPHORA,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
BREVOORTIA,TYRANNUS,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CAMPOSTOMA,ANOMALUM,PARENT-CHILD,16.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARPIODES,CYPRINUS,PARENT-CHILD,4.0,13.83,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CERVUS,ELAPHUS,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHEIMARRICHTHYS,FOSTERI,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
