TAXRANK_target,target,source,TAXRANK_source,relations_y,Hits,Score,data_source_y
,TETRANYCHIDAE,ACARI,,PARENT-CHILD,1.0,13.99,JEFF corpus
,MOLINA,AGRARIA,,CHILD-PARENT,1.0,13.99,JEFF corpus
,GLUTINOSA,ALNUS,,PARENT-CHILD,4.0,13.99,JEFF corpus
,RINELORICARIA,ANCISTRUS,,PARENT-CHILD,1.0,13.99,JEFF corpus
,FENNICA,ANNALES,,PARENT-CHILD,1.0,13.99,JEFF corpus
,NOBILIS,ARISTICHTHYS,,CHILD-PARENT,2.0,13.67,JEFF corpus
,REPRODUCTIVOS,ASPECTOS,,PARENT-CHILD,1.0,13.99,JEFF corpus
,ATHERINOPSIDAE,ATHERINIDAE,,PARENT-CHILD,1.0,13.99,JEFF corpus
,AFRICANA,AZOLLA,,CHILD-PARENT,1.0,13.99,JEFF corpus
,MYRIOPHYLLUM,BATRACHIUM,,CHILD-PARENT,1.0,13.99,JEFF corpus
,LONGISPINA,BOSMINA,,PARENT-CHILD,3.0,13.58,JEFF corpus
,HUCHO,BRACHYMYSTAX,,PARENT-CHILD,1.0,13.99,JEFF corpus
,LONGIMANUS,BYTHOTREPHES,,PARENT-CHILD,8.0,13.83,JEFF corpus
,BAETIDAE,CAENIDAE,,CHILD-PARENT,2.0,13.67,JEFF corpus
,CALLES,CAIOLA,,CHILD-PARENT,1.0,13.99,JEFF corpus
,BATRACHIUM,CALLITRICHE,,PARENT-CHILD,1.0,13.99,JEFF corpus
,CYPRINUS,CARP,,CHILD-PARENT,1.0,13.99,JEFF corpus
,CORREIA,CATARINA,,PARENT-CHILD,1.0,13.99,JEFF corpus
,TABANIDAE,CERATOPOGONIDAE,,PARENT-CHILD,1.0,13.99,JEFF corpus
,ALCYON,CERYLE,,PARENT-CHILD,1.0,13.99,JEFF corpus
,FLAVICANS,CHAOBORUS,,PARENT-CHILD,1.0,13.99,JEFF corpus
,TETRAGONOPTERINAE,CHARACIDAE,,PARENT-CHILD,3.0,13.58,JEFF corpus
,TRICHOMYCTERUS,CHARACIDIUM,,CHILD-PARENT,1.0,13.99,JEFF corpus
,RIPARIUS,CHIRONOMUS,,PARENT-CHILD,1.0,13.99,JEFF corpus
