TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations_x,relations_y,data_source_y,_merge
 SPECIES,LUCIUS,ESOX, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,LAVARETUS,COREGONUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,ALBULA,COREGONUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,CLUPEAFORMIS,COREGONUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,TRUTTA,SALMO, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,MARMORATUS,SALMO, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,SALAR,SALMO, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,NAMAYCUSH,SALVELINUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,CONFLUENTUS,SALVELINUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,ALPINUS,SALVELINUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,MALMA,SALVELINUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,FONTINALIS,SALVELINUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,TSHAWYTSCHA,ONCORHYNCHUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,KISUTCH,ONCORHYNCHUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,GORBUSCHA,ONCORHYNCHUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,MYKISS,ONCORHYNCHUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,NERKA,ONCORHYNCHUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,ARCTICUS,THYMALLUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,THYMALLUS,THYMALLUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,MORDAX,OSMERUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,EPERLANUS,OSMERUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,MACULATUS,GALAXIAS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,MARINUS,PETROMYZON, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,TRIDENTATA,LAMPETRA, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,FLUVIATILIS,LAMPETRA, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,PLANERI,LAMPETRA, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
 SPECIES,CEPHALUS,LEUCISCUS, GENUS,VTO ontology,is_a,PARENT-CHILD,JEFF corpus,both
,BAIRDI,COTTUS,,,,PARENT-CHILD,JEFF corpus,right_only
,POLYMORPHA,DREISSENA,,,,PARENT-CHILD,JEFF corpus,right_only
,TRIDENTATUS,ENTOSPHENUS,,,,PARENT-CHILD,JEFF corpus,right_only
,HOLBROOKI,GAMBUSIA,,,,PARENT-CHILD,JEFF corpus,right_only
,LINNAEUS,LUCIUS,,,,CHILD-PARENT,JEFF corpus,right_only
,GAIRDNERI,SALMO,,,,PARENT-CHILD,JEFF corpus,right_only
,LINNAEUS,SALMO,,,,PARENT-CHILD,JEFF corpus,right_only
,LUCIOPERCA,STIZOSTEDION,,,,PARENT-CHILD,JEFF corpus,right_only
,VITREUM,STIZOSTEDION,,,,PARENT-CHILD,JEFF corpus,right_only
