TAXRANK_target,target,source,TAXRANK_source,relations_y,Hits,Score,data_source_y
,COREGONI,BOSMINA,,PARENT-CHILD,1.0,12.68,JEFF corpus
,LONGISPINA,BOSMINA,,PARENT-CHILD,3.0,13.58,JEFF corpus
,TRICHOPTERA,BOSMINA,,PARENT-CHILD,1.0,12.68,JEFF corpus
,LONGISPINA,BOSRNINA,,CHILD-PARENT,1.0,12.68,JEFF corpus
,HUCHO,BRACHYMYSTAX,,PARENT-CHILD,1.0,13.99,JEFF corpus
,ALBURNUS,BRAMA,,PARENT-CHILD,1.0,9.87,JEFF corpus
,BJOERKNA,BRAMA,,PARENT-CHILD,1.0,10.09,JEFF corpus
,IHERINGI,BRYCONAMERICUS,,PARENT-CHILD,1.0,12.68,JEFF corpus
,LONGIMANUS,BYTHOTREPHES,,PARENT-CHILD,8.0,13.83,JEFF corpus
,BAETIDAE,CAENIDAE,,CHILD-PARENT,2.0,13.67,JEFF corpus
,DAPHNIDAE,CAENIDAE,,CHILD-PARENT,1.0,13.0,JEFF corpus
,CALLES,CAIOLA,,CHILD-PARENT,1.0,13.99,JEFF corpus
,CLADOCERA,CALANOIDA,,CHILD-PARENT,1.0,12.19,JEFF corpus
,BATRACHIUM,CALLITRICHE,,PARENT-CHILD,1.0,13.99,JEFF corpus
,JAPONICA,CAMELLIA,,CHILD-PARENT,1.0,9.21,JEFF corpus
,ESOX,CANADENSIS,,PARENT-CHILD,1.0,11.67,JEFF corpus
,LUCIUS,CANADENSIS,,PARENT-CHILD,1.0,11.67,JEFF corpus
,SANDER,CANADENSIS,,PARENT-CHILD,1.0,11.99,JEFF corpus
,VITREUS,CANADENSIS,,PARENT-CHILD,1.0,11.99,JEFF corpus
,CYPRINUS,CARP,,CHILD-PARENT,1.0,13.99,JEFF corpus
,CORREIA,CATARINA,,PARENT-CHILD,1.0,13.99,JEFF corpus
,ETHEOSTOMA,CATONOTUS,,CHILD-PARENT,1.0,13.41,JEFF corpus
,MORONIDAE,CATOSTOMIDAE,,PARENT-CHILD,1.0,13.41,JEFF corpus
,TELEOSTEI,CATOSTOMIDAE,,PARENT-CHILD,1.0,11.99,JEFF corpus
,COGNATUS,CATOSTOMUS,,PARENT-CHILD,1.0,10.47,JEFF corpus
,COMMERSONI,CATOSTOMUS,,PARENT-CHILD,10.0,12.57,JEFF corpus
,DICOBOLUS,CATOSTOMUS,,PARENT-CHILD,1.0,9.5,JEFF corpus
,GIBBOSUS,CENTRARCHIDAE,,PARENT-CHILD,2.0,9.93,JEFF corpus
,ANNULARIS,CEPEDIANUM,,PARENT-CHILD,1.0,11.3,JEFF corpus
,BERYLLINA,CEPEDIANUM,,PARENT-CHILD,1.0,11.99,JEFF corpus
,DEMERSUM,CERATOPHYLLUM,,PARENT-CHILD,2.0,13.41,JEFF corpus
,FONTINALIS,CERATOPHYLLUM,,PARENT-CHILD,1.0,13.0,JEFF corpus
,TABANIDAE,CERATOPOGONIDAE,,PARENT-CHILD,1.0,13.99,JEFF corpus
,QUADRANGULA,CERIODAPHNIA,,PARENT-CHILD,1.0,13.41,JEFF corpus
,ROTIFERA,CERIODAPHNIA,,PARENT-CHILD,1.0,12.68,JEFF corpus
,ASPIUS,CERNUUS,,PARENT-CHILD,1.0,11.67,JEFF corpus
,MORHUA,CERNUUS,,PARENT-CHILD,1.0,9.95,JEFF corpus
,ALCYON,CERYLE,,PARENT-CHILD,1.0,13.99,JEFF corpus
,FLAVICANS,CHAOBORUS,,PARENT-CHILD,1.0,13.99,JEFF corpus
,CICHLIDAE,CHARACIDAE,,PARENT-CHILD,1.0,11.99,JEFF corpus
,OSTARIOPHYSI,CHARACIDAE,,PARENT-CHILD,1.0,12.41,JEFF corpus
,TETRAGONOPTERINAE,CHARACIDAE,,PARENT-CHILD,3.0,13.58,JEFF corpus
,TRICHOMYCTERUS,CHARACIDIUM,,CHILD-PARENT,1.0,13.99,JEFF corpus
,DIET,CHIRONOMID,,PARENT-CHILD,2.0,12.84,JEFF corpus
,FISH,CHIRONOMID,,PARENT-CHILD,1.0,12.68,JEFF corpus
,IMPORTANCE,CHIRONOMID,,PARENT-CHILD,1.0,13.0,JEFF corpus
,INSECT,CHIRONOMID,,PARENT-CHILD,1.0,13.41,JEFF corpus
