TAXRANK_target,target,source,TAXRANK_source,relations_y,Hits,Score,data_source_y
,FORMICIDAE,HYMENOPTERA,,PARENT-CHILD,1.0,12.41,JEFF corpus
,HYMENOPTERA,HYMENOPTERA,,PARENT-CHILD,1.0,11.83,JEFF corpus
,ORTHOPTERA,HYMENOPTERA,,PARENT-CHILD,1.0,12.68,JEFF corpus
,NOBILIS,HYPOPHTHALMICHLYS,,CHILD-PARENT,1.0,13.0,JEFF corpus
,SALMONIDAE,ICTALURIDAE,,PARENT-CHILD,1.0,11.09,JEFF corpus
,PUNCTATUS,ICTALURIS,,CHILD-PARENT,1.0,10.35,JEFF corpus
,PARVA,INVADER,,CHILD-PARENT,1.0,13.41,JEFF corpus
,PSEUDORASBORA,INVADER,,CHILD-PARENT,1.0,13.41,JEFF corpus
,LONGIMANUS,KINDTII,,CHILD-PARENT,1.0,11.41,JEFF corpus
,SICCULUS,LA.,,CHILD-PARENT,1.0,13.41,JEFF corpus
,SPP,LAMPETRA,,PARENT-CHILD,2.0,9.69,JEFF corpus
,MARGINATUS,LATIPINNU,,CHILD-PARENT,1.0,12.41,JEFF corpus
,LEPIDOPTERA,LEPIDOPTERA,,CHILD-PARENT,1.0,12.41,JEFF corpus
,HIODON,LEPISOSTEUS,,PARENT-CHILD,2.0,11.0,JEFF corpus
,MICROPTERUS,LEPOMIS,,PARENT-CHILD,1.0,13.41,JEFF corpus
,YOPHORUS,LEPORINUS,,PARENT-CHILD,1.0,11.41,JEFF corpus
,KINDTII,LEPTODORA,,PARENT-CHILD,6.0,13.88,JEFF corpus
,ALASKENSE,LETHENTERON,,PARENT-CHILD,1.0,11.67,JEFF corpus
,PYRENAICUS,LEUCISCUS,,PARENT-CHILD,5.0,11.04,JEFF corpus
,INTESTINALIS,LIGULA,,PARENT-CHILD,9.0,13.99,JEFF corpus
,TRICHOPTERA,LONGISPINA,,PARENT-CHILD,1.0,12.68,JEFF corpus
,ESOX,LONTRA,,PARENT-CHILD,1.0,11.67,JEFF corpus
,LUCIUS,LONTRA,,PARENT-CHILD,1.0,11.67,JEFF corpus
,SANDER,LONTRA,,PARENT-CHILD,1.0,11.99,JEFF corpus
,VITREUS,LONTRA,,PARENT-CHILD,1.0,11.99,JEFF corpus
,PIMELODIDAE,LORICARIIDAE,,PARENT-CHILD,1.0,13.41,JEFF corpus
,CATOSTOMUS,LOTA,,PARENT-CHILD,1.0,10.91,JEFF corpus
,LINNEAUS,LOTA,,PARENT-CHILD,4.0,13.19,JEFF corpus
,SALMONIDAE,LOTIDAE,,PARENT-CHILD,2.0,11.99,JEFF corpus
,ALBANICUS,LUCIOBARBUS,,PARENT-CHILD,1.0,13.99,JEFF corpus
,LUCIUS,LUCIOPERCA,,PARENT-CHILD,1.0,11.83,JEFF corpus
,BJOERKNA,LUCIUS,,CHILD-PARENT,1.0,9.35,JEFF corpus
,CYANELLUS,LUCIUS,,CHILD-PARENT,1.0,9.71,JEFF corpus
,FLUVIATILIS,LUCIUS,,CHILD-PARENT,5.0,9.05,JEFF corpus
,LINNAEUS,LUCIUS,,CHILD-PARENT,15.0,11.69,JEFF corpus
,NASUS,LUCIUS,,CHILD-PARENT,1.0,9.09,JEFF corpus
,ALCEDO,LUTRA,,PARENT-CHILD,1.0,12.19,JEFF corpus
,ARDEA,LUTRA,,PARENT-CHILD,1.0,12.19,JEFF corpus
,ATTHIS,LUTRA,,PARENT-CHILD,1.0,12.19,JEFF corpus
,EGRETTA,LUTRA,,PARENT-CHILD,1.0,12.19,JEFF corpus
,GARZETTA,LUTRA,,PARENT-CHILD,1.0,12.19,JEFF corpus
,VARIEGATUS,LYTECHINUS,,CHILD-PARENT,1.0,13.99,JEFF corpus
,PEELLII,MACCULLOCHELLA,,PARENT-CHILD,1.0,10.54,JEFF corpus
,PERCICHTHYIDAE,MACQUARIA,,PARENT-CHILD,1.0,9.71,JEFF corpus
,MACROCHIRUS,MACROCHIRUS,,CHILD-PARENT,1.0,9.14,JEFF corpus
,CHARACIFORMES,MACROPOMUM,,CHILD-PARENT,1.0,13.41,JEFF corpus
,MESOPOTAMICUS,MACULATUS,,PARENT-CHILD,1.0,12.68,JEFF corpus
,NASUTUS,MACULATUS,,PARENT-CHILD,1.0,13.0,JEFF corpus
,AMBIGUA,MAQUARIA,,CHILD-PARENT,1.0,10.6,JEFF corpus
,LINNAEUS,MARINUS,,PARENT-CHILD,4.0,10.0,JEFF corpus
,DIPTERA,MEGALOPTERA,,PARENT-CHILD,1.0,11.3,JEFF corpus
,EPHEMEROPTERA,MEGALOPTERA,,PARENT-CHILD,2.0,12.54,JEFF corpus
,TRICHOPTERA,MEGALOPTERA,,PARENT-CHILD,1.0,10.47,JEFF corpus
,ETHEOSTOMA,MEGALOTIS,,PARENT-CHILD,1.0,12.41,JEFF corpus
,ALBELLUS,MERGUS,,PARENT-CHILD,2.0,13.41,JEFF corpus
,ZEBRA,METRIACLIMA,,PARENT-CHILD,1.0,13.0,JEFF corpus
,DOLOMIEUI,MICROPTERUS,,PARENT-CHILD,8.0,12.19,JEFF corpus
,ETHEOSTOMA,MICROPTERUS,,PARENT-CHILD,1.0,9.27,JEFF corpus
,PIMEPHALES,MIRABILIS,,PARENT-CHILD,1.0,11.99,JEFF corpus
,MIRZA,MIRANDA,,PARENT-CHILD,1.0,13.99,JEFF corpus
,BIVALVIA,MOLLUSCA,,PARENT-CHILD,1.0,13.41,JEFF corpus
,TRICHOPTERA,MOLLUSCA,,PARENT-CHILD,1.0,10.6,JEFF corpus
,MISSISSIPIENSIS,MORONE,,PARENT-CHILD,1.0,10.3,JEFF corpus
,DUQUESNEI,MOXOSTOMA,,PARENT-CHILD,4.0,12.75,JEFF corpus
,MACROLEPIDUM,MOXOSTOMA,,PARENT-CHILD,1.0,11.0,JEFF corpus
,TERAPONTIDAE,MUGILIDAE,,PARENT-CHILD,1.0,13.99,JEFF corpus
,ESOX,MUSTELA,,PARENT-CHILD,1.0,11.99,JEFF corpus
,LUCIUS,MUSTELA,,PARENT-CHILD,1.0,11.99,JEFF corpus
,SPILOPLEURA,MYERSII,,CHILD-PARENT,1.0,13.41,JEFF corpus
,THOMPSONI,MYOXOCEPHALUS,,PARENT-CHILD,1.0,12.19,JEFF corpus
,CERATOPHYLLUM,MYRIOPHYLLUM,,PARENT-CHILD,1.0,12.19,JEFF corpus
,SPICATUM,MYRIOPHYLLUM,,PARENT-CHILD,5.0,13.73,JEFF corpus
,GAMMARIDAE,MYSIDAE,,CHILD-PARENT,1.0,13.41,JEFF corpus
,DILUVANIA,MYSIS,,PARENT-CHILD,1.0,10.35,JEFF corpus
,DILUVIANA,MYSIS,,PARENT-CHILD,8.0,13.0,JEFF corpus
,RELICATA,MYSIS,,PARENT-CHILD,1.0,10.35,JEFF corpus
,RELICTA,MYSIS,,PARENT-CHILD,14.0,13.55,JEFF corpus
,TROSSULUS,MYTILUS,,PARENT-CHILD,1.0,13.41,JEFF corpus
,ROSTRATA,NANA,,PARENT-CHILD,1.0,9.87,JEFF corpus
,PERCA,NATALIS,,PARENT-CHILD,1.0,12.19,JEFF corpus
,AURATUS,NEBULOSUS,,PARENT-CHILD,1.0,9.95,JEFF corpus
,PUNGITIUS,NEOECHINORHYNCHUS,,CHILD-PARENT,1.0,9.35,JEFF corpus
,ELVIRA,NICOLA,,PARENT-CHILD,2.0,13.99,JEFF corpus
,CAMPOSTOMA,NOCOMIS,,PARENT-CHILD,1.0,10.91,JEFF corpus
,PLATYRYNCHUS,NOCOMIS,,PARENT-CHILD,1.0,10.91,JEFF corpus
,HYBOGNATHUS,NOTEMIGONUS,,PARENT-CHILD,1.0,12.68,JEFF corpus
,SPP,NOTHOFAGUS,,CHILD-PARENT,1.0,12.41,JEFF corpus
,GASTROPODA,NOTOSTRACA,,CHILD-PARENT,1.0,13.41,JEFF corpus
,CAERULEUS,NOTROPIS,,PARENT-CHILD,1.0,9.21,JEFF corpus
,CORNUTUS,NOTROPIS,,PARENT-CHILD,1.0,9.14,JEFF corpus
,LUTIPPINIS,NOTROPIS,,PARENT-CHILD,1.0,9.21,JEFF corpus
,LUTRENSIS,NOTROPIS,,PARENT-CHILD,3.0,10.54,JEFF corpus
,NOTROPIS,NOTROPIS,,PARENT-CHILD,2.0,10.16,JEFF corpus
,PERCINA,NOTROPIS,,PARENT-CHILD,1.0,9.06,JEFF corpus
,ROSEIPINNIS,NOTROPIS,,PARENT-CHILD,1.0,9.21,JEFF corpus
,SPILOPTERUS,NOTROPIS,,PARENT-CHILD,1.0,9.21,JEFF corpus
,VENUSTUS,NOTROPIS,,PARENT-CHILD,3.0,10.75,JEFF corpus
,PERCINA,NOTURUS,,PARENT-CHILD,1.0,11.83,JEFF corpus
,LUTEA,NUPHAR,,PARENT-CHILD,2.0,13.67,JEFF corpus
,LUTEUM,NUPHAR,,PARENT-CHILD,1.0,13.0,JEFF corpus
,LOTUS,NYMPHAEA,,PARENT-CHILD,1.0,13.0,JEFF corpus
,MACULATUS,NYMPHAEA,,PARENT-CHILD,1.0,9.24,JEFF corpus
,OSSEUS,OCULATUS,,PARENT-CHILD,1.0,11.3,JEFF corpus
,AMPHIPODA,ODONATA,,PARENT-CHILD,1.0,12.68,JEFF corpus
,DIPTERA,ODONATA,,PARENT-CHILD,1.0,11.3,JEFF corpus
,PLECOPTERA,ODONATA,,PARENT-CHILD,1.0,11.3,JEFF corpus
,TRICHOPTERA,ODONATA,,PARENT-CHILD,1.0,10.47,JEFF corpus
,APPLICATA,OECOLOGIA,,PARENT-CHILD,1.0,13.99,JEFF corpus
,CRUSTACEA,OLIGOCHAETA,,PARENT-CHILD,1.0,13.41,JEFF corpus
,EPHEMEROPTERA,OLIGOCHAETA,,PARENT-CHILD,1.0,11.83,JEFF corpus
,MORONE,OLIVARIS,,PARENT-CHILD,2.0,12.83,JEFF corpus
,PERCA,OLMSTEDI,,CHILD-PARENT,1.0,12.19,JEFF corpus
,CLARKI,ONCHORHYNCHUS,,PARENT-CHILD,2.0,11.3,JEFF corpus
,MYKISS,ONCHORHYNCHUS,,PARENT-CHILD,5.0,9.41,JEFF corpus
,NERKU,ONCHORHYNCHUS,,PARENT-CHILD,1.0,11.3,JEFF corpus
,TSCHAWYTSCHA,ONCHORHYNCHUS,,PARENT-CHILD,1.0,11.19,JEFF corpus
,CLARKI,ONCORHYNCHUS,,PARENT-CHILD,12.0,9.27,JEFF corpus
,GORBUSCHA,ONCORHYNCUS,,CHILD-PARENT,1.0,10.35,JEFF corpus
,KETA,ONCORHYNCUS,,CHILD-PARENT,1.0,10.41,JEFF corpus
,KISUTCH,ONCORHYNCUS,,CHILD-PARENT,4.0,9.72,JEFF corpus
,TSHAWYTSCHA,ONCORHYNCUS,,CHILD-PARENT,2.0,9.16,JEFF corpus
,NOTEMIGONUS,OPSOPOEODUS,,PARENT-CHILD,1.0,13.41,JEFF corpus
,LEPIDOPTERA,ORNATA,,CHILD-PARENT,1.0,12.41,JEFF corpus
,CLADOCERA,ORTHOCLADIINAE,,PARENT-CHILD,1.0,11.99,JEFF corpus
,TANYPODINAE,ORTHOCLADIINAE,,PARENT-CHILD,1.0,13.41,JEFF corpus
,MORDAX,OSMERIDAE,,PARENT-CHILD,2.0,11.41,JEFF corpus
,CATCH,OSSEUS,,PARENT-CHILD,1.0,13.99,JEFF corpus
,HIODON,OSSEUS,,PARENT-CHILD,2.0,12.83,JEFF corpus
,CHARACIFORMES,OSTARIOPHYSI,,PARENT-CHILD,1.0,13.0,JEFF corpus
,DORADIDAE,OSTARIOPHYSI,,PARENT-CHILD,1.0,13.0,JEFF corpus
,CHARACIDAE,OSTEICHTHYES,,PARENT-CHILD,1.0,11.99,JEFF corpus
,CYPINIDAE,OSTEICHTHYES,,PARENT-CHILD,1.0,12.68,JEFF corpus
,DORADIDAE,OSTEICHTHYES,,PARENT-CHILD,1.0,12.41,JEFF corpus
,SILURIFORMES,OSTEICHTHYES,,PARENT-CHILD,1.0,12.68,JEFF corpus
,AFFINIS,OSTRACODA,,PARENT-CHILD,1.0,9.41,JEFF corpus
,CHIRONOMIDAE,OSTRACODA,,PARENT-CHILD,1.0,12.19,JEFF corpus
,DIPTERA,OSTRACODA,,PARENT-CHILD,1.0,11.41,JEFF corpus
,SICYDIINAE,PANNELLA,,CHILD-PARENT,1.0,13.99,JEFF corpus
,DENTATIS,PARALICHTHYS,,PARENT-CHILD,1.0,13.99,JEFF corpus
,MYKISS,PARASALMO,,PARENT-CHILD,5.0,9.45,JEFF corpus
,LUCIOPERCA,PARVA,,PARENT-CHILD,2.0,9.75,JEFF corpus
,NANA,PEDICULUS,,CHILD-PARENT,1.0,13.0,JEFF corpus
,LINNAEUS,PERCA,,PARENT-CHILD,7.0,9.1,JEFF corpus
,THRUCHA,PERCICHTHYS,,PARENT-CHILD,1.0,13.0,JEFF corpus
,CYPRINIDAE,PERCIDAE,,PARENT-CHILD,1.0,10.54,JEFF corpus
,FLUVIATILIS,PERCIDAE,,PARENT-CHILD,2.0,9.74,JEFF corpus
,SALMONIDAE,PERCIDAE,,PARENT-CHILD,2.0,11.54,JEFF corpus
,SILURIDAE,PERCIDAE,,PARENT-CHILD,1.0,11.54,JEFF corpus
,TELEOSTEI,PERCIDAE,,PARENT-CHILD,1.0,11.19,JEFF corpus
,PATHERINA,PERCINA,,PARENT-CHILD,1.0,10.41,JEFF corpus
,PERCINA,PERCINA,,PARENT-CHILD,1.0,10.09,JEFF corpus
,AUSTRALIS,PERCOIDES,,PARENT-CHILD,1.0,11.09,JEFF corpus
,LOTA,PETENYI,,CHILD-PARENT,1.0,9.19,JEFF corpus
,LINNAEUS,PETROMYZON,,PARENT-CHILD,4.0,9.69,JEFF corpus
,SILURIDAE,PETROMYZONTIDAE,,PARENT-CHILD,1.0,13.0,JEFF corpus
,CARBOSINENSIS,PHALACROCORAX,,PARENT-CHILD,1.0,13.41,JEFF corpus
,ARUNDINACEA,PHALAROIDES,,CHILD-PARENT,1.0,13.99,JEFF corpus
,PIMEPHALES,PHENACOBIUS,,PARENT-CHILD,1.0,11.99,JEFF corpus
,PHOXINUS,PHONIXUS,,CHILD-PARENT,1.0,9.24,JEFF corpus
,EOS,PHOSINUS,,CHILD-PARENT,1.0,13.41,JEFF corpus
,CYPRINIDAE,PHOXINUS,,PARENT-CHILD,1.0,11.0,JEFF corpus
,PERCINA,PHOXOCEPHALA,,PARENT-CHILD,1.0,11.99,JEFF corpus
,MINYTREMA,PIMEPHALES,,PARENT-CHILD,1.0,10.0,JEFF corpus
,FLESUS,PLATICHTYS,,CHILD-PARENT,1.0,12.41,JEFF corpus
,HEMIPTERA,PLECOPTERA,,PARENT-CHILD,2.0,11.75,JEFF corpus
,PLECOPTERA,PLECOPTERA,,PARENT-CHILD,1.0,11.0,JEFF corpus
,TRICHOPTERA,PLECOPTERA,,PARENT-CHILD,4.0,12.29,JEFF corpus
,CERATOPHYLLUM,PODOSTEMUM,,PARENT-CHILD,3.0,13.99,JEFF corpus
,POECILIIDAE,POECILIA,,PARENT-CHILD,1.0,9.91,JEFF corpus
,HOLBROOKI,POECILIDAE,,CHILD-PARENT,1.0,9.3,JEFF corpus
,PERCIDAE,POECILIIDAE,,PARENT-CHILD,1.0,12.19,JEFF corpus
,SALMONIDAE,POECILIIDAE,,PARENT-CHILD,1.0,10.91,JEFF corpus
,TELEOSTEI,POECILIIDAE,,PARENT-CHILD,1.0,11.83,JEFF corpus
,RETICULATA,POECILLIA,,CHILD-PARENT,2.0,11.3,JEFF corpus
,PEDICULUS,POLYPHEMUS,,PARENT-CHILD,1.0,13.41,JEFF corpus
,PARTITUS,POMACENTRUS,,CHILD-PARENT,1.0,13.41,JEFF corpus
,INUTES,POMATOSCHISTUS,,PARENT-CHILD,1.0,11.99,JEFF corpus
,NIGRORNUCULATUS,POMOXIS,,PARENT-CHILD,1.0,10.54,JEFF corpus
,ALBA,POPULUS,,PARENT-CHILD,1.0,13.41,JEFF corpus
,PLATANUS,POPULUS,,PARENT-CHILD,1.0,13.41,JEFF corpus
,ANNULARIS,PORNOXIS,,CHILD-PARENT,1.0,11.19,JEFF corpus
,NIGROMACULATUS,PORNOXIS,,CHILD-PARENT,1.0,11.09,JEFF corpus
,ILLINOENSIS,POTAMOGETON,,PARENT-CHILD,2.0,13.19,JEFF corpus
,CLARCII,PROCAMBARUS,,PARENT-CHILD,1.0,11.54,JEFF corpus
,CLARKII,PROCAMBARUS,,PARENT-CHILD,9.0,13.41,JEFF corpus
,OSTEICHTHYES,PROMELAS,,PARENT-CHILD,1.0,13.99,JEFF corpus
,WILLIAMSONI,PROPOSIUM,,CHILD-PARENT,1.0,11.41,JEFF corpus
,MARMORATUS,PROTERORCHINUS,,CHILD-PARENT,1.0,9.5,JEFF corpus
,MAREANA,PROTOTROCTES,,PARENT-CHILD,5.0,13.99,JEFF corpus
,MAYLANDIA,PSEUDOTROPHEUS,,PARENT-CHILD,1.0,13.0,JEFF corpus
,ZEBRA,PSEUDOTROPHEUS,,PARENT-CHILD,2.0,13.41,JEFF corpus
,PERUGIA,PUNCTATUM,,PARENT-CHILD,3.0,13.41,JEFF corpus
,ETHEOSTOMA,PUNCTULATUS,,PARENT-CHILD,1.0,12.41,JEFF corpus
,SALMO,PUNGITIUS,,PARENT-CHILD,1.0,12.41,JEFF corpus
,PUNGITIUS,PUNGITUS,,CHILD-PARENT,1.0,9.35,JEFF corpus
,PUNGITIUS,PYGOSTEUS,,PARENT-CHILD,2.0,10.27,JEFF corpus
,PUNGITUS,PYGOSTEUS,,PARENT-CHILD,2.0,13.41,JEFF corpus
,MORONE,PYLODICTIS,,PARENT-CHILD,2.0,11.91,JEFF corpus
,OLI,PYLODICTIS,,PARENT-CHILD,1.0,11.54,JEFF corpus
,ILEX,QUERCUS,,PARENT-CHILD,1.0,13.41,JEFF corpus
,POPULUS,QUERCUS,,PARENT-CHILD,1.0,13.41,JEFF corpus
,POECILIIDAE,RETICULATA,,PARENT-CHILD,1.0,13.0,JEFF corpus
,OSCULUS,RHINICHTHYES,,CHILD-PARENT,1.0,11.67,JEFF corpus
,CYPRINIDAE,RHODEUS,,PARENT-CHILD,2.0,10.35,JEFF corpus
,SALIX,RIVER,,CHILD-PARENT,1.0,10.75,JEFF corpus
,CLADOCERA,ROTIFERA,,PARENT-CHILD,1.0,11.99,JEFF corpus
,PROTOZOA,ROTIFERA,,PARENT-CHILD,1.0,13.41,JEFF corpus
,CENTRARCHIDAE,RUPESTRIS,,PARENT-CHILD,2.0,13.41,JEFF corpus
,RUTILIS,RUTILIS,,PARENT-CHILD,2.0,13.41,JEFF corpus
,ALBURNUS,RUTILUS,,PARENT-CHILD,1.0,9.57,JEFF corpus
,BJOERKNA,RUTILUS,,PARENT-CHILD,1.0,9.75,JEFF corpus
,BRAMA,RUTILUS,,PARENT-CHILD,2.0,9.85,JEFF corpus
,FLUVIATILIS,RUTILUS,,PARENT-CHILD,4.0,10.525,JEFF corpus
,PERCA,RUTILUS,,PARENT-CHILD,1.0,12.68,JEFF corpus
,SALMO,RUTILUS,,PARENT-CHILD,2.0,9.1,JEFF corpus
,SERICEUS,RUTILUS,,PARENT-CHILD,1.0,9.83,JEFF corpus
,TINCA,RUTILUS,,PARENT-CHILD,1.0,9.53,JEFF corpus
,LATIFOLIA,SAGITTARIA,,PARENT-CHILD,1.0,13.41,JEFF corpus
,LINNAEUS,SALAR,,PARENT-CHILD,3.0,9.58,JEFF corpus
,ALNUS,SALIX,,PARENT-CHILD,1.0,13.99,JEFF corpus
,GAIRDNERI,SALMO,,PARENT-CHILD,53.0,10.18,JEFF corpus
,ARTEDI,SALMONIDAE,,PARENT-CHILD,1.0,10.24,JEFF corpus
,CENTRARCHIDAE,SALMONIDAE,,PARENT-CHILD,1.0,10.75,JEFF corpus
,HOYI,SALMONIDAE,,PARENT-CHILD,1.0,10.35,JEFF corpus
,SALMONIDAE,SALMONIDAE,,PARENT-CHILD,3.0,11.72,JEFF corpus
,SILURIDAE,SALMONIDAE,,PARENT-CHILD,1.0,10.82,JEFF corpus
,UMBRIDAE,SALMONIDAE,,PARENT-CHILD,3.0,12.33,JEFF corpus
,CARPIODES,SALVELINUS,,CHILD-PARENT,1.0,13.0,JEFF corpus
,CYPRINUS,SALVELINUS,,CHILD-PARENT,1.0,13.0,JEFF corpus
,VITREUM,SANDER,,PARENT-CHILD,2.0,9.56,JEFF corpus
,ERYTHROPH,SCARDINIUS,,PARENT-CHILD,2.0,10.82,JEFF corpus
,ERYTHROPHTALMUS,SCARDINIUS,,PARENT-CHILD,3.0,11.37,JEFF corpus
,ERYTHROPHTHALMUS,SCARDINUS,,PARENT-CHILD,3.0,11.3,JEFF corpus
,PUNGITIUS,SCHISTOCEPHALUS,,CHILD-PARENT,2.0,9.93,JEFF corpus
,GRUNNIENS,SCIAENIDAE,,PARENT-CHILD,1.0,11.83,JEFF corpus
,MAXIMUS,SCOPHTHALMUS,,PARENT-CHILD,4.0,13.99,JEFF corpus
,GAIRDNERI,SDMO,,PARENT-CHILD,2.0,10.16,JEFF corpus
,CEPHALUS,SERICEUS,,CHILD-PARENT,1.0,9.0,JEFF corpus
,CYPRINIDAE,SERICEUS,,CHILD-PARENT,2.0,11.91,JEFF corpus
,AFFINIS,SHUMARDI,,PARENT-CHILD,1.0,9.48,JEFF corpus
,2011A,SICYDIINAE,,PARENT-CHILD,1.0,11.83,JEFF corpus
,2011B,SICYDIINAE,,PARENT-CHILD,1.0,11.83,JEFF corpus
,ET,SICYDIINAE,,PARENT-CHILD,1.0,11.83,JEFF corpus
,GENUS,SICYDIINAE,,PARENT-CHILD,1.0,11.67,JEFF corpus
,KEITH,SICYDIINAE,,PARENT-CHILD,2.0,12.41,JEFF corpus
,LAGOCEPHALUS,SICYDIINAE,,PARENT-CHILD,1.0,9.12,JEFF corpus
,LORD,SICYDIINAE,,PARENT-CHILD,1.0,11.83,JEFF corpus
,SICYOPTERUS,SICYDIINAE,,PARENT-CHILD,1.0,13.41,JEFF corpus
,SPECIE,SICYDIINAE,,PARENT-CHILD,1.0,11.41,JEFF corpus
,ANTILLARUM,SICYDIUM,,PARENT-CHILD,4.0,12.19,JEFF corpus
,PERUGIA,SICYDIUM,,PARENT-CHILD,3.0,11.67,JEFF corpus
,AGENEIOSUS,SILURIFORMES,,PARENT-CHILD,1.0,12.68,JEFF corpus
,HEMISORUBIM,SILURIFORMES,,PARENT-CHILD,1.0,12.68,JEFF corpus
,MAGOI,SILURIFORMES,,PARENT-CHILD,1.0,12.68,JEFF corpus
,PLATYRHYNCHOS,SILURIFORMES,,PARENT-CHILD,1.0,12.68,JEFF corpus
,DIPTERA,SIMULIIDAE,,PARENT-CHILD,1.0,11.54,JEFF corpus
,EPHEMEROPTERA,SIMULIIDAE,,PARENT-CHILD,1.0,11.83,JEFF corpus
,RUTILUS,SOREX,,CHILD-PARENT,1.0,12.19,JEFF corpus
,SYLVATICA,SOREX,,CHILD-PARENT,1.0,13.0,JEFF corpus
,ERECTUM,SPARGANIUM,,PARENT-CHILD,1.0,13.99,JEFF corpus
,MUGILIDAE,SPARIDAE,,PARENT-CHILD,1.0,13.99,JEFF corpus
,FLABELLARE,SPECTABILE,,PARENT-CHILD,1.0,10.68,JEFF corpus
,GRUNNIENS,SPECTABILE,,PARENT-CHILD,1.0,11.67,JEFF corpus
,HYBOPSIS,SPILOPTERA,,PARENT-CHILD,1.0,13.0,JEFF corpus
,ALBURNOIDES,SQUALIUS,,PARENT-CHILD,1.0,10.19,JEFF corpus
,BARBUS,SQUALIUS,,PARENT-CHILD,1.0,10.19,JEFF corpus
,PELOPONNENSIS,SQUALIUS,,PARENT-CHILD,1.0,10.19,JEFF corpus
,CANADENSE,STIZOSTEDION,,PARENT-CHILD,2.0,9.95,JEFF corpus
,LUCIOPERCA,STIZOSTEDION,,PARENT-CHILD,44.0,13.36,JEFF corpus
,VITREUM,STIZOSTEDION,,PARENT-CHILD,16.0,12.62,JEFF corpus
,VOLGENSIS,STIZOSTEDION,,PARENT-CHILD,1.0,9.0,JEFF corpus
,LUCIOPERCA,STIZOSTEDIUM,,PARENT-CHILD,2.0,9.75,JEFF corpus
,VITREUM,STIZOSTEDON,,CHILD-PARENT,1.0,10.6,JEFF corpus
,VITREUM,STIZOTEDION,,CHILD-PARENT,1.0,10.6,JEFF corpus
,ANOMALUM,STREAM,,CHILD-PARENT,3.0,12.68,JEFF corpus
,CAMPOSTOMA,STREAM,,CHILD-PARENT,3.0,12.68,JEFF corpus
,CHONDROSTOMA,STUDY,,CHILD-PARENT,1.0,11.19,JEFF corpus
,GUIRDNERI,SULMO,,PARENT-CHILD,9.0,13.53,JEFF corpus
,MERIALUEILLA,SUOMEN,,PARENT-CHILD,1.0,13.99,JEFF corpus
,GLANIS,TAENIA,,PARENT-CHILD,1.0,11.19,JEFF corpus
,CAROLINAE,TALLAPOOSA,,CHILD-PARENT,1.0,11.67,JEFF corpus
,ANGUILLIDAE,TELEOSTEI,,PARENT-CHILD,1.0,11.09,JEFF corpus
,CHARACIDAE,TELEOSTEI,,PARENT-CHILD,1.0,10.82,JEFF corpus
,CHRENUCHIDAE,TELEOSTEI,,PARENT-CHILD,1.0,11.09,JEFF corpus
,CICHLIDAE,TELEOSTEI,,PARENT-CHILD,1.0,10.91,JEFF corpus
,COBITIDAE,TELEOSTEI,,PARENT-CHILD,1.0,11.09,JEFF corpus
,COTTIDAE,TELEOSTEI,,PARENT-CHILD,1.0,11.09,JEFF corpus
,CYPRINIDAE,TELEOSTEI,,PARENT-CHILD,5.0,12.51,JEFF corpus
,GOBIIDAE,TELEOSTEI,,PARENT-CHILD,1.0,10.82,JEFF corpus
,OSTEOGLOSSIDAE,TELEOSTEI,,PARENT-CHILD,2.0,11.83,JEFF corpus
,SANDER,TELEOSTEI,,PARENT-CHILD,1.0,12.41,JEFF corpus
,VITREUS,TELEOSTEI,,PARENT-CHILD,1.0,12.41,JEFF corpus
,LEPIDOPTERA,TETRIX,,CHILD-PARENT,1.0,12.41,JEFF corpus
,CATOSTOMIDAE,TEXANUS,,PARENT-CHILD,1.0,13.0,JEFF corpus
,VIGILAX,TEXANUS,,PARENT-CHILD,1.0,11.54,JEFF corpus
,SALMONIDAE,THYMALLUS,,PARENT-CHILD,2.0,11.75,JEFF corpus
,TINCA,THYMALLUS,,PARENT-CHILD,4.0,9.85,JEFF corpus
,ARCTICUS,THYMALUS,,CHILD-PARENT,1.0,9.83,JEFF corpus
,COLEOPTERA,THYSANOPTERA,,PARENT-CHILD,1.0,13.0,JEFF corpus
,MOSSAMBICA,TILAPIA,,PARENT-CHILD,1.0,11.09,JEFF corpus
,NILOTICA,TILAPIA,,PARENT-CHILD,3.0,12.49,JEFF corpus
,DELINEATUS,TINCA,,PARENT-CHILD,1.0,11.54,JEFF corpus
,ERYTHROPHTHALMUS,TINCA,,PARENT-CHILD,1.0,9.67,JEFF corpus
,PHOXINUS,TINCA,,PARENT-CHILD,1.0,9.16,JEFF corpus
,CHIRONOMIDAE,TRICHOPTERA,,PARENT-CHILD,1.0,11.0,JEFF corpus
,DIPTERA,TRICHOPTERA,,PARENT-CHILD,2.0,11.61,JEFF corpus
,EPHEMEROPTERA,TRICHOPTERA,,PARENT-CHILD,1.0,10.75,JEFF corpus
,LEPIDOPTERA,TRICHOPTERA,,PARENT-CHILD,1.0,10.91,JEFF corpus
,MEGALOPTERA,TRICHOPTERA,,PARENT-CHILD,1.0,11.19,JEFF corpus
,MOLLUSCA,TRICHOPTERA,,PARENT-CHILD,1.0,11.19,JEFF corpus
,ODONATA,TRICHOPTERA,,PARENT-CHILD,2.0,11.67,JEFF corpus
,TRICHOPTERA,TRICHOPTERA,,PARENT-CHILD,3.0,11.63,JEFF corpus
