parent,child,hits,mean,median
TRUTTA,LINNAEUS,14,11.44,11.44
ALOSA,ALOSA,13,12.65,12.65
ALOSA,PSEUDOHARENGUS,13,12.65,12.65
COREGONUS,NASUS,13,10.36,10.36
ESOX,LINNAEUS,13,10.32,10.32
GYMNOCEPHALUS,CERNUA,13,12.51,12.51
MACQUARIA,AUSTRALASICA,13,13,13
PTERODORAS,GRANULOSUS,13,13.89,13.89
BARBUS,SCLATERI,12,11.87,11.87
GALAXIAS,FASCIATUS,12,12.29,12.29
GOBIOMORPHUS,COTIDIANUS,12,13.72,13.72
LUTRA,LUTRA,12,13.99,13.99
ONCORHYNCHUS,CLARKI,12,9.26,9.26
RHINOGOBIUS,BRUNNEUS,12,12.28,12.28
RICHARDSONIUS,BALTEATUS,12,13.88,13.88
SALAR,PARR,12,10.19,10.19
SICYDIINAE,GOBY,12,12.43,12.43
SPECIE,SALMO,12,10.01,10.01
SQUALIUS,CEPHALUS,12,11.89,11.89
TRICHOPTERA,LARVA,12,9.89,9.89
ASTYANAX,INTERMEDIUS,11,13.45,13.45
CHUB,ATROMACULATUS,11,11.28,11.28
COREGONUS,SARDINELLA,11,10.26,10.26
EPHEMEROPTERA,NYMPH,11,13.1,13.1
FUNDULUS,OLIVACEUS,11,12.7,12.7
LEPISOSTEUS,OSSEUS,11,13.25,13.25
ORCONECTES,RUSTICUS,11,13.75,13.75
PIMEPHALES,NOTATUS,11,12.52,12.52
PIMEPHALES,PROMELAS,11,13.06,13.06
POMOXIS,NIGROMACULATUS,11,13.37,13.37
RHINOGOBIUS,GIURINUS,11,12.35,12.35
SILURUS,GLANIS,11,13.33,13.33
SPECIE,RUTILUS,11,8.915,8.915
ANGUILLA,AUSTRALIS,10,10.67,10.67
CATOSTOMUS,CATOSTOMUS,10,12.54,12.54
CATOSTOMUS,COMMERSONI,10,12.57,12.57
CATOSTOMUS,COMMERSONII,10,12.54,12.54
COREGONUS,ARTEDI,10,10.11,10.11
DAPHNIA,GALEATA,10,13.19,13.19
GAMBUSIA,SPECIE,10,7.84,7.84
LEPISOSTEUS,OCULATUS,10,13.15,13.15
PARR,SALAR,10,8.7,8.7
PROSOPIUM,WILLIAMSONI,10,13.67,13.67
SPECIE,SALVELINUS,10,9.76,9.76
TROUT,GAIRDNERI,10,9.08,9.08
TRUTTA,PARR,10,9.88,9.88
CARASSIUS,GIBELIO,9,12.12,12.12
COTTUS,BAIRDII,9,10.66,10.66
CYPRINELLA,LUTRENSIS,9,12.33,12.33
ETHEOSTOMA,CAERULEUM,9,11.23,11.23
FUNDULUS,HETEROCLITUS,9,12.46,12.46
HYDROCYNUS,VITTATUS,9,13.77,13.77
LIGULA,INTESTINALIS,9,13.99,13.99
MENIDIA,MENIDIA,9,13.64,13.64
PIMELODUS,MACULATUS,9,12.14,12.14
POMOXIS,ANNULARIS,9,13.12,13.12
PROCAMBARUS,CLARKII,9,13.31,13.31
RHINOGOBIUS,CLIFFORDPOPEI,9,12.1,12.1
RHODEUS,AMARUS,9,12.68,12.68
SULMO,GUIRDNERI,9,13.41,13.41
XYRAUCHEN,TEXANUS,9,13.71,13.71
ABRAMIS,BJOERKNA,8,11.5,11.5
BYTHOTREPHES,LONGIMANUS,8,13.83,13.83
COBITIS,PALUDICA,8,13.3,13.3
COREGONUS,HOYI,8,9.8,9.8
COTTUS,CAROLINAE,8,10.48,10.48
GOBY,BRUNNEUS,8,10.94,10.94
GOBY,JAPONICUS,8,10.86,10.86
LENTIPES,CONCOLOR,8,13.54,13.54
MICROPTERUS,DOLOMIEUI,8,12.14,12.14
MYSIS,DILUVIANA,8,13,13
PERCH,AMBIGUA,8,10.26,10.26
PERCINA,AUROLINEATA,8,13.04,13.04
PIMEPHALES,VIGILAX,8,12.68,12.68
RHINICHTHYS,OSCULUS,8,12.87,12.87
SILURUS,ASOTUS,8,13.09,13.09
SPECIE,TRUTTA,8,9.45,9.45
ASPIUS,ASPIUS,7,13.9,13.9
COBITIS,TAENIA,7,13.16,13.16
EPHEMEROPTERA,PLECOPTERA,7,12.63,12.63
FLUVIATILIS,LINNAEUS,7,10.58,10.58
GILA,ROBUSTA,7,13.41,13.41
NOTROPIS,HUDSONIUS,7,11.78,11.78
PERCA,LINNAEUS,7,9.06,9.06
PERCINA,TANASI,7,12.9,12.9
PROTERORHINUS,SEMILUNARIS,7,13.48,13.48
PYLODICTIS,OLIVARIS,7,13.72,13.72
SICYDIINAE,LARVA,7,9.04,9.04
SPECIE,ONCORHYNCHUS,7,9.26,9.26
SULMO,TRUTTA,7,7.91,7.91
APLODINOTUS,GRUNNIENS,6,13.77,13.77
ATRACTOSTEUS,SPATULA,6,13.99,13.99
BARBUS,HAASI,6,10.95,10.95
CHIRONOMID,LARVA,6,8.96,8.96
CHROSOMUS,ERYTHROGASTER,6,13.77,13.77
CLUPEA,HARENGUS,6,13.88,13.88
COREGONUS,PIDSCHIAN,6,9.39,9.39
COREGONUS,ZENITHICUS,6,9.41,9.41
COTTUS,PAULUS,6,10.1,10.1
COTYLOPUS,ACUTIPINNIS,6,13.88,13.88
