source,target,relations,hits,score,score.1
SALMO,TRUTTA,PARENT-CHILD,695,13.36,13.36
SALMO,SALAR,PARENT-CHILD,615,13.25,13.25
SALVELINUS,ALPINUS,PARENT-CHILD,485,13.51,13.51
PERCA,FLUVIATILIS,PARENT-CHILD,230,13.66,13.66
ONCORHYNCHUS,MYKISS,PARENT-CHILD,212,12.99,12.99
RUTILUS,RUTILUS,PARENT-CHILD,199,13.94,13.94
ESOX,LUCIUS,PARENT-CHILD,179,11.995,11.995
SALVELINUS,FONTINALIS,PARENT-CHILD,163,12.33,12.33
ONCORHYNCHUS,KISUTCH,PARENT-CHILD,138,12.52,12.52
ONCORHYNCHUS,NERKA,PARENT-CHILD,105,12.2,12.2
ONCORHYNCHUS,TSHAWYTSCHA,PARENT-CHILD,101,12.15,12.15
GASTEROSTEUS,ACULEATUS,PARENT-CHILD,99,13.94,13.94
SALVELINUS,CONFLUENTUS,PARENT-CHILD,96,11.67,11.67
COREGONUS,LAVARETUS,PARENT-CHILD,95,13.01,13.01
COREGONUS,ALBULA,PARENT-CHILD,94,13.01,13.01
COTTUS,GOBIO,PARENT-CHILD,73,13.13,13.13
SALVELINUS,NAMAYCUSH,PARENT-CHILD,69,11.23,11.23
NEOGOBIUS,MELANOSTOMUS,PARENT-CHILD,67,13.84,13.84
THYMALLUS,THYMALLUS,PARENT-CHILD,67,13.61,13.61
LEPOMIS,GIBBOSUS,PARENT-CHILD,60,13.18,13.18
BARBUS,BARBUS,PARENT-CHILD,59,13.61,13.61
SICYOPTERUS,LAGOCEPHALUS,PARENT-CHILD,57,13.65,13.65
LEPOMIS,MACROCHIRUS,PARENT-CHILD,56,13.14,13.14
LOTA,LOTA,PARENT-CHILD,55,11.56,11.56
ABRAMIS,BRAMA,PARENT-CHILD,54,13.81,13.81
PERCA,FLAVESCENS,PARENT-CHILD,53,12.27,12.27
SALMO,GAIRDNERI,PARENT-CHILD,53,10.18,10.18
ANGUILLA,ANGUILLA,PARENT-CHILD,52,12.86,12.86
