source,target,hits,score,score.1,Hits,Score
ABRAMIS,BRAMA,84.0,13.93,13.93,84.0,13.93
ACANTHOCEPHALA,HIRUDINEA,1.0,11.83,11.83,1.0,11.83
ACANTHOPAGRUS,BUTCHERI,2.0,13.0,13.0,2.0,13.0
ACANTHOPAGRUS,SCHLEGELI,4.0,13.67,13.67,4.0,13.67
ACARI,BIVALVIA,1.0,11.99,11.99,1.0,11.99
ACERINA,CERNUA,20.0,13.36,13.36,20.0,13.36
ACIPENSER,FULVESCENS,7.0,11.87,11.87,7.0,11.87
ACIPENSER,STURIO,21.0,13.16,13.16,21.0,13.16
ACIPENSER,TRANSMONTANUS,20.0,13.11,13.11,20.0,13.11
ACTINOPTERYGII,ACHIRIDAE,1.0,12.41,12.41,1.0,12.41
ACTINOPTERYGII,CYPRINIDAE,2.0,11.83,11.83,2.0,11.83
ACTINOPTERYGII,TRICHOMYCTERIDAE,1.0,12.19,12.19,1.0,12.19
ACULEATUS,GASTEROSTEIDAE,2.0,11.91,11.91,2.0,11.91
AESHNIDAE,CHIRONOMIDAE,2.0,12.68,12.68,2.0,12.68
ALBURNUS,ALBURNUS,29.0,13.85,13.85,29.0,13.85
ALNUS,GLUTINOSA,3.0,13.99,13.99,3.0,13.99
ALONA,CERIODAPHNIA,1.0,13.0,13.0,1.0,13.0
ALONELLA,NANA,3.0,13.99,13.99,3.0,13.99
ALOSA,FALLAX,27.0,12.32,12.32,27.0,12.32
ALOSA,PSEUDOHARENGUS,59.0,13.2,13.2,59.0,13.2
ALOSA,SAPIDISSIMA,29.0,12.4,12.4,29.0,12.4
ALPINUS,OXYRINCHUS,1.0,11.99,11.99,1.0,11.99
AMBLOPLITES,RUPESTRIS,21.0,13.96,13.96,21.0,13.96
AMBLYOPSIS,ROSAE,1.0,13.99,13.99,1.0,13.99
AMEIURUS,NATALIS,30.0,13.25,13.25,30.0,13.25
AMEIURUS,NEBULOSUS,36.0,13.47,13.47,36.0,13.47
AMMOCRYPTA,ETHEOSTOMA,1.0,12.68,12.68,1.0,12.68
AMPHIBIA,HYLIDAE,1.0,13.99,13.99,1.0,13.99
AMPHIPODA,ISOPODA,1.0,11.83,11.83,1.0,11.83
ANGUILLA,ANGUILLA,59.0,11.93,11.93,59.0,11.93
ANGUILLA,JAPONICA,181.0,13.23,13.23,181.0,13.23
ANGUILLA,MARMORATA,50.0,11.72,11.72,50.0,11.72
