source,target,hits,score,score.1,Hits,Score
CULICIDAE,MUSCIDAE,1.0,13.0,13.0,1.0,13.0
CYCLEPTUS,ELONGATUS,2.0,13.67,13.67,2.0,13.67
CYNOSCION,REGALIS,5.0,13.99,13.99,5.0,13.99
CYPRINELLA,LUTRENSIS,5.0,13.15,13.15,5.0,13.15
CYPRINELLA,SPILOPTERA,5.0,13.0,13.0,5.0,13.0
CYPRINUS,CARPIO,6.0,13.67,13.67,6.0,13.67
DALLIA,OSMERIDAE,1.0,13.41,13.41,1.0,13.41
DAPHNIA,KERATELLA,1.0,13.41,13.41,1.0,13.41
DAPHNIA,POLYARTHRA,1.0,13.41,13.41,1.0,13.41
DICENTRARCHUS,LABRAX,39.0,13.99,13.99,39.0,13.99
DIGENEA,CESTODA,2.0,13.41,13.41,2.0,13.41
DIPLOSTOMUM,PHOXINI,2.0,13.41,13.41,2.0,13.41
DIPLOSTOMUM,SPATHACEUM,2.0,13.41,13.41,2.0,13.41
DIXIDAE,CERATOPOGONIDAE,1.0,13.0,13.0,1.0,13.0
DIXIDAE,DOLICHOPODIDAE,1.0,13.0,13.0,1.0,13.0
DOLICHOPODIDAE,DIXIDAE,1.0,13.0,13.0,1.0,13.0
DOLICHOPODIDAE,EMPIDIDAE,1.0,13.0,13.0,1.0,13.0
DOROSOMA,CEPEDIANUM,14.0,13.67,13.67,14.0,13.67
DOROSOMA,PETENENSE,7.0,13.0,13.0,7.0,13.0
DREISSENA,POLYMORPHA,30.0,13.88,13.88,30.0,13.88
DROSOPHILA,MELANOGASTER,5.0,13.86,13.86,5.0,13.86
EGERIA,DENSA,2.0,13.67,13.67,2.0,13.67
EGERIA,POTAMOGETON,1.0,13.0,13.0,1.0,13.0
EGRETTA,GARZETTA,2.0,13.99,13.99,2.0,13.99
EICHORNIA,AZUREA,1.0,13.99,13.99,1.0,13.99
ELMIDAE,GYRINIDAE,1.0,13.41,13.41,1.0,13.41
ELODEA,CANADENSIS,17.0,13.69,13.69,17.0,13.69
ELVIRA,NICOLA,1.0,13.99,13.99,1.0,13.99
EMPIDIDAE,DOLICHOPODIDAE,1.0,13.41,13.41,1.0,13.41
ENGLISH,MARAENA,1.0,13.41,13.41,1.0,13.41
ENTOSPHENUS,TRIDENTATUS,5.0,13.86,13.86,5.0,13.86
EPHEMERELLA,BAETIS,2.0,13.99,13.99,2.0,13.99
EPHEMERELLIDAE,ELMIDAE,2.0,13.19,13.19,2.0,13.19
EPHEMEROPTERA,PLECOPTERA,19.0,13.31,13.31,19.0,13.31
EQUISETUM,EQUISETUM,1.0,13.41,13.41,1.0,13.41
EQUISETUM,PHRAGMITES,1.0,13.0,13.0,1.0,13.0
ERIMYZON,OBLONGUS,4.0,13.99,13.99,4.0,13.99
ESOCIDAE,MASQUINONGY,2.0,13.41,13.41,2.0,13.41
EURYCERCUS,LAMELLATUS,12.0,13.99,13.99,12.0,13.99
FAGUS,SYLVATICA,7.0,13.8,13.8,7.0,13.8
FIN,AMEIURUS,1.0,13.99,13.99,1.0,13.99
FORBESICHTHYS,AGASSIZI,1.0,13.99,13.99,1.0,13.99
FUNDULUS,HETEROCLITUS,33.0,13.8,13.8,33.0,13.8
GADUS,MORHUA,100.0,13.98,13.98,100.0,13.98
GAIRDNERI,TRUTLA,1.0,13.41,13.41,1.0,13.41
GALAXIAS,OLIDUS,28.0,13.38,13.38,28.0,13.38
GAMBUSIA,AFFINIS,26.0,13.47,13.47,26.0,13.47
GAMBUSIA,HOLBROOKI,19.0,13.18,13.18,19.0,13.18
GAMMARIDAE,ATYIDAE,1.0,13.0,13.0,1.0,13.0
GAMMARUS,LACUSTRIS,11.0,13.14,13.14,11.0,13.14
GAMMARUS,PULEX,12.0,13.0,13.0,12.0,13.0
GARCIA,SALT,2.0,13.41,13.41,2.0,13.41
GARIEPINUS,SILURIFORMES,1.0,13.41,13.41,1.0,13.41
GASTEROSTEUS,ACULEATUS,254.0,13.96,13.96,254.0,13.96
GASTROPODA,NEMATODA,12.0,13.37,13.37,12.0,13.37
GILA,ATRARIA,4.0,13.41,13.41,4.0,13.41
GLYCERIA,MAXIMA,2.0,13.99,13.99,2.0,13.99
GOBIIDAE,ELEOTRIDINAE,1.0,13.41,13.41,1.0,13.41
GOBIOMORPHUS,COTIDIANUS,4.0,13.3,13.3,4.0,13.3
GOBIOMORPHUS,HUBBSI,3.0,13.0,13.0,3.0,13.0
GOBY,GOBIIDAE,1.0,13.99,13.99,1.0,13.99
GRUNNIENS,GOBIIDAE,1.0,13.41,13.41,1.0,13.41
GYMNOCEPHALUS,CERNUUS,55.0,13.8,13.8,55.0,13.8
GYRINIDAE,HALIPLIDAE,1.0,13.41,13.41,1.0,13.41
HALIOTIS,RUBRA,2.0,13.99,13.99,2.0,13.99
HALIPLIDAE,CURCULIONIDAE,1.0,13.41,13.41,1.0,13.41
HATCHERIA,MACRAEI,2.0,13.99,13.99,2.0,13.99
HEMIGRAMMUS,MARGINATUS,1.0,13.41,13.41,1.0,13.41
HEMIMYSIS,ANOMALA,5.0,13.99,13.99,5.0,13.99
HEPSETUS,ODOE,1.0,13.99,13.99,1.0,13.99
HIPPOGLOSSOIDES,PLATESSOIDES,1.0,13.99,13.99,1.0,13.99
HIPPURIS,VULGARIS,1.0,13.0,13.0,1.0,13.0
HOLOPEDIUM,GIBBERUM,5.0,13.99,13.99,5.0,13.99
HOMOPTERA,ORTHOPTERA,1.0,13.41,13.41,1.0,13.41
HOPLIAS,MALABARICUS,5.0,13.99,13.99,5.0,13.99
HYDRACARINA,CALANOIDA,1.0,13.0,13.0,1.0,13.0
HYDRACARINA,CYCLOPOIDA,1.0,13.0,13.0,1.0,13.0
HYDRILLA,VERTICILLATA,28.0,13.97,13.97,28.0,13.97
HYDROCYNUS,VITTATUS,2.0,13.67,13.67,2.0,13.67
HYDROPHILIDAE,NOTERIDAE,1.0,13.0,13.0,1.0,13.0
HYPENTELIUM,NIGRICANS,3.0,13.99,13.99,3.0,13.99
HYPOPHTHALMICHTHYS,MOLITRIX,13.0,13.61,13.61,13.0,13.61
HYSTEROCARPUS,TRASKI,1.0,13.99,13.99,1.0,13.99
ICHNEUMONIDAE,CINYGMULA,1.0,13.0,13.0,1.0,13.0
ICHTHYOMYZON,FOSSOR,6.0,13.88,13.88,6.0,13.88
ICTALURIDAE,CENTRARCHIDAE,1.0,13.41,13.41,1.0,13.41
ICTALURUS,PUNCTATUS,58.0,13.77,13.77,58.0,13.77
ICTIOBUS,BUBALUS,3.0,13.12,13.12,3.0,13.12
ICTIOBUS,CYPRINELLUS,5.0,13.62,13.62,5.0,13.62
INSECT,AMPHIPODS,1.0,13.41,13.41,1.0,13.41
KERATELLA,DAPHNIA,1.0,13.0,13.0,1.0,13.0
KUHLIA,SANDVICENSIS,1.0,13.99,13.99,1.0,13.99
LABEO,OSTEICHTHYES,1.0,13.41,13.41,1.0,13.41
LABIDESTHES,SICCULUS,3.0,13.99,13.99,3.0,13.99
LACUSTRIS,HYDRACARINA,1.0,13.41,13.41,1.0,13.41
LATEOLABRAX,JAPONICUS,6.0,13.99,13.99,6.0,13.99
LAVINIA,EXILICAUDA,1.0,13.99,13.99,1.0,13.99
LEPIDOPTERA,ORTHOPTERA,1.0,13.0,13.0,1.0,13.0
LEPIDOSTOMATIDAE,BRACHYCENTRIDAE,1.0,13.99,13.99,1.0,13.99
LEPISOSTEUS,OSSEUS,4.0,13.41,13.41,4.0,13.41
LEPOMIS,GIBBOSUS,81.0,13.05,13.05,81.0,13.05
LEPOMIS,MACROCHIRUS,97.0,13.25,13.25,97.0,13.25
LEPORINUS,ELONGATUS,1.0,13.0,13.0,1.0,13.0
LEPTOCOTTUS,ARMATUS,5.0,13.99,13.99,5.0,13.99
LEPTODORA,KINDTI,1.0,13.0,13.0,1.0,13.0
LEPTODORA,KINDTII,2.0,13.67,13.67,2.0,13.67
LETHENTERON,CAMTSCHATICUM,3.0,13.26,13.26,3.0,13.26
LEUCASPIUS,DELINEATUS,3.0,13.99,13.99,3.0,13.99
LEUCISCUS,CEPHALUS,66.0,13.36,13.36,66.0,13.36
LIMANDA,LIMANDA,8.0,13.91,13.91,8.0,13.91
LONGISPINA,PEDICULUS,1.0,13.0,13.0,1.0,13.0
LORICARIIDAE,CALLICHTHYIDAE,1.0,13.99,13.99,1.0,13.99
LOTA,LOTA,84.0,13.96,13.96,84.0,13.96
LOXODONTA,AFRICANA,2.0,13.99,13.99,2.0,13.99
LUCIOBARBUS,BOCAGEI,10.0,13.8,13.8,10.0,13.8
LUCIOPERCA,PERCAFLUVIATILIS,1.0,13.0,13.0,1.0,13.0
LUMBRICULUS,VARIEGATUS,2.0,13.99,13.99,2.0,13.99
LUTJANUS,GRISEUS,1.0,13.99,13.99,1.0,13.99
LUTRA,LUTRA,38.0,13.98,13.98,38.0,13.98
LUXILUS,CORNUTUS,8.0,13.75,13.75,8.0,13.75
LYMNAEA,STAGNALIS,3.0,13.77,13.77,3.0,13.77
LYTHRURUS,UMBRATILIS,1.0,13.99,13.99,1.0,13.99
MACCULLOCHELLA,MACQUARIENSIS,3.0,13.0,13.0,3.0,13.0
MACCULLOCHELLA,PEELII,6.0,13.67,13.67,6.0,13.67
MACQUARIA,AUSTRALASICA,31.0,13.84,13.84,31.0,13.84
MACRHYBOPSIS,STORERIANA,2.0,13.67,13.67,2.0,13.67
MALLOTUS,VILLOSUS,12.0,13.99,13.99,12.0,13.99
MARGARISCUS,MARGARITA,6.0,13.99,13.99,6.0,13.99
MARINA,OCEANOGRAFIA,1.0,13.41,13.41,1.0,13.41
MEGALOPTERA,DYTISCIDAE,2.0,13.0,13.0,2.0,13.0
MELANOGRAMMUS,AEGLEFINUS,21.0,13.96,13.96,21.0,13.96
MENIDIA,MENIDIA,10.0,13.86,13.86,10.0,13.86
MERGUS,MERGANSER,28.0,13.97,13.97,28.0,13.97
