source,target,hits,score,score.1,Hits,Score
SALMO_TRUTTA,ONCORHYNCHUS_CLARKII,1.0,10.0,10.0,10.0,10.0
SALMO_TRUTTA,ONCORHYNCHUS_KISUTCH,1.0,10.0,10.0,10.0,10.0
SALMO_TRUTTA,ONCORHYNCHUS_MYKISS,3.0,9.285,9.285,9.285,9.285
SALMO_TRUTTA,SALMONIDAE,1.0,9.38,9.38,9.38,9.38
SALMO_TRUTTA,SALVELINUS_ALPINUS,2.0,10.934999999999999,10.934999999999999,10.934999999999999,10.934999999999999
SALMO_TRUTTA,SALVELINUS_FONTINALIS,1.0,9.02,9.02,9.02,9.02
SALMO_TRUTTA,SALVELINUS_NAMAYCUSH,1.0,8.98,8.98,8.98,8.98
SALMO_TRUTTA,SEA_TROUT,5.0,11.58,11.58,11.58,11.58
SALMO_TRUTTA,THYMALLUS_THYMALLUS,2.0,10.95,10.95,10.95,10.95
SALMO_TRUTTA,TROUT,3.0,9.27,9.27,9.27,9.27
SALVELINUS,BROOK_TROUT,1.0,11.99,11.99,11.99,11.99
SALVELINUS_ALPINUS,SALMO,1.0,11.09,11.09,11.09,11.09
SALVELINUS_ALPINUS,SALMONIDAE,1.0,10.24,10.24,10.24,10.24
SALVELINUS_FONTINALIS,BROOK_TROUT,1.0,10.75,10.75,10.75,10.75
SALVELINUS_FONTINALIS,BROWN_TROUT,2.0,10.6,10.6,10.6,10.6
SALVELINUS_FONTINALIS,SALMO_TRUTTA,1.0,11.83,11.83,11.83,11.83
SALVELINUS_NAMAYCUSH,LAKE_TROUT,3.0,11.115,11.115,11.115,11.115
SALVELINUS_NAMAYCUSH,SALMONIDAE,1.0,10.54,10.54,10.54,10.54
SALVELINUS_NAMAYCUSH,SALMO_TRUTTA,1.0,7.12,7.12,7.12,7.12
SEA_TROUT,BROWN_TROUT,4.0,10.719999999999999,10.719999999999999,10.719999999999999,10.719999999999999
SEA_TROUT,SALMO_TRUTTA,13.0,9.7,9.7,9.7,9.7
SEA_TROUT,SEA_TROUT,1.0,10.6,10.6,10.6,10.6
SEWIN,BROWN_TROUT,2.0,13.41,13.41,13.41,13.41
THYMALLUS,SALMONIDAE,2.0,12.265,12.265,12.265,12.265
THYMALLUS_THYMALLUS,SALMONIDAE,6.0,12.72,12.72,12.72,12.72
TROUT,BROOK_TROUT,15.0,10.21,9.42,10.21,9.42
TROUT,BROWN_TROUT,30.0,10.675,10.879999999999999,10.675,10.879999999999999
TROUT,LAKE_TROUT,9.0,10.5725,10.600000000000001,10.5725,10.600000000000001
TROUT,ONCORHYNCHUS_MYKISS,129.0,11.254999999999999,11.254999999999999,11.254999999999999,11.254999999999999
TROUT,SALMO,3.0,8.46,8.46,8.46,8.46
TROUT,SALMONIDAE,2.0,7.81,7.81,7.81,7.81
TROUT,SALMO_TRUTTA,20.0,11.485,11.485,11.485,11.485
TROUT,SALVELINUS,3.0,8.45,8.45,8.45,8.45
TROUT,SALVELINUS_CONFLUENTUS,11.0,10.32,10.32,10.32,10.32
TROUT,SEA_TROUT,4.0,7.675,7.675,7.675,7.675
TROUT,TROUT,78.0,12.62,12.62,12.62,12.62
