TAXRANK_target_x,target,source,TAXRANK_source_x,data_source_x_x,relations_x,score.1_x,data_source_y_x,included_x,data_source_x,TAXRANK_target_y,TAXRANK_source_y,data_source_x_y,relations_y,score.1_y,data_source_y_y,included_y,data_source_y,_merge
 SPECIES,CAURINUS,MYLOCHEILUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,BALTEATUS,RICHARDSONIUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,LEUCISCUS,LEUCISCUS, GENUS,VTO ontology,is_a,12.98,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.98,WEB corpus,both,WEB frequency,both
 SPECIES,GOBIO,GOBIO, GENUS,VTO ontology,is_a,12.68,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.68,WEB corpus,both,WEB frequency,both
 SPECIES,BJOERKNA,BLICCA, GENUS,VTO ontology,is_a,13.91,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.91,WEB corpus,both,WEB frequency,both
 SPECIES,ERYTHROPHTHALMUS,SCARDINIUS, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB frequency,both
 SPECIES,BRAMA,ABRAMIS, GENUS,VTO ontology,is_a,13.93,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.93,WEB corpus,both,WEB frequency,both
 SPECIES,PROMELAS,PIMEPHALES, GENUS,VTO ontology,is_a,13.61,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.61,WEB corpus,both,WEB frequency,both
 SPECIES,NOTATUS,PIMEPHALES, GENUS,VTO ontology,is_a,12.85,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.85,WEB corpus,both,WEB frequency,both
 SPECIES,BOCAGEI,LUCIOBARBUS, GENUS,VTO ontology,is_a,13.8,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.8,WEB corpus,both,WEB frequency,both
 SPECIES,TINCA,TINCA, GENUS,VTO ontology,is_a,13.92,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.92,WEB corpus,both,WEB frequency,both
 SPECIES,RUTILUS,RUTILUS, GENUS,VTO ontology,is_a,10.455,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,10.455,WEB corpus,both,WEB frequency,both
 SPECIES,NASUS,CHONDROSTOMA, GENUS,VTO ontology,is_a,13.33,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.33,WEB corpus,both,WEB frequency,both
 SPECIES,MOLITRIX,HYPOPHTHALMICHTHYS, GENUS,VTO ontology,is_a,13.61,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.61,WEB corpus,both,WEB frequency,both
 SPECIES,NOBILIS,HYPOPHTHALMICHTHYS, GENUS,VTO ontology,is_a,12.9,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.9,WEB corpus,both,WEB frequency,both
 SPECIES,CARPIO,CYPRINUS, GENUS,VTO ontology,is_a,13.67,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.67,WEB corpus,both,WEB frequency,both
 SPECIES,GIBELIO,CARASSIUS, GENUS,VTO ontology,is_a,11.34,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.34,WEB corpus,both,WEB frequency,both
