parent,child,hits,score,score.1
COREGONUS,ALBULA,94.0,12.99,12.99
COREGONUS,LAVARETUS,95.0,12.91,12.91
COTTUS,GOBIO,73.0,13.06,13.06
ESOX,LUCIUS,179.0,11.995000000000001,11.995000000000001
GASTEROSTEUS,ACULEATUS,99.0,13.8,13.8
LEPOMIS,GIBBOSUS,60.0,13.15,13.15
NEOGOBIUS,MELANOSTOMUS,67.0,13.61,13.61
ONCORHYNCHUS,KISUTCH,138.0,12.48,12.48
ONCORHYNCHUS,MYKISS,212.0,12.92,12.92
ONCORHYNCHUS,NERKA,105.0,12.16,12.16
ONCORHYNCHUS,TSHAWYTSCHA,101.0,12.11,12.11
PERCA,FLUVIATILIS,230.0,13.5,13.5
PERCH,FLUVIATILIS,67.0,11.98,11.98
RUTILUS,RUTILUS,199.0,13.93,13.93
SALMO,SALAR,615.0,13.14,13.14
SALMO,TRUTTA,695.0,13.21,13.21
SALMON,SALAR,135.0,11.71,11.71
SALVELINUS,ALPINUS,485.0,13.5,13.5
SALVELINUS,CONFLUENTUS,96.0,11.63,11.63
SALVELINUS,FONTINALIS,163.0,12.27,12.27
SALVELINUS,NAMAYCUSH,69.0,11.2,11.2
THYMALLUS,THYMALLUS,67.0,13.61,13.61
TROUT,TRUTTA,226.0,12.29,12.29
