source,target,hits,score,score.1,Hits,Score
CENTRARCHIDAE,ICTALURUS,3.0,13.12,13.12,3.0,13.12
CENTRARCHIDAE,PERCIDAE,1.0,13.0,13.0,1.0,13.0
CERATOPHYLLUM,DEMERSUM,18.0,13.88,13.88,18.0,13.88
CERATOPOGONIDAE,GASTROPODA,2.0,13.67,13.67,2.0,13.67
CERCOPAGIS,PENGOI,5.0,13.99,13.99,5.0,13.99
CERITHIDEA,CALIFORNICA,1.0,13.99,13.99,1.0,13.99
CESTODA,PSEUDOPHYLLIDEA,3.0,13.12,13.12,3.0,13.12
CHAETODON,MULTICINCTUS,1.0,13.99,13.99,1.0,13.99
CHAOBORUS,FLAVICANS,4.0,13.83,13.83,4.0,13.83
CHARACIDAE,OSTARIOPHYSI,1.0,13.41,13.41,1.0,13.41
CHEIMARRICHTHYS,FOSTERI,3.0,13.77,13.77,3.0,13.77
CHELON,LABROSUS,4.0,13.99,13.99,4.0,13.99
CHIRONOMUS,PLUMOSUS,6.0,13.5,13.5,6.0,13.5
CHONDROSTOMA,NASUS,18.0,13.33,13.33,18.0,13.33
CHROSOMUS,NEOGAEUS,1.0,13.99,13.99,1.0,13.99
CHRYSOMELIDAE,CURCULIONIDAE,1.0,13.41,13.41,1.0,13.41
CICHLASOMA,CITRINELLUM,3.0,13.26,13.26,3.0,13.26
CICHLASOMA,NIGROFASCIATUM,4.0,13.54,13.54,4.0,13.54
CLARIAS,GARIEPINUS,51.0,13.98,13.98,51.0,13.98
CLARIIDAE,SILURIFORMES,1.0,13.41,13.41,1.0,13.41
CLONORCHIS,SINENSIS,5.0,13.99,13.99,5.0,13.99
CLUPEA,HARENGUS,83.0,13.97,13.97,83.0,13.97
COBITIS,CALDERONI,9.0,13.21,13.21,9.0,13.21
COBITIS,TAENIA,12.0,13.5,13.5,12.0,13.5
COLISA,LALIA,1.0,13.99,13.99,1.0,13.99
COLLEMBOLA,OLIGOCHAETA,1.0,13.0,13.0,1.0,13.0
COLOSSOMA,MACROPOMUM,3.0,13.99,13.99,3.0,13.99
CONGER,CONGER,2.0,13.99,13.99,2.0,13.99
CORBICULA,FLUMINEA,3.0,13.99,13.99,3.0,13.99
COREGONUS,LAVARETUS,220.0,13.08,13.08,220.0,13.08
COROPHIUM,VOLUTATOR,5.0,13.99,13.99,5.0,13.99
COTTID,COTTIDAE,1.0,13.99,13.99,1.0,13.99
COTTIDAE,COTTUS,1.0,13.41,13.41,1.0,13.41
COTTIDAE,MORONIDAE,2.0,13.41,13.41,2.0,13.41
COUESIUS,PLUMBEUS,30.0,13.97,13.97,30.0,13.97
CRANGON,CRANGON,4.0,13.54,13.54,4.0,13.54
