filter,VTO_total,WEB_total,VTO_not_in_WEB,WEB_not_in_VTO,VTO_in_WEB,%_only_in_VTO,%_only_in_WEB,%_common_vs_VTO,%_common_WEB
WEB_freqsal_200310rel_over4_sal_over9.csv,107028,306,106816,95,211,99.80192099,31.04575163,0.197144672,68.95424837
WEB_freqsal_200310rel_over4_sal_over10.csv,107028,287,106827,87,200,99.81219868,30.31358885,0.186866988,69.68641115
WEB_freqsal_200310rel_over4_sal_over11.csv,107028,262,106841,76,186,99.82527937,29.00763359,0.173786299,70.99236641
