source,target,hits,score,score.1
ANGUILLA,JAPONICA,181.0,13.15,13.15
ANGUILLA,ROSTRATA,116.0,12.68,12.68
COREGONUS,LAVARETUS,218.0,13.02,13.02
CYPRINUS,CARPIO,123.0,12.204999999999998,12.204999999999998
GADUS,MORHUA,103.0,11.835,11.835
GASTEROSTEUS,ACULEATUS,254.0,13.96,13.96
LAMPETRA,FLUVIATILIS,204.0,12.6,12.6
ONCORHYNCHUS,KISUTCH,196.0,11.98,11.98
ONCORHYNCHUS,MYKISS,663.0,13.34,13.34
ONCORHYNCHUS,NERKA,182.0,11.89,11.89
ONCORHYNCHUS,TSHAWYTSCHA,156.0,11.69,11.69
PERCA,FLAVESCENS,136.0,12.4,12.4
PERCA,FLUVIATILIS,531.0,10.72,10.72
PETROMYZON,MARINUS,245.0,13.95,13.95
RUTILUS,RUTILUS,259.0,10.434999999999999,10.434999999999999
SALMO,GAIRDNERI,162.0,11.45,11.45
SALMO,SALAR,756.0,10.045,10.045
SALMO,TRUTTA,737.0,10.315000000000001,10.315000000000001
SALVELINUS,ALPINUS,579.0,13.47,13.47
SALVELINUS,FONTINALIS,209.0,12.879999999999999,12.879999999999999
SALVELINUS,NAMAYCUSH,189.0,12.24,12.24
