source,target,hits,score,score.1
ONCORHYNCHUS,CLARKI,31.0,9.48,9.48
ONCORHYNCHUS,GORBUSCHA,52.0,10.21,10.21
ONCORHYNCHUS,KETA,57.0,10.34,10.34
ONCORHYNCHUS,KISUTCH,196.0,11.98,11.98
ONCORHYNCHUS,MYKISS,663.0,13.34,13.34
ONCORHYNCHUS,NERKA,182.0,11.89,11.89
ONCORHYNCHUS,TSHAWYTSCHA,156.0,11.69,11.69
ORCINUS,ORCA,68.0,11.92,11.92
OREOCHROMIS,AUREUS,15.0,12.13,12.13
OREOCHROMIS,MOSSAMBICUS,29.0,12.87,12.87
OREOCHROMIS,NILOTICUS,35.0,12.79,12.79
OSMERUS,EPERLANUS,34.0,13.31,13.31
OSMERUS,MORDAX,40.0,13.28,13.28
PACIFASTACUS,LENIUSCULUS,16.0,13.91,13.91
PARALICHTHYS,OLIVACEUS,22.0,13.62,13.62
PERCA,FLAVESCENS,136.0,12.4,12.4
PERCA,FLUVIATILIS,531.0,10.72,10.72
PERCOPSIS,OMISCOMAYCUS,16.0,13.87,13.87
PETROMYZON,MARINUS,245.0,13.95,13.95
PHOXINUS,PHOXINUS,46.0,13.86,13.86
PIMEPHALES,PROMELAS,23.0,13.59,13.59
PLAGIOSCION,SQUAMOSISSIMUS,21.0,13.99,13.99
PLEURONECTES,PLATESSA,22.0,13.7,13.7
POMOXIS,NIGROMACULATUS,23.0,13.57,13.57
POTAMOGETON,PECTINATUS,19.0,13.01,13.01
PROSOPIUM,WILLIAMSONI,18.0,13.36,13.36
PSETTA,MAXIMA,15.0,13.77,13.77
PTYCHOCHEILUS,OREGONENSIS,18.0,13.41,13.41
PUNGITIUS,PUNGITIUS,45.0,13.85,13.85
RUTILUS,RUTILUS,259.0,10.434999999999999,10.434999999999999
SALMO,GAIRDNERI,162.0,11.45,11.45
SALMO,SALAR,756.0,10.045,10.045
SALMO,TRUTTA,737.0,10.315000000000001,10.315000000000001
SALVELINUS,ALPINUS,579.0,13.47,13.47
SALVELINUS,CONFLUENTUS,23.0,9.41,9.41
SALVELINUS,FONTINALIS,209.0,12.879999999999999,12.879999999999999
SALVELINUS,MALMA,61.0,10.76,10.76
SALVELINUS,NAMAYCUSH,189.0,12.24,12.24
SANDER,LUCIOPERCA,85.0,13.31,13.31
SANDER,VITREUS,46.0,12.95,12.95
SARDINOPS,SAGAX,22.0,13.96,13.96
SCARDINIUS,ERYTHROPHTHALMUS,47.0,13.83,13.83
SCOPHTHALMUS,MAXIMUS,25.0,13.91,13.91
SEMOTILUS,ATROMACULATUS,19.0,13.85,13.85
SILURUS,GLANIS,38.0,13.91,13.91
SPARUS,AURATA,22.0,12.65,12.65
SPRATTUS,SPRATTUS,19.0,13.96,13.96
STIZOSTEDION,LUCIOPERCA,45.0,12.69,12.69
STIZOSTEDION,VITREUM,38.0,13.21,13.21
THYMALLUS,ARCTICUS,72.0,13.18,13.18
THYMALLUS,THYMALLUS,96.0,10.505,10.505
TINCA,TINCA,37.0,13.92,13.92
VIMBA,VIMBA,18.0,12.69,13.41
VIVIPARUS,GEORGIANUS,19.0,13.99,13.99
