TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,data_source_y,_merge
,NIGROMACULATUS,ANNULARIS,,,,11.19,WEB corpus,right_only
 SPECIES,FIMBRIA,ANOPLOPOMA, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,SAYANUS,APHREDODERUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,GRUNNIENS,APLODINOTUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
,MELANOSTOMA,APOLLONIA,,,,13.73,WEB corpus,right_only
,MELANOSTOMUS,APOLLONIA,,,,9.48,WEB corpus,right_only
,LINNAEUS,AQUATICUS,,,,8.09,WEB corpus,right_only
,GADIDAE,ARCTICUS,,,,11.99,WEB corpus,right_only
,LAMPETRA,ARCTICUS,,,,12.68,WEB corpus,right_only
 SPECIES,CINEREA,ARDEA, GENUS,VTO ontology,is_a,13.93,WEB corpus,both
,LINNAEUS,ARDEA,,,,7.97,WEB corpus,right_only
,NOBILIS,ARISTICHTHYS,,,,12.41,WEB corpus,right_only
,CLUPEAFORMIS,ARTEDI,,,,8.76,WEB corpus,right_only
,CLUPEAFORMIS,ARTEDII,,,,8.76,WEB corpus,right_only
,SALINA,ARTEMIA,,,,13.99,WEB corpus,right_only
,INSECTA,ARTHROPODA,,,,13.99,WEB corpus,right_only
,AQUATICUS,ASELLUS,,,,13.94,WEB corpus,right_only
,LINNAEUS,ASELLUS,,,,7.93,WEB corpus,right_only
,ACULEATUS,ASPER,,,,6.98,WEB corpus,right_only
 SPECIES,ASPIUS,ASPIUS, GENUS,VTO ontology,is_a,13.66,WEB corpus,both
,BARBUS,ASPIUS,,,,10,WEB corpus,right_only
,BJOERKNA,ASPIUS,,,,10.14,WEB corpus,right_only
,GARIEPINUS,ASSEMBLAGE,,,,13.41,WEB corpus,right_only
 SPECIES,MEXICANUS,ASTYANAX, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,PRESBYTER,ATHERINA, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
,LIMI,ATROMACULATUS,,,,11.67,WEB corpus,right_only
,NAMAYCUSH,AURATUS,,,,7.38,WEB corpus,right_only
,TINCA,AURATUS,,,,9.64,WEB corpus,right_only
,BIDYANUS,AUSTRALASICA,,,,9.41,WEB corpus,right_only
,ERECTUM,AUSTRALIS,,,,12.19,WEB corpus,right_only
,MARINUS,AUSTRALIS,,,,7.04,WEB corpus,right_only
 SPECIES,GUAMENSIS,AWAOUS, GENUS,VTO ontology,is_a,13.41,WEB corpus,both
