TAXRANK_source,TAXRANK_target,source,target,data_source_x,relations_x,relations_y,data_source_y,_merge,Specific differences,Set criteria,,,,,,,
 GENUS, SPECIES,SALMO,TRUTTA,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,CYPRINIDAE,ESOX,,
 GENUS, SPECIES,SALMO,SALAR,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,CYPRINIDAE,PERCA,Family to genus (Cyprinidae) to genus (Perca) but should be Percidae(?) Is this something that is disputed at all?,Incorrect matching - group various rank
 GENUS, SPECIES,SALVELINUS,NAMAYCUSH,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,ESOX,CYPRINIDAE,,
 GENUS, SPECIES,SALVELINUS,ALPINUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,DREISSENA,POLYMORPHA,Zebra mussel,Invertebrate
 GENUS, SPECIES,SALVELINUS,MALMA,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,CYPRINIDAE,FLUVIATILIS,,
 GENUS, SPECIES,SALVELINUS,FONTINALIS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,CATOSTOMUS,COMMERSONI,White sucker is a freshwater cypriniform fish,Synonym in the VTO
 GENUS, SPECIES,ONCORHYNCHUS,TSHAWYTSCHA,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,COTTUS,BAIRDI,,
 GENUS, SPECIES,ONCORHYNCHUS,KETA,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,SALMO,GAIRDNERI,,
 GENUS, SPECIES,ONCORHYNCHUS,KISUTCH,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,SCOPHTHALMUS,MAXIMUS,turbot is a species of flatfish in the family Scophthalmidae. Related synonym for Psetta maxima,Synonym in the VTO
 GENUS, SPECIES,ONCORHYNCHUS,GORBUSCHA,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,STIZOSTEDION,LUCIOPERCA,,
 GENUS, SPECIES,ONCORHYNCHUS,MYKISS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,STIZOSTEDION,VITREUM,,
 GENUS, SPECIES,ONCORHYNCHUS,NERKA,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,THYMALLUS,ARCTICUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,THYMALLUS,THYMALLUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,OSMERUS,MORDAX,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,PETROMYZON,MARINUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,LAMPETRA,FLUVIATILIS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,LAMPETRA,PLANERI,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
 GENUS, SPECIES,LEUCISCUS,CEPHALUS,VTO ontology,is_a,PARENT-CHILD,extended corpus,both,,,,,,,,,
