source,target,hits sum,score mean,score median
ONCORHYNCHUS_NERKA,ONCORHYNCHUS_MYKISS,1,7.81,7.81
ONCORHYNCHUS_NERKA,SALMONIDAE,1,10.47,10.47
PEOPLE,ONCORHYNCHUS,1,13,13
RAINBOW,RAINBOW,1,11,11
RAINBOW-TROUT,SALMO_GAIRDNERI,1,9.48,9.48
RAINBOW_TROUT,ONCORHYNCHUS,1,8,8
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS_IRIDEUS,1,8.01,8.01
RAINBOW_TROUT,ONCORHYNCHUS_TSHAWYTSCHA,1,8.01,8.01
RAINBOW_TROUT,REDBAND,1,7.99,7.99
RAINBOW_TROUT,REDBAND_TROUT,1,12.19,12.19
RAINBOW_TROUT,SALMO-GAIRDNERI,1,8.93,8.93
RAINBOW_TROUT,SALVELINUS_ALPINUS,1,8.89,8.89
RAINBOW_TROUT,STEELHEAD_TROUT,1,13.41,13.41
REDBAND,RAINBOW,1,11.19,11.19
REDBAND,STEELHEAD,1,11.19,11.19
RESIDENT,STEELHEAD,1,11,11
SALMO,SALMONIDAE,1,10.14,10.14
SALMON,SALMO_GAIRDNERII,1,13.41,13.41
SALMONIDAE,BROWN_TROUT,1,9.75,9.75
SALMONIDAE,COREGONUS,1,10.04,10.04
SALMONIDAE,COREGONUS_ALPINUS,1,10.14,10.14
SALMONIDAE,COREGONUS_ANAULORUM,1,10.14,10.14
SALMONIDAE,COREGONUS_GUTTUROSUS,1,10.14,10.14
SALMONIDAE,COREGONUS_NELSONII,1,10.14,10.14
SALMONIDAE,PROSOPIUM_CYLINDRACEUM,1,11.83,11.83
SALMONIDAE,SALVELINUS_NAMAYCUSH,1,9.44,9.44
SALMONIDAE,THYMALLUS_THYMALLUS,1,10.14,10.14
SALMON_TROUT,TROUT,1,8.04,8.04
SALMO_SALAR,SALMONIDAE,1,10,10
SALMO_TRUTTA,RAINBOW_TROUT,1,9.16,9.16
SALMO_TRUTTA,SALMONIDAE,1,9.44,9.44
SALVELINUS_ALPINUS,SALMONIDAE,1,10.35,10.35
SALVELINUS_NAMAYCUSH,SALMONIDAE,1,10.04,10.04
SILVER_TROUT,REDBAND_TROUT,1,13.41,13.41
SILVER_TROUT,TROUT,1,8.03,8.03
SMOLT,STEELHEAD,1,11,11
STEELHEAD,CALIFORNIA,1,12.68,12.68
STEELHEAD,CREEK,1,12.68,12.68
STEELHEAD,MALE,1,12.41,12.41
STEELHEAD,SAGEHEN,1,12.68,12.68
TROUT,ONCORHYNCHUS_MYKISS_AGUABONITA,1,7.2,7.2
