parent,child,hits,score,score
,,sum,mean,median
BARBUS_PETENYI,LOTA_LOTA,1.0,13.99,13.99
BARBUS_SCLATERI,IBEROCHONDROSTOMA_ALMACAI,1.0,13.99,13.99
BATRACHIUM,MYRIOPHYLLUM,1.0,13.99,13.99
BIVALVIA,CLADOCERA,1.0,12.19,12.19
BLEPHAROCERIDAE,DIXIDAE,1.0,13.99,13.99
BLUEGILL,LEPOMIS_CYANELLUS,1.0,10.6,10.6
BLUEGILL,LEPOMIS_MACROCHIRUS,11.0,13.6,13.6
BLUEGILL,VALLISNERIA,1.0,11.0,11.0
BOSMINIDAE,LARVA,2.0,7.31,7.31
BRACHIONUS,HEXARTHRA,1.0,13.99,13.99
BRACHYCENTRIDAE,PHRYGANEIDAE,1.0,13.0,13.0
BRACHYMYSTAX,HUCHO,1.0,13.99,13.99
BRYCONAMERICUS_STRAMINEUS,CICHLA_SPP,1.0,13.41,13.41
BULLHEAD,AMEIURUS_MELAS,3.0,11.19,11.19
BULLHEAD,AMEIURUS_NEBULOSUS,1.0,9.67,9.67
BULLHEAD,AMEIURUS_SPP,1.0,9.53,9.53
BULLHEAD,AMIEURUS_NATALIS,1.0,9.67,9.67
BULLHEAD,COTTUS,2.0,10.64,10.64
BULLHEAD,COTTUS_GOBIO,15.0,13.09,13.09
BULLHEAD,PIMEPHALES_VIGILAX,3.0,11.03,11.03
CAECIDOTEA,LIRCEUS,1.0,13.99,13.99
CAENIDAE,BAETIDAE,2.0,13.67,13.67
CAENIDAE,DAPHNIDAE,1.0,13.0,13.0
CAIOLA,CALLES,1.0,13.99,13.99
CALANOIDA,BOSMINA_SPP,1.0,12.68,12.68
CALANOIDA,CLADOCERA,1.0,11.99,11.99
CALLES,CAMPANA,2.0,13.99,13.99
CALLICHTHYIDAE,LORICARIIDAE,1.0,12.68,12.68
CALLITRICHE,BATRACHIUM,1.0,13.99,13.99
CAMBARIDAE,MACROBRANCHIUM,1.0,13.41,13.41
CAMPOSTOMA_ANOMALUM,NOTURUS,1.0,12.68,12.68
CAMPOSTOMA_ANOMALUM,SEMOTILUS_ATROMACULATUS,1.0,13.41,13.41
CARASSIUS,CYPRINIDAE,1.0,11.3,11.3
CARASSIUS_GIBELIO,LEPOMIS_GIBBOSUS,1.0,12.19,12.19
CAREX_RIPARIA,JUNCUS_EFFUSUS,1.0,13.99,13.99
CARP,CYPRINUS_CARPIO,1.0,13.41,13.41
CARPIODES_CARPIO,ICTALURUS_PUNCTATUS,1.0,12.68,12.68
CARPOIDES_CARPIO,LEPISOSTEUS_SPP,1.0,13.0,13.0
CATARINA,CORREIA,1.0,13.99,13.99
CATONOTUS,ETHEOSTOMA_FLABELLARE,1.0,13.41,13.41
CATONOTUS,SPECIES,1.0,11.41,11.41
CATOSTOMIDAE,CARPIODES_SPP,1.0,13.0,13.0
CATOSTOMIDAE,MORONIDAE,1.0,13.0,13.0
CATOSTOMIDAE,TELEOSTEI,1.0,11.83,11.83
CATOSTOMUS,CHASMISTES,1.0,13.99,13.99
CATOSTOMUS_COMMERSONII,CULAEA_INCONSTANS,1.0,13.99,13.99
CENTRARCHIDAE,LEPOMISGIBBOSUS,1.0,12.19,12.19
CENTRARCHIDAE,LEPOMIS_GIBBOSUS,2.0,12.41,12.41
CENTRARCHIDAE,LEPOMIS_SPP,3.0,12.58,12.58
CERAMBYCIDAE,DISTENIIDAE,1.0,13.99,13.99
CERATOPHYLLUM,FONTINALIS,1.0,13.99,13.99
CERATOPHYLLURN_DEMERSUM,MYRIOPHYLLUM_SPICATUM,1.0,13.99,13.99
CERATOPOGONIDAE,LARVA,1.0,6.3,6.3
CERATOPOGONIDAE,TABANIDAE,1.0,13.41,13.41
CERIODAPHNIA,ROTIFERA,1.0,13.0,13.0
CHANNIDAE,CHANNA_ARGUS,1.0,13.99,13.99
CHAOBORUS,LARVA,1.0,6.31,6.31
CHARACIDAE,CICHLIDAE,1.0,11.83,11.83
CHARACIDAE,OSTARIOPHYSI,1.0,12.19,12.19
CHARACIDAE,TETRAGONOPTERIDAE,1.0,12.19,12.19
CHARACIDAE,TETRAGONOPTERINAE,3.0,13.41,13.41
CHARACIDIUM,TRICHOMYCTERUS,1.0,13.99,13.99
CHARACIFORMES,ASTYANAX_SPP,1.0,13.41,13.41
CHARACIFORMES,CHARACIDAE,1.0,12.41,12.41
CHIRONOMID,DIET,2.0,12.335,12.335
CHIRONOMID,DIPOREIA,1.0,12.68,12.68
CHIRONOMID,FISH,1.0,8.4,8.4
CHIRONOMID,IMPORTANCE,1.0,13.0,13.0
CHIRONOMID,INSECT,1.0,13.0,13.0
CHIRONOMID,LARVA,6.0,8.87,8.87
CHIRONOMID,TRICHOPTERA,1.0,8.98,8.98
CHIRONOMIDAE,DIPTERA,1.0,9.87,9.87
CHIRONOMIDAE,LARVA,18.0,10.4,10.4
CHIRONOMIDAE,MOLLUSCA,1.0,10.24,10.24
CHIRONOMIDAE,ODONATA,2.0,11.0,11.0
CHIRONOMIDAE,SIMULIIDAE,1.0,10.19,10.19
CHIRONOMIDAE,TRICHOPTERA,1.0,9.53,9.53
CHLOROPHYTA,SCENEDESMUS,1.0,13.99,13.99
CHONDROSTOMA_DURIENSE,SALMO_TRUTTA,1.0,7.33,7.33
CHONDROSTOMA_OLIGOLEPIS,SALMO_TRUTTA,1.0,7.33,7.33
CHYDORIDAE,ROTIFERA,1.0,13.0,13.0
CICADELLIDAE,ONISCIDEA,1.0,13.41,13.41
CICHLA,SPECIE,4.0,6.43,6.43
CICHLASOMA_UROPHTHALMUS,HEMICHROMIS_LETOURNEUXI,1.0,13.99,13.99
CICHLA_PIQUITI,OREOCHROMIS_NILOTICUS,1.0,13.99,13.99
CICHLIDAE,CICHLASOMA_FACETUM,1.0,11.99,11.99
CICHLIDAE,LORICARIIDAE,1.0,11.99,11.99
CICHLIDAE,MONODACTYLIDAE,1.0,12.19,12.19
CICHLIDAE,SPECIE,1.0,4.43,4.43
CICONIA_CICONIA,MILVUS_NIGRANS,1.0,13.99,13.99
CLADOCERA,CHIRONOMIDAE,1.0,11.3,11.3
CLADOCERA,COPEPODA,5.0,12.68,12.68
CLADOCERA,DAPHNIA,1.0,13.99,13.99
CLADOCERA,GAMBUSIA_AFFINIS,1.0,11.19,11.19
CLADOCERA,LARVA,1.0,6.28,6.28
CLADOCERA,OSTRACODA,1.0,11.0,11.0
CLADONIA,VACCINIUM,1.0,13.99,13.99
CLARIAS_GARIEPINUS,HYPOSTOMUS_SPP,1.0,13.0,13.0
CLARIAS_PLATYCEPHALUS,CLARIAS_PACHYNEMA,1.0,13.99,13.99
CLUPEIDAE,ALOSA_PSUEDOHARENGUS,1.0,12.68,12.68
CLUPEIDAE,CYPRINIDAE,1.0,11.0,11.0
CLUPEIDAE,DOROSOMA_CEPEDIANUM,1.0,12.41,12.41
CLUPEIDAE,DOROSOMA_SPP,1.0,12.19,12.19
COBITIDAE,COBITIS_TAENIA,1.0,13.99,13.99
COBITIS_PALUDICA,SALMO_TRUTTA,1.0,7.33,7.33
COBITIS_SINENSIS,ODONTOBUTIS_OBSCURUS,1.0,13.99,13.99
COBITIS_TAENIA,SILURUS_GLANIS,1.0,12.68,12.68
COENAGRIONIDAE,ERPOBDELLIDAE_SPP,1.0,13.0,13.0
COLEOPTERA,ARACHNIDA,1.0,10.82,10.82
COLEOPTERA,CERAMBYCIDAE,1.0,10.82,10.82
COLEOPTERA,COLEOPTERA,1.0,10.68,10.68
COLEOPTERA,COPEPODA,4.0,11.95,11.95
COLEOPTERA,DIPTERA,2.0,11.19,11.19
COLEOPTERA,DYTISCIDAE,1.0,10.82,10.82
COLEOPTERA,HEMIPTERA,4.0,12.09,12.09
COLEOPTERA,HYMENOPTERA,1.0,10.54,10.54
COLEOPTERA,LARVA,1.0,6.25,6.25
COLEOPTERA,ODONATA,1.0,10.35,10.35
COLLEMBOLA,COPEPODA,4.0,12.6,12.6
COLLEMBOLA,HYMENOPTERA,1.0,11.67,11.67
COMPETITOR,SALVELINUS_ALPINUS,1.0,12.41,12.41
CONCHOSTRACA,DECAPODA,1.0,13.99,13.99
COPEPODA,ACARINA,1.0,12.41,12.41
COPEPODA,GAMBUSIA_AFFINIS,1.0,11.67,11.67
COPEPODA,LARVA,1.0,6.3,6.3
COPEPODA,OSTRACODA,2.0,12.41,12.41
COPEPODS,INVERTEBRATE,1.0,10.6,10.6
COREGONUS,IUVURETUS,1.0,12.41,12.41
COREGONUS,SPECIE,2.0,5.42,5.42
COREGONUS,ZAVARETUS,2.0,13.19,13.19
COREGONUS_LAVARETUS,LARVA,1.0,6.31,6.31
CORIXIDAE,TRICHOPTERA,1.0,10.6,10.6
COTTUS,FISH,2.0,7.69,7.69
COTTUS,LINNAEUS,1.0,8.55,8.55
COTTUS,SPECIE,4.0,6.42,6.42
COTTUS,SPECIES,3.0,8.93,8.93
COTTUS_COGNATUS,COUESIUS_PLUMBEUS,1.0,13.41,13.41
COTTUS_COGNATUS,SOREX_SPP,1.0,12.68,12.68
COTTUS_GOBIO,BARBATULA_BARBATULA,1.0,13.41,13.41
COTTUS_GOBIO,LINNAEUS,1.0,8.69,8.69
COTTUS_NOZAWAE,PARAHUCHO_PERRYI,1.0,13.99,13.99
COTTUS_TALHPOOSAE,COTTUS_CAROLINAE,1.0,13.0,13.0
CRATEROCEPHALUS,SPECIE,2.0,5.43,5.43
CRENICICHLA_TENDYBAGUASSU,GYMNOGEOPHAGUS,1.0,13.41,13.41
CRUSTACEA,CYMOTHOIDAE,1.0,13.99,13.99
CTENOGOBIUS,ACROSSOCHEILUS_FASCIATUS,1.0,13.99,13.99
CTENOPOMA_CTENOTIS,COPEIA,1.0,13.99,13.99
CURTONOTUM_HELVUM,HEMIPTERA,1.0,11.19,11.19
CYCLEPTUS_ELONGATUS,ICTIOBUS_SPP,1.0,13.99,13.99
CYCLOPOIDA,CALANOIDA,1.0,13.99,13.99
CYCLOPTERUS_LUMPUS,TROUT,1.0,8.16,8.16
CYPRINELLA,PIMEPHALES,2.0,13.19,13.19
CYPRINELLA_CALLITAENIA,NOTROPIS_HYPSILEPIS,1.0,13.99,13.99
CYPRINELLA_SPILOPTERA,LUXILUS_CHRYSOCEPHALUS,1.0,13.0,13.0
CYPRINELLA_WHIPPLEI,LUXILUS_CHRYSOCEPHALUS,1.0,13.0,13.0
CYPRINIDAE,ABRAMIS_BRAMA,1.0,11.3,11.3
CYPRINIDAE,FUNDULIDAE,1.0,11.83,11.83
CYPRINIDAE,PERCIDAE,1.0,11.19,11.19
CYPRINIDAE,POECILIIDAE,1.0,11.3,11.3
