source,target,hits,score,score.1,Hits,Score
BABKA,GYMNOTRACHELUS,1.0,13.99,13.99,1.0,13.99
BACCHARIS,SALICIFOLIA,1.0,13.99,13.99,1.0,13.99
BAGRUS,DOCMAK,5.0,13.99,13.99,5.0,13.99
BAIRDIELLA,CHRYSOURA,3.0,13.99,13.99,3.0,13.99
BALANUS,NAUPLIUS,25.0,13.96,13.96,25.0,13.96
BARBATULA,BARBATULA,17.0,13.72,13.72,17.0,13.72
BARCOO,SILURIDAE,1.0,13.99,13.99,1.0,13.99
BELONE,BELONE,9.0,13.99,13.99,9.0,13.99
BELONIFORMES,ADRIANICHTHYIDAE,1.0,13.99,13.99,1.0,13.99
BEMBROPS,FILIFERA,1.0,13.99,13.99,1.0,13.99
BERRYTHEUTHIS,MAGISTER,3.0,13.58,13.58,3.0,13.58
BERULA,ERECTA,1.0,13.99,13.99,1.0,13.99
BICOTYLE,VELLAVOLI,1.0,13.99,13.99,1.0,13.99
BIDENS,BECKII,1.0,13.99,13.99,1.0,13.99
BIDYANUS,BIDYANUS,46.0,13.98,13.98,46.0,13.98
BIOMPHALARIA,BULINUS,2.0,13.99,13.99,2.0,13.99
BIRGEI,CYCLOPIDAE,1.0,13.99,13.99,1.0,13.99
BISTON,BETULARIA,1.0,13.99,13.99,1.0,13.99
BITHYNIA,TENTACULATA,3.0,13.99,13.99,3.0,13.99
BIVALVIA,ALASMIDONTA,1.0,13.99,13.99,1.0,13.99
BLATTELLA,ASAHINAI,1.0,13.99,13.99,1.0,13.99
BLICCA,BJOERKNA,24.0,13.88,13.88,24.0,13.88
BOLBOPHORUS,LEVANTINUS,3.0,13.58,13.58,3.0,13.58
BONAMIA,EXITIOSA,2.0,13.67,13.67,2.0,13.67
BOREOGADUS,SAIDA,9.0,13.99,13.99,9.0,13.99
BOTHIDAE,CYNOGLOSSIDAE,3.0,13.99,13.99,3.0,13.99
BOTHRIOCEPHALUS,ACHEILOGNATHI,2.0,13.67,13.67,2.0,13.67
BRACHYMYSTAX,LENOK,2.0,13.67,13.67,2.0,13.67
BRACHYRAPHIS,EPISCOPI,1.0,13.99,13.99,1.0,13.99
BRACHYURA,GRAPSIDAE,4.0,13.54,13.54,4.0,13.54
BRANTA,BERNICLA,3.0,13.99,13.99,3.0,13.99
BREVOORTIA,TYRANNUS,6.0,13.99,13.99,6.0,13.99
BSN,ARTEMIA,1.0,13.99,13.99,1.0,13.99
BUCEPHALA,CLANGULA,5.0,13.73,13.73,5.0,13.73
BUCEPHALOPSIS,GRACILESCENS,2.0,13.99,13.99,2.0,13.99
BUFO,CALAMITA,6.0,13.77,13.77,6.0,13.77
BUNODERA,CREPIDOSTOMUM,1.0,13.99,13.99,1.0,13.99
BUTOMUS,UMBELLATUS,1.0,13.99,13.99,1.0,13.99
BYTHOTREPHES,LONGIMANUS,6.0,13.67,13.67,6.0,13.67
CAENORHABDITIS,ELEGANS,2.0,13.67,13.67,2.0,13.67
CALANOIDA,CYCLOPOIDA,1.0,13.99,13.99,1.0,13.99
CALANOIDES,PATAGONIENSIS,2.0,13.99,13.99,2.0,13.99
CALLICHTHYS,CALLICHTHYS,1.0,13.99,13.99,1.0,13.99
CALLINECTES,SAPIDUS,5.0,13.99,13.99,5.0,13.99
CALLITRICHE,OBTUSANGULA,2.0,13.99,13.99,2.0,13.99
CALOCIDAE,HELICOPHIDAE,1.0,13.99,13.99,1.0,13.99
CAMPELOMA,DECISUM,1.0,13.99,13.99,1.0,13.99
CAMPOSTOMA,ANOMALUM,3.0,13.99,13.99,3.0,13.99
CANDALIDES,HEATHI,1.0,13.99,13.99,1.0,13.99
CANDIDA,UTILIS,1.0,13.99,13.99,1.0,13.99
CAPREOLUS,CAPREOLUS,1.0,13.99,13.99,1.0,13.99
CAPRINIANA,PISCIUM,4.0,13.99,13.99,4.0,13.99
CAPROS,APER,1.0,13.99,13.99,1.0,13.99
CARCINUS,MAENAS,2.0,13.99,13.99,2.0,13.99
CARETTA,CARETTA,1.0,13.99,13.99,1.0,13.99
CARNIVORA,PINNIPEDIA,1.0,13.99,13.99,1.0,13.99
CARPILIUS,CONVEXUS,1.0,13.99,13.99,1.0,13.99
CASTOR,FIBER,1.0,13.99,13.99,1.0,13.99
CATLA,CATLA,3.0,13.58,13.58,3.0,13.58
CATOSTOMAS,RIMICULUS,2.0,13.99,13.99,2.0,13.99
CAULERPA,TAXIFOLIA,1.0,13.99,13.99,1.0,13.99
CENTROPOMUS,SNOOK,1.0,13.99,13.99,1.0,13.99
CENTROPOMUS,UNDECIMALIS,1.0,13.99,13.99,1.0,13.99
CENTROPRISTIS,STRIATA,8.0,13.75,13.75,8.0,13.75
CERASTODERMA,EDULE,2.0,13.67,13.67,2.0,13.67
CERATIUM,HIRUNDINELLA,4.0,13.83,13.83,4.0,13.83
CERATOPHRYS,CRANWELLI,1.0,13.99,13.99,1.0,13.99
CERATOPHYLLUM,DEMERSUM,18.0,13.85,13.85,18.0,13.85
CERATOPOGON,IDAE,1.0,13.99,13.99,1.0,13.99
CERATOPOGONIDAE,ELEOCHARIS,1.0,13.99,13.99,1.0,13.99
CERCOPAGIS,PENGOI,5.0,13.99,13.99,5.0,13.99
CERORHINCA,MONOCERATA,1.0,13.99,13.99,1.0,13.99
CHAETODON,MULTICINCTUS,1.0,13.99,13.99,1.0,13.99
