TAXRANK_target,target,TAXRANK_source,source,relations,hits,score,score.1,Hits,Score,_merge
 SPECIES,LUTRA, GENUS,LUTRA,PARENT-CHILD,12.0,13.99,13.99,12.0,13.99,both
 SPECIES,ELAPHUS, GENUS,CERVUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,MUSCULUS, GENUS,MUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,MUSCULUS, GENUS,MUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,MUSCULUS, GENUS,MUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,SAGREI, GENUS,ANOLIS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,UNDULATUS, GENUS,SCELOPORUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,CRISTATUS, GENUS,PODICEPS,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99,both
 SPECIES,GARZETTA, GENUS,EGRETTA,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99,both
 SPECIES,CINEREA, GENUS,ARDEA,PARENT-CHILD,4.0,13.67,13.67,4.0,13.67,both
 SPECIES,SPATULA, GENUS,ATRACTOSTEUS,PARENT-CHILD,6.0,13.99,13.99,6.0,13.99,both
 SPECIES,GIGAS, GENUS,ARAPAIMA,PARENT-CHILD,14.0,13.99,13.99,14.0,13.99,both
 SPECIES,HARENGUS, GENUS,CLUPEA,PARENT-CHILD,6.0,13.99,13.99,6.0,13.99,both
 SPECIES,TYRANNUS, GENUS,BREVOORTIA,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,CEPEDIANUM, GENUS,DOROSOMA,PARENT-CHILD,17.0,13.72,13.72,17.0,13.72,both
 SPECIES,GARIEPINUS, GENUS,CLARIAS,PARENT-CHILD,5.0,13.51,13.51,5.0,13.51,both
 SPECIES,PUNCTATUS, GENUS,ICTALURUS,PARENT-CHILD,22.0,13.87,13.87,22.0,13.87,both
 SPECIES,NEBULOSUS, GENUS,AMEIURUS,PARENT-CHILD,5.0,13.62,13.62,5.0,13.62,both
 SPECIES,OLIVARIS, GENUS,PYLODICTIS,PARENT-CHILD,7.0,13.72,13.72,7.0,13.72,both
 SPECIES,QUELEN, GENUS,RHAMDIA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,GRANULOSUS, GENUS,PTERODORAS,CHILD-PARENT,13.0,13.94,13.94,13.0,13.94,both
 SPECIES,GRANULOSUS, GENUS,PTERODORAS,CHILD-PARENT,13.0,13.94,13.94,13.0,13.94,both
 SPECIES,ODOE, GENUS,HEPSETUS,PARENT-CHILD,5.0,13.99,13.99,5.0,13.99,both
 SPECIES,VITTATUS, GENUS,HYDROCYNUS,PARENT-CHILD,9.0,13.77,13.77,9.0,13.77,both
 SPECIES,NATTERERI, GENUS,PYGOCENTRUS,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99,both
 SPECIES,HEPSETUS, GENUS,OLIGOSARCUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,INTERMEDIUS, GENUS,ASTYANAX,PARENT-CHILD,11.0,13.6,13.6,11.0,13.6,both
 SPECIES,ERYTHROZONUS, GENUS,HEMIGRAMMUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
