source,target,relations,hits,score,score.1,TAXRANK_target,TAXRANK_source
ABRAMIS,BRAMA,PARENT-CHILD,54.0,13.81,13.81, SPECIES, GENUS
ALBURNUS,ALBURNUS,PARENT-CHILD,28.0,13.92,13.92, SPECIES, GENUS
ALOSA,ALOSA,PARENT-CHILD,13.0,12.68,12.68, SPECIES, GENUS
ALOSA,PSEUDOHARENGUS,PARENT-CHILD,13.0,12.68,12.68, SPECIES, GENUS
ALOSA,SAPIDISSIMA,PARENT-CHILD,18.0,11.125,11.125, SPECIES, GENUS
AMBLOPLITES,RUPESTRIS,PARENT-CHILD,15.0,13.69,13.69, SPECIES, GENUS
ANGUILLA,ANGUILLA,PARENT-CHILD,52.0,12.86,12.86, SPECIES, GENUS
ANGUILLA,AUSTRALIS,PARENT-CHILD,10.0,10.74,10.74, SPECIES, GENUS
ANGUILLA,DIEFFENBACHII,PARENT-CHILD,26.0,12.03,12.03, SPECIES, GENUS
ANGUILLA,JAPONICA,PARENT-CHILD,50.0,12.79,12.79, SPECIES, GENUS
ANGUILLA,ROSTRATA,PARENT-CHILD,32.0,12.27,12.27, SPECIES, GENUS
ARAPAIMA,GIGAS,PARENT-CHILD,14.0,13.99,13.99, SPECIES, GENUS
ASTYANAX,INTERMEDIUS,PARENT-CHILD,11.0,13.6,13.6, SPECIES, GENUS
BARBATULA,BARBATULA,PARENT-CHILD,16.0,13.95,13.95, SPECIES, GENUS
BARBUS,BARBUS,PARENT-CHILD,59.0,13.61,13.61, SPECIES, GENUS
BLICCA,BJOERKNA,PARENT-CHILD,14.0,13.48,13.48, SPECIES, GENUS
CAMPOSTOMA,ANOMALUM,PARENT-CHILD,16.0,13.99,13.99, SPECIES, GENUS
CARASSIUS,AURATUS,PARENT-CHILD,24.0,13.11,13.11, SPECIES, GENUS
CARASSIUS,CARASSIUS,PARENT-CHILD,22.0,13.14,13.14, SPECIES, GENUS
CATOSTOMUS,CATOSTOMUS,PARENT-CHILD,10.0,12.54,12.54, SPECIES, GENUS
CATOSTOMUS,COMMERSONII,PARENT-CHILD,10.0,12.54,12.54, SPECIES, GENUS
CHONDROSTOMA,NASUS,PARENT-CHILD,21.0,13.32,13.32, SPECIES, GENUS
COREGONUS,ALBULA,PARENT-CHILD,94.0,13.01,13.01, SPECIES, GENUS
COREGONUS,ARTEDI,PARENT-CHILD,10.0,10.13,10.13, SPECIES, GENUS
COREGONUS,CLUPEAFORMIS,PARENT-CHILD,17.0,10.87,10.87, SPECIES, GENUS
COREGONUS,LAVARETUS,PARENT-CHILD,95.0,13.01,13.01, SPECIES, GENUS
COREGONUS,NASUS,PARENT-CHILD,13.0,10.39,10.39, SPECIES, GENUS
