source,target,relations,hits,score,score.1,Hits,Score,TAXRANK_target,TAXRANK_source
CATOSTOMUS,CATOSTOMUS,PARENT-CHILD,10.0,12.54,12.54,10.0,12.54, SPECIES, GENUS
CATOSTOMUS,CLARKII,PARENT-CHILD,3.0,10.65,10.65,3.0,10.65, SPECIES, GENUS
CATOSTOMUS,COMMERSONII,PARENT-CHILD,10.0,12.54,12.54,10.0,12.54, SPECIES, GENUS
CATOSTOMUS,DISCOBOLUS,PARENT-CHILD,3.0,11.03,11.03,3.0,11.03, SPECIES, GENUS
CATOSTOMUS,INSIGNIS,PARENT-CHILD,1.0,9.5,9.5,1.0,9.5, SPECIES, GENUS
CATOSTOMUS,LATIPINNIS,PARENT-CHILD,3.0,11.03,11.03,3.0,11.03, SPECIES, GENUS
CATOSTOMUS,MACROCHEILUS,PARENT-CHILD,3.0,11.03,11.03,3.0,11.03, SPECIES, GENUS
CERVUS,ELAPHUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99, SPECIES, GENUS
CHARACIFORMES,CHARACIDAE,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68, FAMILY, ORDER
CHEIMARRICHTHYS,FOSTERI,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
CHONDROSTOMA,NASUS,PARENT-CHILD,21.0,13.32,13.32,21.0,13.32, SPECIES, GENUS
CLARIAS,CAMERUNENSIS,PARENT-CHILD,1.0,11.54,11.54,1.0,11.54, SPECIES, GENUS
CLARIAS,GARIEPINUS,PARENT-CHILD,5.0,13.51,13.51,5.0,13.51, SPECIES, GENUS
CLARIAS,JAENSIS,PARENT-CHILD,1.0,11.54,11.54,1.0,11.54, SPECIES, GENUS
CLARIAS,PACHYNEMA,PARENT-CHILD,1.0,11.54,11.54,1.0,11.54, SPECIES, GENUS
CLARIAS,PLATYCEPHALUS,PARENT-CHILD,1.0,11.54,11.54,1.0,11.54, SPECIES, GENUS
CLINOSTOMUS,FUNDULOIDES,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99, SPECIES, GENUS
CLUPEA,HARENGUS,PARENT-CHILD,6.0,13.99,13.99,6.0,13.99, SPECIES, GENUS
COBITIS,PALUDICA,PARENT-CHILD,8.0,13.35,13.35,8.0,13.35, SPECIES, GENUS
COBITIS,TAENIA,PARENT-CHILD,7.0,13.16,13.16,7.0,13.16, SPECIES, GENUS
COREGONUS,ALBULA,PARENT-CHILD,94.0,13.01,13.01,94.0,13.01, SPECIES, GENUS
COREGONUS,ARTEDI,PARENT-CHILD,10.0,10.13,10.13,10.0,10.13, SPECIES, GENUS
COREGONUS,CLUPEAFORMIS,PARENT-CHILD,17.0,10.87,10.87,17.0,10.87, SPECIES, GENUS
COREGONUS,HOYI,PARENT-CHILD,8.0,9.82,9.82,8.0,9.82, SPECIES, GENUS
COREGONUS,LAVARETUS,PARENT-CHILD,95.0,13.01,13.01,95.0,13.01, SPECIES, GENUS
COREGONUS,NASUS,PARENT-CHILD,13.0,10.39,10.39,13.0,10.39, SPECIES, GENUS
COREGONUS,SARDINELLA,PARENT-CHILD,11.0,10.27,10.27,11.0,10.27, SPECIES, GENUS
COTTUS,BAIRDII,PARENT-CHILD,9.0,10.73,10.73,9.0,10.73, SPECIES, GENUS
COTTUS,CAROLINAE,PARENT-CHILD,8.0,10.56,10.56,8.0,10.56, SPECIES, GENUS
COTTUS,COGNATUS,PARENT-CHILD,20.0,11.78,11.78,20.0,11.78, SPECIES, GENUS
COTTUS,GOBIO,PARENT-CHILD,73.0,13.13,13.13,73.0,13.13, SPECIES, GENUS
COTTUS,HANGIONGENSIS,PARENT-CHILD,5.0,9.91,9.91,5.0,9.91, SPECIES, GENUS
COTTUS,PAULUS,PARENT-CHILD,6.0,10.17,10.17,6.0,10.17, SPECIES, GENUS
COTYLOPUS,ACUTIPINNIS,PARENT-CHILD,6.0,13.99,13.99,6.0,13.99, SPECIES, GENUS
COUESIUS,PLUMBEUS,PARENT-CHILD,5.0,13.99,13.99,5.0,13.99, SPECIES, GENUS
CRATEROCEPHALUS,STRAMINEUS,CHILD-PARENT,1.0,10.41,10.41,1.0,10.41, SPECIES, GENUS
CYCLEPTUS,ELONGATUS,PARENT-CHILD,2.0,13.41,13.41,2.0,13.41, SPECIES, GENUS
CYPRINELLA,CAERULEA,PARENT-CHILD,6.0,11.91,11.91,6.0,11.91, SPECIES, GENUS
CYPRINELLA,GALACTURA,PARENT-CHILD,2.0,10.44,10.44,2.0,10.44, SPECIES, GENUS
CYPRINELLA,LUTRENSIS,PARENT-CHILD,9.0,12.33,12.33,9.0,12.33, SPECIES, GENUS
CYPRINELLA,VENUSTA,PARENT-CHILD,24.0,13.47,13.47,24.0,13.47, SPECIES, GENUS
CYPRINIFORMES,CATOSTOMIDAE,CHILD-PARENT,1.0,13.0,13.0,1.0,13.0, FAMILY, ORDER
CYPRINIFORMES,CYPRINIDAE,CHILD-PARENT,1.0,11.0,11.0,1.0,11.0, FAMILY, ORDER
CYPRINODON,MACULARIUS,PARENT-CHILD,3.0,12.77,12.77,3.0,12.77, SPECIES, GENUS
CYPRINODON,NEVADENSIS,PARENT-CHILD,1.0,11.41,11.41,1.0,11.41, SPECIES, GENUS
CYPRINODON,PECOSENSIS,PARENT-CHILD,1.0,11.41,11.41,1.0,11.41, SPECIES, GENUS
CYPRINODON,RUBROFLUVIATILIS,PARENT-CHILD,3.0,12.77,12.77,3.0,12.77, SPECIES, GENUS
CYPRINODON,TULAROSA,PARENT-CHILD,3.0,12.77,12.77,3.0,12.77, SPECIES, GENUS
CYPRINUS,CARPIO,PARENT-CHILD,2.0,13.19,13.19,2.0,13.19, SPECIES, GENUS
DICENTRARCHUS,LABRAX,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99, SPECIES, GENUS
DOROSOMA,CEPEDIANUM,PARENT-CHILD,17.0,13.72,13.72,17.0,13.72, SPECIES, GENUS
DOROSOMA,PETENENSE,PARENT-CHILD,4.0,12.29,12.29,4.0,12.29, SPECIES, GENUS
EGRETTA,GARZETTA,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99, SPECIES, GENUS
ENGRAULIS,ENCRASICOLUS,PARENT-CHILD,1.0,12.41,12.41,1.0,12.41, SPECIES, GENUS
ENGRAULIS,MORDAX,PARENT-CHILD,4.0,12.24,12.24,4.0,12.24, SPECIES, GENUS
ESOX,LUCIUS,PARENT-CHILD,179.0,11.995,11.995,179.0,11.995, SPECIES, GENUS
ETHEOSTOMA,CAERULEUM,PARENT-CHILD,9.0,11.25,11.25,9.0,11.25, SPECIES, GENUS
ETHEOSTOMA,CINEREUM,PARENT-CHILD,14.0,11.83,11.83,14.0,11.83, SPECIES, GENUS
ETHEOSTOMA,EXILE,PARENT-CHILD,5.0,10.45,10.45,5.0,10.45, SPECIES, GENUS
ETHEOSTOMA,FLABELLARE,PARENT-CHILD,17.0,12.06,12.06,17.0,12.06, SPECIES, GENUS
ETHEOSTOMA,NIANGUAE,PARENT-CHILD,3.0,9.72,9.72,3.0,9.72, SPECIES, GENUS
ETHEOSTOMA,NIGRUM,PARENT-CHILD,17.0,12.08,12.08,17.0,12.08, SPECIES, GENUS
ETHEOSTOMA,SIMOTERUM,PARENT-CHILD,3.0,9.74,9.74,3.0,9.74, SPECIES, GENUS
ETHEOSTOMA,SPECTABILE,PARENT-CHILD,19.0,12.2,12.2,19.0,12.2, SPECIES, GENUS
ETHEOSTOMA,ZONALE,PARENT-CHILD,3.0,9.74,9.74,3.0,9.74, SPECIES, GENUS
FUNDULUS,DIAPHANUS,PARENT-CHILD,1.0,9.57,9.57,1.0,9.57, SPECIES, GENUS
FUNDULUS,HETEROCLITUS,PARENT-CHILD,9.0,12.49,12.49,9.0,12.49, SPECIES, GENUS
FUNDULUS,NOTATUS,PARENT-CHILD,15.0,12.77,12.77,15.0,12.77, SPECIES, GENUS
FUNDULUS,OLIVACEUS,PARENT-CHILD,11.0,12.73,12.73,11.0,12.73, SPECIES, GENUS
FUNDULUS,SCIADICUS,PARENT-CHILD,2.0,10.54,10.54,2.0,10.54, SPECIES, GENUS
FUNDULUS,ZEBRINUS,PARENT-CHILD,2.0,10.54,10.54,2.0,10.54, SPECIES, GENUS
FUNDULUS,ZEBRINUS,PARENT-CHILD,2.0,10.54,10.54,2.0,10.54, SPECIES, GENUS
GADUS,MORHUA,PARENT-CHILD,30.0,13.97,13.97,30.0,13.97, SPECIES, GENUS
GALAXIAS,ARGENTEUS,PARENT-CHILD,5.0,11.32,11.32,5.0,11.32, SPECIES, GENUS
GALAXIAS,FASCIATUS,PARENT-CHILD,12.0,12.35,12.35,12.0,12.35, SPECIES, GENUS
GALAXIAS,MACULATUS,PARENT-CHILD,38.0,13.45,13.45,38.0,13.45, SPECIES, GENUS
GALAXIAS,OLIDUS,PARENT-CHILD,2.0,10.04,10.04,2.0,10.04, SPECIES, GENUS
GAMBUSIA,AFFINIS,PARENT-CHILD,40.0,13.23,13.23,40.0,13.23, SPECIES, GENUS
GASTEROSTEUS,ACULEATUS,PARENT-CHILD,99.0,13.94,13.94,99.0,13.94, SPECIES, GENUS
GILA,ATRARIA,PARENT-CHILD,1.0,11.41,11.41,1.0,11.41, SPECIES, GENUS
GILA,INTERMEDIA,PARENT-CHILD,1.0,11.0,11.0,1.0,11.0, SPECIES, GENUS
GILA,ROBUSTA,PARENT-CHILD,7.0,13.64,13.64,7.0,13.64, SPECIES, GENUS
GLOSSOGOBIUS,AUREUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
GOBIOMORPHUS,BREVICEPS,PARENT-CHILD,1.0,10.91,10.91,1.0,10.91, SPECIES, GENUS
GOBIOMORPHUS,COTIDIANUS,PARENT-CHILD,12.0,13.72,13.72,12.0,13.72, SPECIES, GENUS
GOBIOMORPHUS,HUTTONI,PARENT-CHILD,3.0,12.33,12.33,3.0,12.33, SPECIES, GENUS
GOBIOMORUS,DORMITOR,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
GOBIUSCULUS,FLAVESCENS,CHILD-PARENT,4.0,11.04,11.04,4.0,11.04, SPECIES, GENUS
GYMNOCEPHALUS,CERNUUS,PARENT-CHILD,46.0,13.79,13.79,46.0,13.79, SPECIES, GENUS
HEMIGRAMMUS,ERYTHROZONUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
HEPHAESTUS,FULIGINOSUS,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99, SPECIES, GENUS
HEPSETUS,ODOE,PARENT-CHILD,5.0,13.99,13.99,5.0,13.99, SPECIES, GENUS
HYBOGNATHUS,HANKINSONI,PARENT-CHILD,3.0,12.58,12.58,3.0,12.58, SPECIES, GENUS
HYBOGNATHUS,HAYI,PARENT-CHILD,2.0,12.09,12.09,2.0,12.09, SPECIES, GENUS
HYBOGNATHUS,PLACITUS,PARENT-CHILD,6.0,13.33,13.33,6.0,13.33, SPECIES, GENUS
HYDROCYNUS,BREVIS,PARENT-CHILD,1.0,11.19,11.19,1.0,11.19, SPECIES, GENUS
HYDROCYNUS,FORSKAHLII,PARENT-CHILD,2.0,12.19,12.19,2.0,12.19, SPECIES, GENUS
HYDROCYNUS,VITTATUS,PARENT-CHILD,9.0,13.77,13.77,9.0,13.77, SPECIES, GENUS
HYPOPHTHALMICHTHYS,MOLITRIX,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99, SPECIES, GENUS
ICHTHYOMYZON,FOSSOR,PARENT-CHILD,1.0,13.41,13.41,1.0,13.41, SPECIES, GENUS
ICHTHYOMYZON,GAGEI,PARENT-CHILD,1.0,13.0,13.0,1.0,13.0, SPECIES, GENUS
ICTALURUS,FURCATUS,PARENT-CHILD,2.0,11.3,11.3,2.0,11.3, SPECIES, GENUS
ICTALURUS,PUNCTATUS,PARENT-CHILD,22.0,13.87,13.87,22.0,13.87, SPECIES, GENUS
ICTIOBUS,BUBALUS,PARENT-CHILD,2.0,13.67,13.67,2.0,13.67, SPECIES, GENUS
ICTIOBUS,CYPRINELLUS,PARENT-CHILD,1.0,13.0,13.0,1.0,13.0, SPECIES, GENUS
KUHLIA,RUPESTRIS,PARENT-CHILD,5.0,12.62,12.62,5.0,12.62, SPECIES, GENUS
LABIDESTHES,SICCULUS,PARENT-CHILD,1.0,13.41,13.41,1.0,13.41, SPECIES, GENUS
LAMPETRA,FLUVIATILIS,PARENT-CHILD,25.0,11.15,11.15,25.0,11.15, SPECIES, GENUS
LAMPETRA,PLANERI,PARENT-CHILD,24.0,12.97,12.97,24.0,12.97, SPECIES, GENUS
LAMPETRA,RICHARDSONI,PARENT-CHILD,2.0,9.75,9.75,2.0,9.75, SPECIES, GENUS
LAMPETRA,TRIDENTATA,PARENT-CHILD,17.0,12.57,12.57,17.0,12.57, SPECIES, GENUS
LATEOLABRAX,JAPONICUS,CHILD-PARENT,1.0,10.54,10.54,1.0,10.54, SPECIES, GENUS
LAVINIA,EXILICAUDA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99, SPECIES, GENUS
LENTIPES,CONCOLOR,PARENT-CHILD,8.0,13.99,13.99,8.0,13.99, SPECIES, GENUS
LEPISOSTEUS,OCULATUS,PARENT-CHILD,10.0,13.15,13.15,10.0,13.15, SPECIES, GENUS
LEPISOSTEUS,OSSEUS,PARENT-CHILD,11.0,13.25,13.25,11.0,13.25, SPECIES, GENUS
LEPISOSTEUS,PLATOSTOMUS,PARENT-CHILD,2.0,11.24,11.24,2.0,11.24, SPECIES, GENUS
LEPOMIS,CYANELLUS,PARENT-CHILD,14.0,11.47,11.47,14.0,11.47, SPECIES, GENUS
LEPOMIS,GIBBOSUS,PARENT-CHILD,60.0,13.18,13.18,60.0,13.18, SPECIES, GENUS
LEPOMIS,MACROCHIRUS,PARENT-CHILD,56.0,13.14,13.14,56.0,13.14, SPECIES, GENUS
LEPOMIS,MARGINATUS,PARENT-CHILD,4.0,9.76,9.76,4.0,9.76, SPECIES, GENUS
LEPORINUS,ELONGATUS,PARENT-CHILD,1.0,11.09,11.09,1.0,11.09, SPECIES, GENUS
LEPORINUS,FRIDERICI,PARENT-CHILD,3.0,12.77,12.77,3.0,12.77, SPECIES, GENUS
LEPORINUS,OBTUSIDENS,PARENT-CHILD,2.0,12.19,12.19,2.0,12.19, SPECIES, GENUS
LEPORINUS,OCTOFASCIATUS,PARENT-CHILD,4.0,13.09,13.09,4.0,13.09, SPECIES, GENUS
LEPTOCOTTUS,ARMATUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
LETHENTERON,CAMTSCHATICUM,PARENT-CHILD,2.0,12.54,12.54,2.0,12.54, SPECIES, GENUS
LETHENTERON,CAMTSCHATICUM,PARENT-CHILD,2.0,12.54,12.54,2.0,12.54, SPECIES, GENUS
LETHENTERON,REISSNERI,PARENT-CHILD,6.0,13.58,13.58,6.0,13.58, SPECIES, GENUS
LEUCASPIUS,DELINEATUS,PARENT-CHILD,6.0,13.88,13.88,6.0,13.88, SPECIES, GENUS
LEUCISCUS,CEPHALUS,PARENT-CHILD,37.0,13.15,13.15,37.0,13.15, SPECIES, GENUS
LEUCISCUS,IDUS,PARENT-CHILD,3.0,10.35,10.35,3.0,10.35, SPECIES, GENUS
LEUCISCUS,LEUCISCUS,PARENT-CHILD,26.0,13.06,13.06,26.0,13.06, SPECIES, GENUS
LIMANDA,LIMANDA,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
LONTRA,CANADENSIS,PARENT-CHILD,2.0,11.75,11.75,2.0,11.75, SPECIES, GENUS
LOTA,LOTA,PARENT-CHILD,55.0,11.56,11.56,55.0,11.56, SPECIES, GENUS
LUTJANUS,GOREENSIS,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68, SPECIES, GENUS
LUTJANUS,GRISEUS,PARENT-CHILD,3.0,13.77,13.77,3.0,13.77, SPECIES, GENUS
LUTRA,LUTRA,PARENT-CHILD,12.0,13.99,13.99,12.0,13.99, SPECIES, GENUS
LUXILUS,CHRYSOCEPHALUS,PARENT-CHILD,3.0,13.41,13.41,3.0,13.41, SPECIES, GENUS
LUXILUS,CORNUTUS,PARENT-CHILD,3.0,13.26,13.26,3.0,13.26, SPECIES, GENUS
MACCULLOCHELLA,IKEI,PARENT-CHILD,1.0,10.54,10.54,1.0,10.54, SPECIES, GENUS
MACCULLOCHELLA,MACQUARIENSIS,PARENT-CHILD,2.0,11.47,11.47,2.0,11.47, SPECIES, GENUS
MACCULLOCHELLA,PEELII,PARENT-CHILD,17.0,13.83,13.83,17.0,13.83, SPECIES, GENUS
MACQUARIA,AMBIGUA,PARENT-CHILD,19.0,13.46,13.46,19.0,13.46, SPECIES, GENUS
MACQUARIA,AUSTRALASICA,PARENT-CHILD,13.0,13.12,13.12,13.0,13.12, SPECIES, GENUS
MACQUARIA,NOVEMACULEATA,PARENT-CHILD,2.0,10.79,10.79,2.0,10.79, SPECIES, GENUS
MACRHYBOPSIS,AESTIVALIS,PARENT-CHILD,2.0,13.19,13.19,2.0,13.19, SPECIES, GENUS
MACRHYBOPSIS,MEEKI,PARENT-CHILD,3.0,13.58,13.58,3.0,13.58, SPECIES, GENUS
MALLOTUS,VILLOSUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
MARCUSENIUS,MOORII,CHILD-PARENT,1.0,13.0,13.0,1.0,13.0, SPECIES, GENUS
MARGARISCUS,MARGARITA,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99, SPECIES, GENUS
MELANOTAENIA,AUSTRALIS,CHILD-PARENT,2.0,11.54,11.54,2.0,11.54, SPECIES, GENUS
MENIDIA,BERYLLINA,PARENT-CHILD,5.0,13.0,13.0,5.0,13.0, SPECIES, GENUS
MENIDIA,MENIDIA,PARENT-CHILD,9.0,13.64,13.64,9.0,13.64, SPECIES, GENUS
MERGUS,MERGANSER,PARENT-CHILD,2.0,13.41,13.41,2.0,13.41, SPECIES, GENUS
MERLUCCIUS,MERLUCCIUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
METYNNIS,MACULATUS,PARENT-CHILD,3.0,10.8,10.8,3.0,10.8, SPECIES, GENUS
MICROPTERUS,DOLOMIEU,PARENT-CHILD,36.0,13.77,13.77,36.0,13.77, SPECIES, GENUS
MICROPTERUS,PUNCTULATUS,PARENT-CHILD,2.0,10.35,10.35,2.0,10.35, SPECIES, GENUS
MISGURNUS,ANGUILLICAUDATUS,PARENT-CHILD,14.0,13.85,13.85,14.0,13.85, SPECIES, GENUS
MISGURNUS,FOSSILIS,PARENT-CHILD,3.0,12.26,12.26,3.0,12.26, SPECIES, GENUS
MORONE,MISSISSIPPIENSIS,PARENT-CHILD,3.0,11.77,11.77,3.0,11.77, SPECIES, GENUS
MORONE,SAXATILIS,PARENT-CHILD,21.0,13.86,13.86,21.0,13.86, SPECIES, GENUS
MORONIDAE,MORONE,CHILD-PARENT,3.0,13.26,13.26,3.0,13.26, GENUS, FAMILY
MOXOSTOMA,ERYTHRURUM,PARENT-CHILD,2.0,11.83,11.83,2.0,11.83, SPECIES, GENUS
MOXOSTOMA,MACROLEPIDOTUM,PARENT-CHILD,2.0,11.91,11.91,2.0,11.91, SPECIES, GENUS
MOXOSTOMA,VALENCIENNESI,PARENT-CHILD,6.0,13.19,13.19,6.0,13.19, SPECIES, GENUS
MUGIL,CEPHALUS,PARENT-CHILD,6.0,11.5,11.5,6.0,11.5, SPECIES, GENUS
MUS,MUSCULUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
MUS,MUSCULUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
MUS,MUSCULUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
MUSTELA,VISON,PARENT-CHILD,5.0,13.86,13.86,5.0,13.86, SPECIES, GENUS
MYLOCHEILUS,CAURINUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99, SPECIES, GENUS
MYOXOCEPHALUS,SCORPIUS,PARENT-CHILD,1.0,12.19,12.19,1.0,12.19, SPECIES, GENUS
MYOXOCEPHALUS,THOMPSONII,PARENT-CHILD,4.0,13.67,13.67,4.0,13.67, SPECIES, GENUS
NANNOPERCA,AUSTRALIS,CHILD-PARENT,1.0,10.91,10.91,1.0,10.91, SPECIES, GENUS
NEOCHANNA,DIVERSUS,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99, SPECIES, GENUS
NEOGOBIUS,GYMNOTRACHELUS,PARENT-CHILD,3.0,10.22,10.22,3.0,10.22, SPECIES, GENUS
NEOGOBIUS,KESSLERI,PARENT-CHILD,3.0,10.22,10.22,3.0,10.22, SPECIES, GENUS
NEOGOBIUS,MELANOSTOMUS,PARENT-CHILD,67.0,13.84,13.84,67.0,13.84, SPECIES, GENUS
