TAXRANK_target,target,TAXRANK_source,source,relations,hits,score,score.1,Hits,Score,_merge
 SPECIES,NATTERERI, GENUS,PYGOCENTRUS,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99,both
 SPECIES,HEPSETUS, GENUS,OLIGOSARCUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,MYERSII, GENUS,ROEBOIDES,PARENT-CHILD,1.0,13.0,13.0,1.0,13.0,both
 SPECIES,INTERMEDIUS, GENUS,ASTYANAX,PARENT-CHILD,11.0,13.6,13.6,11.0,13.6,both
 SPECIES,ERYTHROZONUS, GENUS,HEMIGRAMMUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,IHERINGII, GENUS,BRYCONAMERICUS,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68,both
 SPECIES,STRAMINEUS, GENUS,BRYCONAMERICUS,PARENT-CHILD,2.0,12.29,12.29,2.0,12.29,both
 SPECIES,LINEATUS, GENUS,PROCHILODUS,PARENT-CHILD,14.0,13.99,13.99,14.0,13.99,both
 SPECIES,ALTAMAZONICA, GENUS,POTAMORHINA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,FRIDERICI, GENUS,LEPORINUS,PARENT-CHILD,3.0,12.77,12.77,3.0,12.77,both
 SPECIES,OBTUSIDENS, GENUS,LEPORINUS,PARENT-CHILD,2.0,12.19,12.19,2.0,12.19,both
 SPECIES,OCTOFASCIATUS, GENUS,LEPORINUS,PARENT-CHILD,4.0,13.09,13.09,4.0,13.09,both
 SPECIES,BIGUTTATUS, GENUS,NOCOMIS,PARENT-CHILD,4.0,12.68,12.68,4.0,12.68,both
 SPECIES,MICROPOGON, GENUS,NOCOMIS,PARENT-CHILD,5.0,12.92,12.92,5.0,12.92,both
 SPECIES,LEPTOCEPHALUS, GENUS,NOCOMIS,PARENT-CHILD,4.0,12.68,12.68,4.0,12.68,both
 SPECIES,PLACITUS, GENUS,HYBOGNATHUS,PARENT-CHILD,6.0,13.33,13.33,6.0,13.33,both
 SPECIES,HANKINSONI, GENUS,HYBOGNATHUS,PARENT-CHILD,3.0,12.58,12.58,3.0,12.58,both
 SPECIES,HAYI, GENUS,HYBOGNATHUS,PARENT-CHILD,2.0,12.09,12.09,2.0,12.09,both
 SPECIES,CAURINUS, GENUS,MYLOCHEILUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,FUNDULOIDES, GENUS,CLINOSTOMUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,BALTEATUS, GENUS,RICHARDSONIUS,PARENT-CHILD,12.0,13.88,13.88,12.0,13.88,both
 SPECIES,LEUCISCUS, GENUS,LEUCISCUS,PARENT-CHILD,26.0,13.06,13.06,26.0,13.06,both
 SPECIES,AMARUS, GENUS,RHODEUS,PARENT-CHILD,9.0,12.68,12.68,9.0,12.68,both
 SPECIES,SERICEUS, GENUS,RHODEUS,PARENT-CHILD,23.0,13.61,13.61,23.0,13.61,both
 SPECIES,DELINEATUS, GENUS,LEUCASPIUS,PARENT-CHILD,6.0,13.88,13.88,6.0,13.88,both
