TAXRANK_target,target,TAXRANK_source,source,relations,hits,score,score.1,_merge
 SPECIES,LUTRA, GENUS,LUTRA,PARENT-CHILD,12.0,13.99,13.99,both
 SPECIES,CANADENSIS, GENUS,CASTOR,CHILD-PARENT,9.0,13.47,13.47,both
 SPECIES,SPATULA, GENUS,ATRACTOSTEUS,PARENT-CHILD,6.0,13.99,13.99,both
 SPECIES,OSSEUS, GENUS,LEPISOSTEUS,PARENT-CHILD,11.0,13.25,13.25,both
 SPECIES,OCULATUS, GENUS,LEPISOSTEUS,PARENT-CHILD,10.0,13.15,13.15,both
 SPECIES,GIGAS, GENUS,ARAPAIMA,PARENT-CHILD,14.0,13.99,13.99,both
 SPECIES,AUSTRALIS, GENUS,ANGUILLA,PARENT-CHILD,10.0,10.74,10.74,both
 SPECIES,ROSTRATA, GENUS,ANGUILLA,PARENT-CHILD,32.0,12.27,12.27,both
 SPECIES,JAPONICA, GENUS,ANGUILLA,PARENT-CHILD,50.0,12.79,12.79,both
 SPECIES,ANGUILLA, GENUS,ANGUILLA,PARENT-CHILD,52.0,12.86,12.86,both
 SPECIES,DIEFFENBACHII, GENUS,ANGUILLA,PARENT-CHILD,26.0,12.03,12.03,both
 SPECIES,HARENGUS, GENUS,CLUPEA,PARENT-CHILD,6.0,13.99,13.99,both
 SPECIES,ALOSA, GENUS,ALOSA,PARENT-CHILD,13.0,12.68,12.68,both
 SPECIES,PSEUDOHARENGUS, GENUS,ALOSA,PARENT-CHILD,13.0,12.68,12.68,both
 SPECIES,SAPIDISSIMA, GENUS,ALOSA,PARENT-CHILD,18.0,11.125,11.125,both
 SPECIES,CEPEDIANUM, GENUS,DOROSOMA,PARENT-CHILD,17.0,13.72,13.72,both
 SPECIES,GARIEPINUS, GENUS,CLARIAS,PARENT-CHILD,5.0,13.51,13.51,both
 SPECIES,GLANIS, GENUS,SILURUS,PARENT-CHILD,11.0,13.33,13.33,both
 SPECIES,ASOTUS, GENUS,SILURUS,PARENT-CHILD,8.0,13.09,13.09,both
 SPECIES,ASOTUS, GENUS,SILURUS,PARENT-CHILD,8.0,13.09,13.09,both
 SPECIES,PUNCTATUS, GENUS,ICTALURUS,PARENT-CHILD,22.0,13.87,13.87,both
 SPECIES,NEBULOSUS, GENUS,AMEIURUS,PARENT-CHILD,5.0,13.62,13.62,both
 SPECIES,OLIVARIS, GENUS,PYLODICTIS,PARENT-CHILD,7.0,13.72,13.72,both
 SPECIES,MACULATUS, GENUS,PIMELODUS,CHILD-PARENT,9.0,12.21,12.21,both
 SPECIES,GRANULOSUS, GENUS,PTERODORAS,CHILD-PARENT,13.0,13.94,13.94,both
 SPECIES,GRANULOSUS, GENUS,PTERODORAS,CHILD-PARENT,13.0,13.94,13.94,both
 SPECIES,ODOE, GENUS,HEPSETUS,PARENT-CHILD,5.0,13.99,13.99,both
 SPECIES,VITTATUS, GENUS,HYDROCYNUS,PARENT-CHILD,9.0,13.77,13.77,both
 SPECIES,INTERMEDIUS, GENUS,ASTYANAX,PARENT-CHILD,11.0,13.6,13.6,both
 SPECIES,LINEATUS, GENUS,PROCHILODUS,PARENT-CHILD,14.0,13.99,13.99,both
 SPECIES,MICROPOGON, GENUS,NOCOMIS,PARENT-CHILD,5.0,12.92,12.92,both
 SPECIES,PLACITUS, GENUS,HYBOGNATHUS,PARENT-CHILD,6.0,13.33,13.33,both
 SPECIES,BALTEATUS, GENUS,RICHARDSONIUS,PARENT-CHILD,12.0,13.88,13.88,both
 SPECIES,LEUCISCUS, GENUS,LEUCISCUS,PARENT-CHILD,26.0,13.06,13.06,both
 SPECIES,AMARUS, GENUS,RHODEUS,PARENT-CHILD,9.0,12.68,12.68,both
 SPECIES,SERICEUS, GENUS,RHODEUS,PARENT-CHILD,23.0,13.61,13.61,both
 SPECIES,DELINEATUS, GENUS,LEUCASPIUS,PARENT-CHILD,6.0,13.88,13.88,both
 SPECIES,BJOERKNA, GENUS,BLICCA,PARENT-CHILD,14.0,13.48,13.48,both
 SPECIES,ERYTHROPHTHALMUS, GENUS,SCARDINIUS,PARENT-CHILD,29.0,13.72,13.72,both
 SPECIES,BRAMA, GENUS,ABRAMIS,PARENT-CHILD,54.0,13.81,13.81,both
 SPECIES,PROMELAS, GENUS,PIMEPHALES,PARENT-CHILD,11.0,13.06,13.06,both
 SPECIES,NOTATUS, GENUS,PIMEPHALES,PARENT-CHILD,11.0,12.57,12.57,both
 SPECIES,VIGILAX, GENUS,PIMEPHALES,PARENT-CHILD,8.0,12.68,12.68,both
 SPECIES,TINCA, GENUS,TINCA,PARENT-CHILD,27.0,13.87,13.87,both
 SPECIES,RUTILUS, GENUS,RUTILUS,PARENT-CHILD,199.0,13.94,13.94,both
 SPECIES,ANOMALUM, GENUS,CAMPOSTOMA,PARENT-CHILD,16.0,13.99,13.99,both
 SPECIES,NASUS, GENUS,CHONDROSTOMA,PARENT-CHILD,21.0,13.32,13.32,both
 SPECIES,GIBELIO, GENUS,CARASSIUS,PARENT-CHILD,9.0,12.12,12.12,both
 SPECIES,CARASSIUS, GENUS,CARASSIUS,PARENT-CHILD,22.0,13.14,13.14,both
 SPECIES,AURATUS, GENUS,CARASSIUS,PARENT-CHILD,24.0,13.11,13.11,both
 SPECIES,PARVA, GENUS,PSEUDORASBORA,PARENT-CHILD,27.0,13.97,13.97,both
 SPECIES,CEPHALUS, GENUS,SQUALIUS,PARENT-CHILD,12.0,12.12,12.12,both
 SPECIES,CEPHALUS, GENUS,SQUALIUS,PARENT-CHILD,12.0,12.12,12.12,both
 SPECIES,ASPIUS, GENUS,ASPIUS,PARENT-CHILD,7.0,13.9,13.9,both
 SPECIES,CATARACTAE, GENUS,RHINICHTHYS,PARENT-CHILD,15.0,13.51,13.51,both
 SPECIES,OSCULUS, GENUS,RHINICHTHYS,PARENT-CHILD,8.0,12.87,12.87,both
 SPECIES,CAERULEA, GENUS,CYPRINELLA,PARENT-CHILD,6.0,11.91,11.91,both
 SPECIES,LUTRENSIS, GENUS,CYPRINELLA,PARENT-CHILD,9.0,12.33,12.33,both
 SPECIES,VENUSTA, GENUS,CYPRINELLA,PARENT-CHILD,24.0,13.47,13.47,both
 SPECIES,ATROMACULATUS, GENUS,SEMOTILUS,PARENT-CHILD,21.0,13.96,13.96,both
 SPECIES,PHOXINUS, GENUS,PHOXINUS,PARENT-CHILD,51.0,13.85,13.85,both
 SPECIES,STRAMINEUS, GENUS,NOTROPIS,PARENT-CHILD,6.0,11.61,11.61,both
 SPECIES,HUDSONIUS, GENUS,NOTROPIS,PARENT-CHILD,7.0,11.85,11.85,both
 SPECIES,LUTIPINNIS, GENUS,NOTROPIS,PARENT-CHILD,6.0,11.67,11.67,both
 SPECIES,PLUMBEUS, GENUS,COUESIUS,PARENT-CHILD,5.0,13.99,13.99,both
 SPECIES,ROBUSTA, GENUS,GILA,PARENT-CHILD,7.0,13.64,13.64,both
 SPECIES,HAASI, GENUS,BARBUS,PARENT-CHILD,6.0,10.95,10.95,both
 SPECIES,BARBUS, GENUS,BARBUS,PARENT-CHILD,59.0,13.61,13.61,both
 SPECIES,PETENYI, GENUS,BARBUS,PARENT-CHILD,5.0,10.72,10.72,both
 SPECIES,ALBURNUS, GENUS,ALBURNUS,PARENT-CHILD,28.0,13.92,13.92,both
 SPECIES,VIMBA, GENUS,VIMBA,PARENT-CHILD,5.0,13.99,13.99,both
 SPECIES,LUCIUS, GENUS,PTYCHOCHEILUS,PARENT-CHILD,5.0,9.75,9.75,both
 SPECIES,ANGUILLICAUDATUS, GENUS,MISGURNUS,PARENT-CHILD,14.0,13.85,13.85,both
 SPECIES,PALUDICA, GENUS,COBITIS,PARENT-CHILD,8.0,13.35,13.35,both
 SPECIES,TAENIA, GENUS,COBITIS,PARENT-CHILD,7.0,13.16,13.16,both
 SPECIES,BARBATULA, GENUS,BARBATULA,PARENT-CHILD,16.0,13.95,13.95,both
 SPECIES,VALENCIENNESI, GENUS,MOXOSTOMA,PARENT-CHILD,6.0,13.19,13.19,both
 SPECIES,CATOSTOMUS, GENUS,CATOSTOMUS,PARENT-CHILD,10.0,12.54,12.54,both
 SPECIES,COMMERSONII, GENUS,CATOSTOMUS,PARENT-CHILD,10.0,12.54,12.54,both
 SPECIES,TEXANUS, GENUS,XYRAUCHEN,PARENT-CHILD,9.0,13.71,13.71,both
 SPECIES,RUPESTRIS, GENUS,KUHLIA,PARENT-CHILD,5.0,12.62,12.62,both
 SPECIES,AMBIGUA, GENUS,MACQUARIA,PARENT-CHILD,19.0,13.46,13.46,both
 SPECIES,AUSTRALASICA, GENUS,MACQUARIA,PARENT-CHILD,13.0,13.12,13.12,both
 SPECIES,PEELII, GENUS,MACCULLOCHELLA,PARENT-CHILD,17.0,13.83,13.83,both
 SPECIES,FLABELLARE, GENUS,ETHEOSTOMA,PARENT-CHILD,17.0,12.06,12.06,both
 SPECIES,NIGRUM, GENUS,ETHEOSTOMA,PARENT-CHILD,17.0,12.08,12.08,both
 SPECIES,CINEREUM, GENUS,ETHEOSTOMA,PARENT-CHILD,14.0,11.83,11.83,both
 SPECIES,CAERULEUM, GENUS,ETHEOSTOMA,PARENT-CHILD,9.0,11.25,11.25,both
 SPECIES,EXILE, GENUS,ETHEOSTOMA,PARENT-CHILD,5.0,10.45,10.45,both
 SPECIES,SPECTABILE, GENUS,ETHEOSTOMA,PARENT-CHILD,19.0,12.2,12.2,both
 SPECIES,TANASI, GENUS,PERCINA,PARENT-CHILD,7.0,12.9,12.9,both
 SPECIES,AUROLINEATA, GENUS,PERCINA,PARENT-CHILD,8.0,13.04,13.04,both
 SPECIES,LUCIOPERCA, GENUS,SANDER,PARENT-CHILD,24.0,12.44,12.44,both
 SPECIES,VITREUS, GENUS,SANDER,PARENT-CHILD,36.0,13.48,13.48,both
 SPECIES,CERNUUS, GENUS,GYMNOCEPHALUS,PARENT-CHILD,46.0,13.79,13.79,both
 SPECIES,FLAVESCENS, GENUS,PERCA,PARENT-CHILD,53.0,12.27,12.27,both
 SPECIES,FLUVIATILIS, GENUS,PERCA,PARENT-CHILD,230.0,13.66,13.66,both
 SPECIES,SAXATILIS, GENUS,MORONE,PARENT-CHILD,21.0,13.86,13.86,both
 SPECIES,DOLOMIEU, GENUS,MICROPTERUS,PARENT-CHILD,36.0,13.77,13.77,both
 SPECIES,NIGROMACULATUS, GENUS,POMOXIS,PARENT-CHILD,11.0,13.41,13.41,both
 SPECIES,ANNULARIS, GENUS,POMOXIS,PARENT-CHILD,9.0,13.17,13.17,both
 SPECIES,CYANELLUS, GENUS,LEPOMIS,PARENT-CHILD,14.0,11.47,11.47,both
 SPECIES,MACROCHIRUS, GENUS,LEPOMIS,PARENT-CHILD,56.0,13.14,13.14,both
 SPECIES,GIBBOSUS, GENUS,LEPOMIS,PARENT-CHILD,60.0,13.18,13.18,both
 SPECIES,RUPESTRIS, GENUS,AMBLOPLITES,PARENT-CHILD,15.0,13.69,13.69,both
 SPECIES,GRUNNIENS, GENUS,APLODINOTUS,PARENT-CHILD,6.0,13.77,13.77,both
 SPECIES,NYEREREI, GENUS,PUNDAMILIA,PARENT-CHILD,5.0,13.32,13.32,both
 SPECIES,GUINEENSIS, GENUS,TILAPIA,PARENT-CHILD,5.0,13.07,13.07,both
 SPECIES,COTIDIANUS, GENUS,GOBIOMORPHUS,PARENT-CHILD,12.0,13.72,13.72,both
 SPECIES,PUNCTATUM, GENUS,SICYDIUM,PARENT-CHILD,16.0,13.67,13.67,both
 SPECIES,JAPONICUS, GENUS,SICYOPTERUS,PARENT-CHILD,20.0,12.57,12.57,both
 SPECIES,LAGOCEPHALUS, GENUS,SICYOPTERUS,PARENT-CHILD,57.0,13.65,13.65,both
 SPECIES,ACUTIPINNIS, GENUS,COTYLOPUS,PARENT-CHILD,6.0,13.99,13.99,both
 SPECIES,CONCOLOR, GENUS,LENTIPES,PARENT-CHILD,8.0,13.99,13.99,both
 SPECIES,MINUTUS, GENUS,POMATOSCHISTUS,PARENT-CHILD,6.0,13.88,13.88,both
 SPECIES,OLORUM, GENUS,PSEUDOGOBIUS,PARENT-CHILD,6.0,13.99,13.99,both
 SPECIES,GIURINUS, GENUS,RHINOGOBIUS,PARENT-CHILD,11.0,13.03,13.03,both
 SPECIES,BRUNNEUS, GENUS,RHINOGOBIUS,PARENT-CHILD,12.0,13.12,13.12,both
