source,target,hits,score,score.1,Hits,Score
BROOK_TROUT,BROOK_TROUT,1.0,13.41,13.41,13.41,13.41
BROOK_TROUT,SALVELINUS_FONTINALIS,25.0,13.39,13.39,13.39,13.39
BROWNIE,LOCH_LEVEN_TROUT,2.0,13.67,13.67,13.67,13.67
BROWN_TROUT,SALMO_TRUTTA,176.0,12.38,12.84,12.38,12.84
DERJAVINI,SALMO_TRUTTA,2.0,12.68,12.68,12.68,12.68
FINNOCK,PEAL,1.0,13.99,13.99,13.99,13.99
KELT,SEA_TROUT,1.0,13.0,13.0,13.0,13.0
LAKE_TROUT,SALVELINUS_NAMAYCUSH,14.0,12.92,12.92,12.92,12.92
ONCORHYNCHUS,SALMO,3.0,12.88,12.88,12.88,12.88
PEAL,HERLING,1.0,13.99,13.99,13.99,13.99
SALMO,SALVELINUS,6.0,13.26,13.26,13.26,13.26
SALMON,SALMO,1.0,13.41,13.41,13.41,13.41
SALMON_TROUT,SEA_TROUT,1.0,12.68,12.68,12.68,12.68
SEWIN,BROWN_TROUT,2.0,13.41,13.41,13.41,13.41
THYMALLUS_THYMALLUS,SALMONIDAE,6.0,12.72,12.72,12.72,12.72
TROUT,TROUT,78.0,12.62,12.62,12.62,12.62
