source,target,hits sum,score mean,score median
ORTHOPTERA,COLEOPTERA,2,12.41,12.41
OSTEICHTHYES,SCORPAENIFORMES,2,12.83,12.83
PARASALMO,MYKISS,2,6.55,6.55
PERCA,PERCINA,2,6.57,6.57
PERCA,RUTILUS,2,8.395,8.395
PERCINA,CAPRODES,2,11.99,11.99
PERCINA,COPELANDI,2,11.99,11.99
PHENACOBIUS,MIRABILIS,2,13.99,13.99
PHOXINUS,BARBATULUS,2,12.83,12.83
PHOXINUS,EOS,2,10.3,10.3
PHOXINUS,ERYTHROGASTER,2,10.3,10.3
PISIDIUM,TRICHOPTERA,2,11.19,11.19
PLANORBIDAE,BIVALVIA,2,12.68,12.68
PLECOPTERA,DIPTERA,2,10.79,10.79
PLECOPTERA,EPHEMEROPTERA,2,11.24,11.24
POLYPHEMUS,PEDICULUS,2,13.67,13.67
POTAMOGETON,SAGITTARIA,2,12.29,12.29
PROCHILODUS,LINEATUS,2,13.99,13.99
PUNGITIUS,COTTIDAE,2,10.375,10.375
RANA,SYLVATICA,2,11.47,11.47
RHINOGOBIUS,BRUNNEUS,2,13.67,13.67
RUTILIS,RUTILIS,2,13.67,13.67
RUTILUS,BRAMA,2,9.35,9.35
RUTILUS,CYPRINIDAE,2,11.35,11.35
RUTILUS,LEUCISCUS,2,10.3,10.3
RUTILUS,SALAR,2,5.205,5.205
RUTILUS,TELEOSTEI,2,7.92,7.92
SALAR,LINNEAUS,2,11.09,11.09
SALMONIDAE,GENUS,2,11.35,11.35
SALMONIDAE,MYKISS,2,7.975,7.975
SALMONIDAE,TRUTTA,2,11.19,11.19
SALRNO,TRUTTA,2,6.45,6.45
SALVELINUS,LEUCOMAENIS,2,5.91,5.91
SCARDINIUS,ERYTHROPHTALMUS,2,10.32,10.32
SCIRPUS,LACUSTRIS,2,11.83,11.83
SERIPHUS,POLITUS,2,13.99,13.99
SILURUS,ASOTUS,2,10.6,10.6
SQUALIUS,PYRENAICUS,2,11.24,11.24
STEGASTES,PARTITUS,2,13.99,13.99
STIZOSTEDION,CANADENSE,2,9.53,9.53
TILAPIA,NILOTICA,2,12.09,12.09
TILAPIA,NILOTICUS,2,9.66,9.66
TILAPIA,ZILLII,2,12.09,12.09
TRICHOPTERA,HYDROPSYCHE,2,11.64,11.64
TRIDENTIGER,OBSCURUS,2,13.99,13.99
TRUTTA,MYKISS,2,6.51,6.51
TRUTTA,THYMALLUS,2,9.09,9.09
UMBRIDAE,SALMONIDAE,2,10.82,10.82
[NUMBER],GADUS,2,9.87,9.87
[NUMBER],MORHUA,2,9.87,9.87
[NUMBER],TRUTTA,2,9.87,9.87
ABRAMIS,BJOERKNA,1,8.15,8.15
ACANTHOCEPHALA,HIRUDINEA,1,11.83,11.83
ACARI,BIVALVIA,1,11.99,11.99
ACIPENSER,BAERII,1,9.21,9.21
ACIPENSER,GUELDENSTAEDTII,1,9.21,9.21
ACIPENSER,UMATILLA,1,9.14,9.14
ACTINOPTERYGII,ACHIRIDAE,1,12.41,12.41
ACTINOPTERYGII,LINNAEUS,1,8.04,8.04
ACTINOPTERYGII,TRICHOMYCTERIDAE,1,12.19,12.19
ACULEATUS,MYKISS,1,5.52,5.52
AFFINIS,GIBBOSUS,1,8.52,8.52
AFFINIS,RETICULATA,1,10.82,10.82
ALBULA,EPERLANUS,1,9.79,9.79
ALBULA,WILLIAMSONI,1,10.54,10.54
ALONA,CERIODAPHNIA,1,13,13
ALPINUS,LAVARETUS,1,7.2,7.2
ALPINUS,OXYRINCHUS,1,11.99,11.99
AMBLYOPSIS,ROSAE,1,13.99,13.99
AMMOCRYPTA,ETHEOSTOMA,1,12.68,12.68
AMMODYTES,COTTIDAE,1,11.3,11.3
AMPHIBIA,HYLIDAE,1,13.99,13.99
AMPHIPODA,CHIRONOMIDAE,1,11.09,11.09
AMPHIPODA,EPHEMEROPTERA,1,10.6,10.6
AMPHIPODA,ISOPODA,1,11.83,11.83
ANGUILLIDAE,BAGRIDAE,1,13,13
ANGUILLIDAE,LINNAEUS,1,8.07,8.07
ANGUILLIDAE,UMBRIDAE,1,11.83,11.83
ANGUILLIFORMES,ANGUILLIDAE,1,13.99,13.99
ANNALES,FENNICA,1,13.99,13.99
ANNELIDA,ACARI,1,12.68,12.68
AQUATICUS,LINNAEUS,1,8.09,8.09
ARCTICUS,GADIDAE,1,11.99,11.99
ARCTICUS,LAMPETRA,1,12.68,12.68
ARDEA,LINNAEUS,1,7.97,7.97
ARTEDI,CLUPEAFORMIS,1,8.76,8.76
ARTEDII,CLUPEAFORMIS,1,8.76,8.76
ARTHROPODA,INSECTA,1,13.99,13.99
ASELLUS,LINNAEUS,1,7.93,7.93
ASPER,ACULEATUS,1,6.98,6.98
ASPIUS,BARBUS,1,10,10
ASPIUS,BJOERKNA,1,10.14,10.14
ASSEMBLAGE,GARIEPINUS,1,13.41,13.41
ASTYANAX,MEXICANUS,1,13.99,13.99
ATHERINA,PRESBYTER,1,13.99,13.99
ATROMACULATUS,LIMI,1,11.67,11.67
AURATUS,NAMAYCUSH,1,7.38,7.38
AURATUS,TINCA,1,9.64,9.64
AUSTRALASICA,BIDYANUS,1,9.41,9.41
AUSTRALIS,ERECTUM,1,12.19,12.19
AUSTRALIS,MARINUS,1,7.04,7.04
AWAOUS,GUAMENSIS,1,13.41,13.41
AWAOUS,RHINOGOBIUS,1,13.41,13.41
BABKA,GYMNOTRACHELUS,1,13.99,13.99
BAETIS,EPHEMERELLA,1,13,13
BAIRDI,PERCINA,1,11.41,11.41
BAIRDII,MACROCHEILUS,1,11.83,11.83
BALLERUS,CARASSIUS,1,10.47,10.47
BALTEATUS,LOTA,1,8.52,8.52
BARBATULA,AURATUS,1,8.96,8.96
BARBATULA,LOTA,1,8.5,8.5
BARBUS,CEPHALUS,1,8.44,8.44
BARBUS,HAASI,1,10.04,10.04
BARBUS,MERIDIONALIS,1,10.04,10.04
BARBUS,NASUS,1,9.91,9.91
BIOLOGIA,OCEANOGRAFIA,1,13.41,13.41
BIPUNCTATUS,GOBIO,1,8.08,8.08
BIVALVIA,ACARI,1,12.19,12.19
BIVALVIA,EPHEMEROPTERA,1,10.82,10.82
BIVALVIA,MOLLUSCA,1,11.83,11.83
BIVALVIA,UNIONIDAE,1,12.68,12.68
BJOERKNA,CARASSIUS,1,10.47,10.47
BOCAGEI,SQUALIUS,1,12.19,12.19
BOSMINA,2,1,12.68,12.68
BOSMINA,BIOMASS,1,12.41,12.41
BOSMINA,CERIODAPHNIA,1,10.68,10.68
BOSMINA,DAPHNIA,1,10.82,10.82
BOSMINA,LEPTODORA,1,10.75,10.75
BOSMINA,NUMBER,1,11.99,11.99
BOSMINA,SPP,1,9.61,9.61
BOSMINA,TAB,1,12.68,12.68
BRACHIONUS,COPEPODS,1,13.41,13.41
BRACHYMYSTAX,COREGONUS,1,12.41,12.41
BRAMA,ASPIUS,1,10.35,10.35
BRAMA,GOBIO,1,8.07,8.07
BREVIPINNIS,FOSTERI,1,12.68,12.68
BRYCON,CEPHALUS,1,8.44,8.44
BSN,ARTEMIA,1,13.99,13.99
BUTOMUS,UMBELLATUS,1,13.99,13.99
CAERULEUM,EXILE,1,11.83,11.83
CAMTSCHATICUM,PETROMYZONTIDAE,1,13.41,13.41
CAPRODES,VITREUM,1,9.53,9.53
CARASSIUS,CUVIERI,1,8.64,8.64
CARASSIUS,PARVA,1,8.54,8.54
CAREX,CAREX,1,12.68,12.68
CASTOR,CANADENSIS,1,10.3,10.3
CATOSTOMIDAE,UMBRIDAE,1,11.19,11.19
CATOSTOMUS,COTTUS,1,8.81,8.81
CATOSTOMUS,COUESIUS,1,12.19,12.19
CATOSTOMUS,HUDSONIUS,1,12.19,12.19
CATOSTOMUS,LATIPINNIS,1,8.81,8.81
CATOSTOMUS,NOTROPIS,1,12.19,12.19
CATOSTOMUS,PERCA,1,8.71,8.71
CATOSTOMUS,PIMEPHALES,1,12.19,12.19
CATOSTOMUS,PLUMBEUS,1,12.19,12.19
CATOSTOMUS,SPP,1,8.4,8.4
CENTRARCHIDAE,LEPOMIS,1,11.83,11.83
CENTRARCHIDAE,MICROPTERUS,1,11.83,11.83
CENTRARCHIDAE,NATALIS,1,11.83,11.83
CENTRARCHIDAE,PERCIDAE,1,13,13
CENTRARCHIDAE,POMOXIS,1,11.83,11.83
CENTRARCHIDAE,PUNCTATUS,1,11.83,11.83
CEPHALUS,ALBURNUS,1,9.79,9.79
CEPHALUS,NASUS,1,9.91,9.91
CERATOPHYLLUM,EGERIA,1,10.6,10.6
CERATOPHYLLUM,NUPHAR,1,10.54,10.54
CERIODAPHNIA,CHYDORUS,1,11.83,11.83
CERIODAPHNIA,DIAPHANOSOMA,1,12.68,12.68
CERIODAPHNIA,QUADRANGULA,1,12.68,12.68
CERNUA,FLUVIATILIS,1,5.46,5.46
CERNUUS,FLUVIATILIS,1,9.44,9.44
CERNUUS,PERCA,1,9.35,9.35
CERNUUS,PERCINA,1,11,11
CHAETODON,MULTICINCTUS,1,13.99,13.99
CHAOBORUS,ROTIFERA,1,11.99,11.99
CHARACIDAE,OSTARIOPHYSI,1,13.41,13.41
CHIRONOMIDAE,ARANEIDA,1,10.91,10.91
CHIRONOMIDAE,BAETIDAE,1,11,11
CHIRONOMIDAE,BLEPHAROCERIDAE,1,11,11
CHIRONOMIDAE,CULICIDAE,1,10.91,10.91
CHIRONOMIDAE,HOMOPTERA,1,10.75,10.75
CHIRONOMIDAE,HYMENOPTERA,1,10.35,10.35
CHIRONOMIDAE,OLIGOCHAETA,1,10.82,10.82
CHIRONOMUS,GAMMARUS,1,11.3,11.3
CHIRONOMUS,SPP,1,9.83,9.83
CHONDROSTOMA,POLYLEPIS,1,10.24,10.24
CHONDROSTOMA,SALAR,1,5.39,5.39
CHROSOMUS,NEOGAEUS,1,13.99,13.99
CHRYSOCEPHALUS,CORNUTUS,1,11.54,11.54
CHRYSOMELIDAE,CURCULIONIDAE,1,13.41,13.41
CHRYSOPS,PERCA,1,11.83,11.83
CHUATSI,OCELLATUS,1,11.09,11.09
CHYDORIDAE,CRUSTACEA,1,12.41,12.41
CHYDORUS,SPP,1,10.3,10.3
CICADELLIDAE,HEMIPTERA,1,12.41,12.41
CICADELLIDAE,HYMENOPTERA,1,11.41,11.41
CICHLIDAE,MOSSAMBICUS,1,10.04,10.04
CINEREA,LINNAEUS,1,8.09,8.09
CLADOCERA,CALANOIDA,1,10.6,10.6
CLADOCERA,CHYDORUS,1,12.19,12.19
CLADOCERA,CRYSTALLINA,1,10.41,10.41
CLADOCERA,FOOD,1,11.54,11.54
CLADOCERA,NUMBER,1,11.99,11.99
CLADOCERA,ORGANISM,1,12.68,12.68
CLADOCERA,ROTIFERA,1,10.54,10.54
CLADOCERA,RUDD,1,12.68,12.68
CLARIAS,MACROCEPHALUS,1,9.27,9.27
CLARIIDAE,SILURIFORMES,1,13.41,13.41
CLARKI,SALVELINUS,1,11.67,11.67
CLUPEA,LINNAEUS,1,7.32,7.32
CLUPEA,SALMO,1,8.43,8.43
CLUPEAFORMIS,SALMONIDAE,1,9.91,9.91
CLUPEIDAE,PSEUDOHARENGUS,1,9.04,9.04
COBITIS,SQUALIUS,1,10.19,10.19
COLEOPTERA,CARABIDAE,1,10.91,10.91
COLEOPTERA,DYTISCIDAE,1,10.75,10.75
COLEOPTERA,ELMIDAE,1,10.6,10.6
COLEOPTERA,GYRINIDAE,1,10.82,10.82
COLEOPTERA,HALIPLIDAE,1,10.82,10.82
COLEOPTERA,HEMIPTERA,1,10.68,10.68
COLEOPTERA,HETEROPTERA,1,10.6,10.6
COLEOPTERA,HYDROPHILIDAE,1,10.91,10.91
COLEOPTERA,ODONATA,1,10.6,10.6
COLEOPTERA,PLECOPTERA,1,9.48,9.48
COLEOPTERA,TRICHOPTERA,1,9.61,9.61
COLLEMBOLA,OLIGOCHAETA,1,13,13
COMMERSONI,PERCA,1,12.19,12.19
COPEPODA,CLADOCERA,1,11.3,11.3
COPEPODA,CRUSTACEA,1,11.19,11.19
COPEPODA,CYCLOPOIDA,1,11.54,11.54
COPEPODA,MOLLUSCA,1,11.19,11.19
COPEPODA,OSTRACODA,1,11.41,11.41
COPEPODA,ROTIFERA,1,11.41,11.41
COPEPODA,TRICHOPTERA,1,9.87,9.87
COPEPODS,CLADOCERA,1,12.68,12.68
COREGONUS,NERKA,1,5.58,5.58
COREGONUS,PIDSCHIAN,1,6.04,6.04
COREGONUS,SALMONIDAE,1,5.95,5.95
COREGONUS,THYMALLUS,1,6.04,6.04
COREGONUS,WILLIAMSONI,1,5.99,5.99
CORIXIDAE,HYMENOPTERA,1,11.54,11.54
CORNUTUS,CYPRINIDAE,1,11.19,11.19
COTTID,COTTIDAE,1,13.99,13.99
COTTIDAE,COTTUS,1,13.41,13.41
COTTIDAE,GOBIO,1,8.05,8.05
COTTUS,ACULEATUS,1,5.84,5.84
COTTUS,BELDINGI,1,6.71,6.71
COTTUS,COTTIDAE,1,6.68,6.68
COTTUS,HANGIONGENSIS,1,6.71,6.71
COTTUS,NOZAWAE,1,6.71,6.71
COTTUS,PERCINA,1,11.41,11.41
COTTUS,POLLUX,1,6.71,6.71
COTTUS,PYGMAEUS,1,6.71,6.71
COTTUS,SPECUS,1,6.71,6.71
COTTUS,SPP,1,6.6,6.6
COTTUS,THOMPSONII,1,6.59,6.59
COUESIUS,SPILOPTERA,1,9.75,9.75
CRENICHTHYS,BAILEYI,1,13.99,13.99
CRUSTACEA,ACARI,1,11.09,11.09
CRUSTACEA,AMPHIPODA,1,11,11
CRUSTACEA,CLADOCERA,1,11,11
CRUSTACEA,MOLLUSCA,1,10.91,10.91
CRUSTACEA,PALAEMONIDAE,1,11.3,11.3
CRUSTACEA,PLECOPTERA,1,9.61,9.61
CRUSTACEA,SALMINCOLA,1,11.09,11.09
CTENOPHARYNGODON,IDELLA,1,12.68,12.68
CULAEA,INCONSTANS,1,13.99,13.99
CULEX,GAMMARUS,1,13.41,13.41
CULICIDAE,HYMENOPTERA,1,11.41,11.41
CULICIDAE,MUSCIDAE,1,13,13
CURCULIONIDAE,ELMIDAE,1,12.41,12.41
CYANELLUS,GULOSUS,1,10.68,10.68
CYPRINELLA,GALACTURA,1,11.19,11.19
CYPRINELLA,NOTEMIGONUS,1,11.19,11.19
CYPRINELLA,WHIPPLEI,1,11.09,11.09
CYPRINIDAE,ABRAMIS,1,7.5,7.5
CYPRINIDAE,ANGUILLA,1,7.51,7.51
CYPRINIDAE,BRAMA,1,7.5,7.5
CYPRINIDAE,CEPHALUS,1,7.51,7.51
CYPRINIDAE,ICTALURIDAE,1,11.19,11.19
CYPRINIDAE,OSTARIOPHYSI,1,11.54,11.54
CYPRINIDAE,POECILIIDAE,1,11.41,11.41
CYPRINIDAE,SALMONIDAE,1,9.61,9.61
CYPRINIDAE,SQUALIUS,1,7.51,7.51
CYPRINIDAE,TELEOSTEI,1,11.09,11.09
CYPRINIDAE,UMBRIDAE,1,11.09,11.09
CYPRINUS,CYPRINELLA,1,11.67,11.67
DA,TRUTTA,1,5.45,5.45
DAKOTA,TSHAWYTSCHA,1,7.66,7.66
DALLIA,OSMERIDAE,1,13.41,13.41
DAPHNIA,CERIODAPHNIA,1,9.44,9.44
DAPHNIA,CHIRONOMID,1,9.5,9.5
DAPHNIA,COPEPODS,1,9.48,9.48
DAPHNIA,CULTUS,1,9.5,9.5
DAPHNIA,DECAPODA,1,9.32,9.32
DAPHNIA,DIAPHANOSOMA,1,9.48,9.48
DAPHNIA,KERATELLA,1,13.41,13.41
DAPHNIA,LEPTODORA,1,9.48,9.48
DAPHNIA,POLYARTHRA,1,13.41,13.41
DAPHNIA,ROTIFERS,1,9.5,9.5
DECAPODA,AMPHIPODA,1,12.19,12.19
DECAPODA,ATYIDAE,1,12.68,12.68
DECAPODA,CRUSTACEA,1,11.99,11.99
DIAPHANOSOMA,BOSMINA,1,11.67,11.67
DIET,CAENIS,1,10.82,10.82
DIET,CHIRONOMIDS,1,10.82,10.82
DIET,CHYDORIDAE,1,10.82,10.82
DIET,DAPHNIA,1,10.82,10.82
DIET,GYRAULUS,1,10.68,10.68
DIET,PHYSA,1,10.68,10.68
DIPTERA,ARANEIDA,1,11,11
DIPTERA,CHIRONOMID,1,12.41,12.41
DIPTERA,COPEPODA,1,11.99,11.99
DIPTERA,CULICIDAE,1,11,11
DIPTERA,LEPIDOPTERA,1,12.41,12.41
DIPTERA,MELANOGASTER,1,10.68,10.68
DIPTERA,NEMATOCERA,1,11.09,11.09
DIPTERA,PISIDIUM,1,12.41,12.41
DIXIDAE,CERATOPOGONIDAE,1,13,13
DIXIDAE,DOLICHOPODIDAE,1,13,13
DOLICHOPODIDAE,DIXIDAE,1,13,13
DOLICHOPODIDAE,EMPIDIDAE,1,13,13
DOLICHOPODIDAE,MUSCIDAE,1,12.68,12.68
DOLOMIEU,NAMAYCUSH,1,7.38,7.38
DOLOMIEU,VITREUM,1,9.5,9.5
DYTISCIDAE,ELMIDAE,1,12.41,12.41
ECHINODERMATA,MOLLUSCA,1,12.41,12.41
EGERIA,POTAMOGETON,1,13,13
EICHORNIA,AZUREA,1,13.99,13.99
ELMIDAE,GYRINIDAE,1,13.41,13.41
ELVIRA,NICOLA,1,13.99,13.99
EMPIDIDAE,DOLICHOPODIDAE,1,13.41,13.41
ENGLISH,MARAENA,1,13.41,13.41
ENGRAULIS,ENCRASICHOLUS,1,10.54,10.54
ENTOSPHENUS,CLUPEIDAE,1,11.99,11.99
EPERLANUS,SPRATTUS,1,10.6,10.6
EPHEMEROPTERA,COLEOPTERA,1,9.71,9.71
EPHEMEROPTERA,DIPTERA,1,9.21,9.21
EPHEMEROPTERA,ISOPODA,1,9.95,9.95
EPHEMEROPTERA,MEGALOPTERA,1,9.79,9.79
EPHEMEROPTERA,ODONATA,1,9.83,9.83
EPHEMEROPTERA,PULEX,1,9.24,9.24
EQUISETUM,EQUISETUM,1,13.41,13.41
EQUISETUM,PHRAGMITES,1,13,13
ERYTHROPHTHALMUS,ASPIUS,1,10.3,10.3
ERYTHROPHTHALMUS,FOOD,1,11.83,11.83
ERYTHROPHTHALMUS,PLANT,1,12.19,12.19
ESOCIDAE,SALMONIDAE,1,9.91,9.91
ESOX,PERCINA,1,9.19,9.19
ETHEOSTOMA,ASPRIGENE,1,9.64,9.64
ETHEOSTOMA,CRAGINI,1,9.64,9.64
ETHEOSTOMA,HISTRIO,1,9.64,9.64
ETHEOSTOMA,MACULATA,1,9.44,9.44
ETHEOSTOMA,MICROPERCA,1,9.64,9.64
ETHEOSTOMA,NIANGUAE,1,9.61,9.61
ETHEOSTOMA,PERCIDAE,1,9.57,9.57
ETHEOSTOMA,SWAINI,1,9.64,9.64
ETHEOSTOMA,WHIPPLEI,1,9.61,9.61
EXILE,FLABELLARE,1,12.68,12.68
EXILE,MACULATA,1,11.83,11.83
FIN,AMEIURUS,1,13.99,13.99
FISH,CYNOSCION,1,10.68,10.68
FISH,GARIEPINUS,1,10.6,10.6
FISH,NEBULOSUS,1,10.68,10.68
FISHERY,CLUPEA,1,11.83,11.83
FLAVESCENS,VITREUM,1,9.44,9.44
FLAVESCENS,VITREUS,1,9.24,9.24
FLUVIATILIS,ABRAMIS,1,11.54,11.54
FLUVIATILIS,ACULEATUS,1,6.89,6.89
FLUVIATILIS,CERNUA,1,9.12,9.12
FLUVIATILIS,GRAELLSII,1,10.6,10.6
FLUVIATILIS,PLANERI,1,8.57,8.57
FLUVIATILIS,UMBLA,1,11.67,11.67
FLUVIATILIS,VIMBA,1,9.91,9.91
FONTINALIS,ALPINUS,1,5.8,5.8
FONTINALIS,SALAR,1,5.42,5.42
FONTINALIS,SALMO,1,11.41,11.41
FONTINALIS,SALMONIDAE,1,9.79,9.79
FORBESICHTHYS,AGASSIZI,1,13.99,13.99
FOSSOR,MARINUS,1,7.04,7.04
FULVESCENS,PERCINA,1,11.67,11.67
GADIDAE,LOTA,1,8.5,8.5
GADIDAE,TELEOSTEI,1,11.99,11.99
GADOPSIS,MARMORATUS,1,10.91,10.91
GADUS,GADIDAE,1,8.24,8.24
GADUS,LINNAEUS,1,7.21,7.21
GAIRDNERI,TRUTLA,1,13.41,13.41
GALAXIAS,AURATUS,1,8.08,8.08
GALAXIAS,PAUCISPONDYLUS,1,9.14,9.14
GALAXIAS,PLATEI,1,9.14,9.14
GALAXIAS,VULGARIS,1,9.09,9.09
GAMBUSIA,RETICULATA,1,9,9
GAMMARIDAE,ATYIDAE,1,13,13
GAMMARIDAE,OSTRACODA,1,12.68,12.68
GAMMARUS,ASELLUS,1,10.3,10.3
GAMMARUS,DYTISCIDAE,1,12.41,12.41
GAMMARUS,MEGALOPTERA,1,12.41,12.41
GAMMARUS,MOLLUSCA,1,12.41,12.41
GAMMARUS,PLECOPTERA,1,12.19,12.19
GAMMARUS,PSEUDOLIMNAEUS,1,10.3,10.3
GARIEPINUS,SILURIFORMES,1,13.41,13.41
GASTEROSTEIDAE,POECILIIDAE,1,12.19,12.19
GASTROPODA,BIVALVIA,1,10.47,10.47
GASTROPODA,MEGALOPTERA,1,10.54,10.54
GIBBOSUS,GULOSUS,1,10.6,10.6
GIBBOSUS,MYKISS,1,5.54,5.54
GIBELIO,PARVA,1,11.99,11.99
GOBIIDAE,ELEOTRIDINAE,1,13.41,13.41
GOBIIDAE,GASTEROSTEIDAE,1,12.41,12.41
GOBIO,BARBATULA,1,10.35,10.35
GOBIO,BARBUS,1,9.87,9.87
GOBIO,COTTIDAE,1,11.19,11.19
GOBY,GOBIIDAE,1,13.99,13.99
GOBY,GYRAULUS,1,12.68,12.68
GOBY,PHYSA,1,12.68,12.68
GOODEI,MACROCHIRUS,1,8.35,8.35
GORBUSCHA,KETA,1,9.12,9.12
GRUNNIENS,GOBIIDAE,1,13.41,13.41
GYMNOCEPHALUS,FLUVIATILIS,1,9.44,9.44
GYMNOCEPHALUS,PERCA,1,9.35,9.35
GYRINIDAE,HALIPLIDAE,1,13.41,13.41
HALIPLIDAE,CURCULIONIDAE,1,13.41,13.41
HARENGUS,KISUTCH,1,7.29,7.29
HARENGUS,LINNAEUS,1,8.07,8.07
HARENGUS,SALMO,1,11.3,11.3
HEMIGRAMMUS,MARGINATUS,1,13.41,13.41
HEMIPTERA,DIPTERA,1,10.3,10.3
HEMIPTERA,HETEROPTERA,1,12.19,12.19
HEPSETUS,ODOE,1,13.99,13.99
HEPTAGENIIDAE,HYMENOPTERA,1,11.3,11.3
HETEROCLITUS,OLIVACEUS,1,10.41,10.41
HETEROPTERA,HYMENOPTERA,1,11.54,11.54
HIPPOGLOSSOIDES,PLATESSOIDES,1,13.99,13.99
HIPPURIS,VULGARIS,1,13,13
HIRUDINEA,CRUSTACEA,1,11.41,11.41
HIRUDINEA,HYMENOPTERA,1,10.91,10.91
HIRUDINEA,MOLLUSCA,1,11.41,11.41
HIRUDINEA,TABANIDAE,1,11.83,11.83
HIRUDINEA,TRICHOPTERA,1,9.95,9.95
HOMARUS,AMERICANUS,1,10.35,10.35
HOMOPTERA,ORTHOPTERA,1,13.41,13.41
HYDRACARINA,CALANOIDA,1,13,13
HYDRACARINA,CYCLOPOIDA,1,13,13
HYDRACARINA,HIRUDINEA,1,11.41,11.41
HYDRACARINA,TABANIDAE,1,12.19,12.19
HYDRILLA,MYRIOPHYLLUM,1,9.95,9.95
HYDROPHILIDAE,NOTERIDAE,1,13,13
HYDROPSYCHIDAE,COLEOPTERA,1,11.83,11.83
HYMENOPTERA,DIPTERA,1,10.35,10.35
HYSTEROCARPUS,TRASKI,1,13.99,13.99
ICHNEUMONIDAE,CINYGMULA,1,13,13
ICHTHYOMYZON,GAGEI,1,11.99,11.99
ICTALURIDAE,CENTRARCHIDAE,1,13.41,13.41
ICTALURIDAE,SALMONIDAE,1,9.87,9.87
ICTALURUS,OMISCOMAYCUS,1,11.41,11.41
ICTALURUS,PERCINA,1,11.19,11.19
ICTALURUS,PERCOPSIS,1,11.41,11.41
IDELLUS,MOLITRIX,1,11.09,11.09
INSECT,AMPHIPODS,1,13.41,13.41
INSECTA,EPHEMEROPTERA,1,11.09,11.09
ISOPODA,COPEPODA,1,10.47,10.47
ISOPODA,NEMATODA,1,10.47,10.47
JAPONICA,SAPIDISSIMA,1,10.04,10.04
KERATELLA,DAPHNIA,1,13,13
KETA,SALMONIDAE,1,9.87,9.87
KETA,TSCHAWYTSCHA,1,12.68,12.68
KIYI,NERKA,1,7.42,7.42
KIYI,ZENITHICUS,1,12.19,12.19
KUHLIA,SANDVICENSIS,1,13.99,13.99
LABEO,OSTEICHTHYES,1,13.41,13.41
LACUSTRIS,DYTISCIDAE,1,12.41,12.41
LACUSTRIS,HYDRACARINA,1,13.41,13.41
LACUSTRIS,MEGALOPTERA,1,12.41,12.41
LACUSTRIS,MOLLUSCA,1,12.41,12.41
LACUSTRIS,PLECOPTERA,1,12.19,12.19
LAMPETRA,AEPYPTERA,1,6.79,6.79
LAMPETRA,CAMTSCHATICA,1,6.79,6.79
LAMPETRA,EUDONTOMYZON,1,6.79,6.79
LATIFOLIA,LACUSTRIS,1,10.91,10.91
LAVARETUS,CLUPEAFORMIS,1,8.76,8.76
LAVINIA,EXILICAUDA,1,13.99,13.99
LEPIDOPTERA,HOMOPTERA,1,12.41,12.41
LEPIDOPTERA,ORTHOPTERA,1,13,13
LEPIDOSTOMATIDAE,BRACHYCENTRIDAE,1,13.99,13.99
LEPISOSTEIDAE,OSSEUS,1,12.41,12.41
LEPISOSTEUS,OCULATUS,1,11.99,11.99
LEPOMIS,AURITUS,1,7.17,7.17
LEPOMIS,FLAVESCENS,1,12.68,12.68
LEPOMIS,MARGINATUS,1,7.16,7.16
LEPOMIS,PERCA,1,9.35,9.35
LEPOMIS,SPP,1,7.02,7.02
LEPORINUS,ELONGATUS,1,13,13
LEPTODORA,KINDTI,1,13,13
LETHENTERON,ALASKENSE,1,11.99,11.99
LETHENTERON,JAPONICUM,1,11.99,11.99
LETHENTERON,LAMPETRA,1,11.67,11.67
LETHENTERON,PETROMYZONTIDAE,1,11.83,11.83
LEUCISCUS,RUTILUS,1,6.43,6.43
LEUCTRIDAE,PLECOPTERA,1,10.04,10.04
LIMANDA,FLESUS,1,11.83,11.83
LINNAEUS,PUNGITIUS,1,9.14,9.14
LIZA,AURATA,1,10.6,10.6
LONGISPINA,PEDICULUS,1,13,13
LORICARIIDAE,CALLICHTHYIDAE,1,13.99,13.99
LUCIOPERCA,PERCAFLUVIATILIS,1,13,13
LUCIUS,ACULEATUS,1,6.9,6.9
LUCIUS,CEPHALUS,1,8.25,8.25
LUCIUS,LAVARETUS,1,7.12,7.12
LUCIUS,LUCIOPERCA,1,7.78,7.78
LUCIUS,PERCINA,1,11.19,11.19
LUCIUS,THYMALLUS,1,8.13,8.13
LUTJANUS,GRISEUS,1,13.99,13.99
LUTRENSIS,AURATUS,1,8.98,8.98
LUXILUS,CHRYSOCEPHALUS,1,11.67,11.67
LYMNAEA,TRICHOPTERA,1,10.09,10.09
LYTHRURUS,UMBRATILIS,1,13.99,13.99
MACQUARIA,NOVEMACULEATA,1,9.71,9.71
MACQUARIENSIS,AMBIGUA,1,11.99,11.99
MACRHYBOPSIS,AESTIVALIS,1,11.83,11.83
MACROCHIRUS,FLAVESCENS,1,12.68,12.68
MACROCHIRUS,NIGROMACULATUS,1,10.24,10.24
MACROCHIRUS,PERCA,1,9.35,9.35
MALMA,FONTINALIS,1,7.2,7.2
MALMA,HIODON,1,12.68,12.68
MARINA,OCEANOGRAFIA,1,13.41,13.41
MARINUS,LAMPETRA,1,11.3,11.3
MARINUS,LINNEAUS,1,10.68,10.68
MARMORATUS,BARBATULA,1,10.6,10.6
MASQUINONGY,CYPRINIDAE,1,10.91,10.91
MASQUINONGY,HARENGUS,1,8.54,8.54
