source,target,hits sum,score mean,score median
COREGONUS,ARTEDII,17,10.08,10.08
ELODEA,CANADENSIS,17,13.69,13.69
CLADOCERA,COPEPODA,16,12.705,12.705
MICROPTERUS,DOLOMIEUI,16,12.46,12.46
MORONE,CHRYSOPS,16,12.57,12.57
PACIFASTACUS,LENIUSCULUS,16,13.99,13.99
ANGUILLA,DIEFFENBACHII,15,10.08,10.08
ASPIUS,ASPIUS,15,13.66,13.66
ENGRAULIS,MORDAX,15,12.65,12.65
GYMNOCEPHALUS,CERNUA,15,12.1,12.1
ASELLUS,AQUATICUS,14,13.94,13.94
DOROSOMA,CEPEDIANUM,14,13.67,13.67
POECILIA,RETICULATA,14,13.59,13.59
POMATOSCHISTUS,MINUTUS,14,13.94,13.94
APLODINOTUS,GRUNNIENS,13,13.99,13.99
HYPOPHTHALMICHTHYS,MOLITRIX,13,13.61,13.61
MISGURNUS,ANGUILLICAUDATUS,13,13.94,13.94
MYSIS,DILUVIANA,13,13.27,13.27
MYSIS,RELICTA,13,13.27,13.27
PSEUDOPLEURONECTES,AMERICANUS,13,13.49,13.49
RHINICHTHYS,CATARACTAE,13,13.08,13.08
SQUALIUS,CEPHALUS,13,11.83,11.83
CATOSTOMUS,COMMERSONII,12,11.57,11.57
COBITIS,TAENIA,12,13.5,13.5
COREGONUS,NASUS,12,9.54,9.54
EURYCERCUS,LAMELLATUS,12,13.99,13.99
GAMMARUS,PULEX,12,13,13
GASTROPODA,NEMATODA,12,13.37,13.37
MALLOTUS,VILLOSUS,12,13.99,13.99
NOTEMIGONUS,CRYSOLEUCAS,12,13.94,13.94
PIMEPHALES,NOTATUS,12,12.85,12.85
POMOXIS,ANNULARIS,12,13,13
RANA,TEMPORARIA,12,13.88,13.88
RHINICHTHYS,ATRATULUS,12,13.03,13.03
SCIAENOPS,OCELLATUS,12,13.88,13.88
SOLEA,SOLEA,12,13.99,13.99
GAMMARUS,LACUSTRIS,11,13.14,13.14
LAMPETRA,TRIDENTATA,11,10.2,10.2
MYTILUS,EDULIS,11,13.99,13.99
NOTROPIS,HUDSONIUS,11,12.79,12.79
ONCORHYNCHUS,CLARKII,11,8.02,8.02
PARALICHTHYS,DENTATUS,11,12.96,12.96
RICHARDSONIUS,BALTEATUS,11,13.99,13.99
ARDEA,CINEREA,10,13.93,13.93
COTTUS,RICEI,10,9.98,9.98
ICTALURUS,FURCATUS,10,11.96,11.96
LUCIOBARBUS,BOCAGEI,10,13.8,13.8
MENIDIA,MENIDIA,10,13.86,13.86
MUGIL,CEPHALUS,10,11.64,11.64
MYOXOCEPHALUS,THOMPSONI,10,11.98,11.98
NUPHAR,LUTEA,10,13.93,13.93
ANGUILLA,AUSTRALIS,9,9.23,9.23
COBITIS,CALDERONI,9,13.21,13.21
DAPHNIA,LONGISPINA,9,12.38,12.38
PAGRUS,AURATUS,9,11.96,11.96
PLECOGLOSSUS,ALTIVELIS,9,13.99,13.99
PROTERORHINUS,MARMORATUS,9,13.47,13.47
SALAR,TRUTTA,9,8.59,8.59
SQUALIUS,CAROLITERTII,9,13.08,13.08
TRUTTA,LINNAEUS,9,11.06,11.06
ACULEATUS,LINNAEUS,8,10.95,10.95
LIMANDA,LIMANDA,8,13.91,13.91
LUXILUS,CORNUTUS,8,13.75,13.75
MARINUS,LINNAEUS,8,10.98,10.98
ORCONECTES,PROPINQUUS,8,13.35,13.35
PERCICHTHYS,TRUCHA,8,13.99,13.99
PETROMYZON,LINNAEUS,8,9.45,9.45
PTYCHOCHEILUS,GRANDIS,8,12.71,12.71
ACIPENSER,FULVESCENS,7,11.87,11.87
CARASSIUS,GIBELIO,7,11.34,11.34
CATOSTOMUS,MACROCHEILUS,7,11.48,11.48
DAPHNIA,HYALINA,7,12.13,12.13
DAPHNIA,PULEX,7,11.74,11.74
DOROSOMA,PETENENSE,7,13,13
ESOX,LINNAEUS,7,8.76,8.76
ETHEOSTOMA,EXILE,7,12.22,12.22
FAGUS,SYLVATICA,7,13.8,13.8
FLUVIATILIS,LINNAEUS,7,10.71,10.71
FUNDULUS,DIAPHANUS,7,12.13,12.13
GALAXIAS,MACULATUS,7,11.76,11.76
GASTEROSTEUS,LINNAEUS,7,9.23,9.23
HYPOPHTHALMICHTHYS,NOBILIS,7,12.9,12.9
