[TA]|168796|Suckley, 1859|5|,,,,,,,,,,,,,,,,,,,
[TA]|26128|Richardson, 1836|5|,,,,,,,,,,,,,,,,,,,
[TA]|30239|Walbaum, 1792|5|,,,,,,,,,,,,,,,,,,,
[TA]|70212|Suckley, 1861|5|,,,,,,,,,,,,,,,,,,,
[TA]|71373|(Jordan, 1894)|5|,,,,,,,,,,,,,,,,,,,
[TA]|7701|(Richardson, 1836)|5|,,,,,,,,,,,,,,,,,,,
[TA]|83336|(Evermann, 1906)|5|,,,,,,,,,,,,,,,,,,,
[TA]|83339|(Evermann, 1908)|5|,,,,,,,,,,,,,,,,,,,
[TA]|83340|(Gibbons, 1955)|5|,,,,,,,,,,,,,,,,,,,
[TA]|91142|(Suckley, 1859)|5|,,,,,,,,,,,,,,,,,,,
[TA]|9594|(Walbaum, 1792)|5|,,,,,,,,,,,,,,,,,,,
[NO]3399        |202423||,,,,,,,,,,,,,,,,,,,,
[NO]8388        |158852||,,,,,,,,,,,,,,,,,,,,
[NO]8727        |161061||,,,,,,,,,,,,,,,,,,,,
[NO]8735        |161105||,,,,,,,,,,,,,,,,,,,,
[NO]8753        |161928||,,,,,,,,,,,,,,,,,,,,
[NO]8754        |161929||,,,,,,,,,,,,,,,,,,,,
[NO]875501      |161931||,,,,,,,,,,,,,,,,,,,,
[NO]87550102    |161974||,,,,,,,,,,,,,,,,,,,,
[NO]8755010211  |161989||,,,,,,,,,,,,,,,,,,,,
[NO]8755010211  |161990||,,,,,,,,,,,,,,,,,,,,
[NO]8755010211  |161991||,,,,,,,,,,,,,,,,,,,,
[VR]||10944|ray-finned fishes|161061|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||10945|spiny rayed fishes|161061|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||11336|salmonids|161931|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||11379|rainbow trout|161989|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||153620|Kern River rainbow trout|553420|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||153621|desert redband trout|914089|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||153629|Eagle Lake rainbow trout|914087|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||153633|interior redband trout|914094|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||17513|Columbia River redband trout|553418|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||17520|Kern golden trout|553420|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||17525|Sacramento golden trout|553421|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||17545|coastal rainbow trout|553422|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||17563|Kamchatkan rainbow trout|553423|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||58858|Nelson's trout|553430|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||58866|Baja California rainbow trout|553430|English|N|,,,,,,,,,,,,,,,,,,,,
