source,target,relations,hits,score,score.1,Hits,Score
ASTROBLEPUS,UBIDIAI,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
ASTYANAX,BIMACULATUS,PARENT-CHILD,1.0,11.0,11.0,1.0,11.0
ASTYANAX,CICHLA,PARENT-CHILD,1.0,11.0,11.0,1.0,11.0
ASTYANAX,INTERMEDIUS,PARENT-CHILD,11.0,13.6,13.6,11.0,13.6
ASTYANAX,MEXICANUS,PARENT-CHILD,1.0,11.0,11.0,1.0,11.0
ATHERINA,BOYERI,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
ATHERINIDAE,ATHERINOPSIDAE,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
ATRACTOSTEUS,SPATULA,PARENT-CHILD,6.0,13.99,13.99,6.0,13.99
ATRATULUS,CATARACTAE,PARENT-CHILD,1.0,10.91,10.91,1.0,10.91
AURATUS,HASSELTI,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68
AURATUS,SCLATERI,PARENT-CHILD,1.0,11.0,11.0,1.0,11.0
AURATUS,SPARIDAE,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68
AWAOS,MELANOCEPHALUS,CHILD-PARENT,1.0,13.41,13.41,1.0,13.41
AZOLLA,AFRICANA,CHILD-PARENT,1.0,13.99,13.99,1.0,13.99
BAETIDAE,HEPTAGENIIDAE,PARENT-CHILD,1.0,13.41,13.41,1.0,13.41
BAETIDAE,SIPHLONURIDAE,PARENT-CHILD,1.0,13.41,13.41,1.0,13.41
BAILEYI,NOTROPIS,PARENT-CHILD,1.0,13.0,13.0,1.0,13.0
BALLERUS,BALLERUS,CHILD-PARENT,1.0,13.41,13.41,1.0,13.41
BARBATULA,BARBATULA,PARENT-CHILD,16.0,13.95,13.95,16.0,13.95
BARBUS,BARBUS,PARENT-CHILD,59.0,13.61,13.61,59.0,13.61
BARBUS,HAASI,PARENT-CHILD,6.0,10.95,10.95,6.0,10.95
BARBUS,PETENYI,PARENT-CHILD,5.0,10.72,10.72,5.0,10.72
BARBUS,SCLATERI,PARENT-CHILD,12.0,11.87,11.87,12.0,11.87
BATRACHIUM,MYRIOPHYLLUM,CHILD-PARENT,1.0,13.99,13.99,1.0,13.99
BETULA,NANA,PARENT-CHILD,1.0,13.0,13.0,1.0,13.0
BIVALVIA,CLADOCERA,PARENT-CHILD,1.0,11.67,11.67,1.0,11.67
BIVALVIA,MYTILIDAE,PARENT-CHILD,2.0,13.41,13.41,2.0,13.41
BIVALVIA,VENEROIDA,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68
BLICCA,BJOERKNA,PARENT-CHILD,14.0,13.48,13.48,14.0,13.48
BOSMINA,COREGONI,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68
BOSMINA,LONGISPINA,PARENT-CHILD,3.0,13.58,13.58,3.0,13.58
BOSMINA,TRICHOPTERA,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68
BOSRNINA,LONGISPINA,CHILD-PARENT,1.0,12.68,12.68,1.0,12.68
BRACHYMYSTAX,HUCHO,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
BRACHYRHAPHIS,RHABDOPHORA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
BREVOORTIA,TYRANNUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99
BRYCONAMERICUS,IHERINGI,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68
BRYCONAMERICUS,IHERINGII,PARENT-CHILD,1.0,12.68,12.68,1.0,12.68
BRYCONAMERICUS,STRAMINEUS,PARENT-CHILD,2.0,12.29,12.29,2.0,12.29
BYTHOTREPHES,LONGIMANUS,PARENT-CHILD,8.0,13.83,13.83,8.0,13.83
CAENIDAE,BAETIDAE,CHILD-PARENT,2.0,13.67,13.67,2.0,13.67
CAENIDAE,DAPHNIDAE,CHILD-PARENT,1.0,13.0,13.0,1.0,13.0
CAIOLA,CALLES,CHILD-PARENT,1.0,13.99,13.99,1.0,13.99
