source,target,relations,hits,score,score.1,Hits,Score
GOBIOMORUS,DORMITOR,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99
GYMNOCEPHALUS,CERNUUS,PARENT-CHILD,46.0,13.79,13.79,46.0,13.79
HEMIGRAMMUS,ERYTHROZONUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99
HEPHAESTUS,FULIGINOSUS,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99
HEPSETUS,ODOE,PARENT-CHILD,5.0,13.99,13.99,5.0,13.99
HEPTAGENIIDAE,HYDROPSYCHIDAE,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
HOLOPEDIUM,GIBBERUM,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99
HYDROCYNUS,VITTATUS,PARENT-CHILD,9.0,13.77,13.77,9.0,13.77
HYPOPHTHALMICHTHYS,MOLITRIX,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99
ICTALURUS,PUNCTATUS,PARENT-CHILD,22.0,13.87,13.87,22.0,13.87
ICTIOBUS,BUBALUS,PARENT-CHILD,2.0,13.67,13.67,2.0,13.67
LAVINIA,EXILICAUDA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
LENTIPES,CONCOLOR,PARENT-CHILD,8.0,13.99,13.99,8.0,13.99
LEPTOCOTTUS,ARMATUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99
LEPTODORA,KINDTII,PARENT-CHILD,6.0,13.88,13.88,6.0,13.88
LETHENTERON,REISSNERI,PARENT-CHILD,6.0,13.58,13.58,6.0,13.58
LEUCASPIUS,DELINEATUS,PARENT-CHILD,6.0,13.88,13.88,6.0,13.88
LIGULA,INTESTINALIS,PARENT-CHILD,9.0,13.99,13.99,9.0,13.99
LIMANDA,LIMANDA,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99
LUCIOBARBUS,ALBANICUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
LUTJANUS,GRISEUS,PARENT-CHILD,3.0,13.77,13.77,3.0,13.77
LUTRA,LUTRA,PARENT-CHILD,12.0,13.99,13.99,12.0,13.99
LYTECHINUS,VARIEGATUS,CHILD-PARENT,1.0,13.99,13.99,1.0,13.99
MACCULLOCHELLA,PEELII,PARENT-CHILD,17.0,13.83,13.83,17.0,13.83
MACRHYBOPSIS,MEEKI,PARENT-CHILD,3.0,13.58,13.58,3.0,13.58
MALLOTUS,VILLOSUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99
MARGARISCUS,MARGARITA,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99
MENIDIA,MENIDIA,PARENT-CHILD,9.0,13.64,13.64,9.0,13.64
MERLUCCIUS,MERLUCCIUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99
MICROPTERUS,DOLOMIEU,PARENT-CHILD,36.0,13.77,13.77,36.0,13.77
MIRANDA,MIRZA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
MISGURNUS,ANGUILLICAUDATUS,PARENT-CHILD,14.0,13.85,13.85,14.0,13.85
MORONE,SAXATILIS,PARENT-CHILD,21.0,13.86,13.86,21.0,13.86
MUGILIDAE,TERAPONTIDAE,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
MUS,MUSCULUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99
MUSTELA,VISON,PARENT-CHILD,5.0,13.86,13.86,5.0,13.86
MYLOCHEILUS,CAURINUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99
MYOXOCEPHALUS,THOMPSONII,PARENT-CHILD,4.0,13.67,13.67,4.0,13.67
MYRIOPHYLLUM,SPICATUM,PARENT-CHILD,5.0,13.73,13.73,5.0,13.73
MYSIS,RELICTA,PARENT-CHILD,14.0,13.55,13.55,14.0,13.55
NEOCHANNA,DIVERSUS,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99
NEOGOBIUS,MELANOSTOMUS,PARENT-CHILD,67.0,13.84,13.84,67.0,13.84
NEOLAMPROLOGUS,PULCHER,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
NICOLA,ELVIRA,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99
NOTEMIGONUS,CRYSOLEUCAS,PARENT-CHILD,3.0,13.77,13.77,3.0,13.77
NUPHAR,LUTEA,PARENT-CHILD,2.0,13.67,13.67,2.0,13.67
OECOLOGIA,APPLICATA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
OLIGOSARCUS,HEPSETUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
ORYZIAS,SINENSIS,CHILD-PARENT,1.0,13.99,13.99,1.0,13.99
OSMERUS,EPERLANUS,PARENT-CHILD,20.0,13.51,13.51,20.0,13.51
OSSEUS,CATCH,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
PANNELLA,SICYDIINAE,CHILD-PARENT,1.0,13.99,13.99,1.0,13.99
PARALICHTHYS,DENTATIS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
PERCA,FLUVIATILIS,PARENT-CHILD,230.0,13.66,13.66,230.0,13.66
PERCICHTHYS,TRUCHA,PARENT-CHILD,2.0,13.67,13.67,2.0,13.67
PETROMYZON,MARINUS,PARENT-CHILD,30.0,13.91,13.91,30.0,13.91
PHALAROIDES,ARUNDINACEA,CHILD-PARENT,1.0,13.99,13.99,1.0,13.99
PHOXINUS,PHOXINUS,PARENT-CHILD,51.0,13.85,13.85,51.0,13.85
PLATICHTHYS,FLESUS,PARENT-CHILD,4.0,13.83,13.83,4.0,13.83
PLECOGLOSSUS,ALTIVELIS,CHILD-PARENT,14.0,13.99,13.99,14.0,13.99
PLEURONECTES,PLATESSA,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99
PODICEPS,CRISTATUS,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99
PODOSTEMUM,CERATOPHYLLUM,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99
POECILIA,RETICULATA,PARENT-CHILD,22.0,13.67,13.67,22.0,13.67
POMATOSCHISTUS,MINUTUS,PARENT-CHILD,6.0,13.88,13.88,6.0,13.88
POTAMORHINA,ALTAMAZONICA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
PROCHILODUS,LINEATUS,PARENT-CHILD,14.0,13.99,13.99,14.0,13.99
PROMELAS,OSTEICHTHYES,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
PROSOPIUM,WILLIAMSONI,PARENT-CHILD,10.0,13.86,13.86,10.0,13.86
PROTERORHINUS,SEMILUNARIS,PARENT-CHILD,7.0,13.64,13.64,7.0,13.64
PROTOGOBIUS,ATTITI,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
PROTOTROCTES,MAREANA,PARENT-CHILD,5.0,13.99,13.99,5.0,13.99
PSEUDOGOBIUS,OLORUM,PARENT-CHILD,6.0,13.99,13.99,6.0,13.99
PSEUDORASBORA,PARVA,PARENT-CHILD,27.0,13.97,13.97,27.0,13.97
PTERODORAS,GRANULOSUS,CHILD-PARENT,13.0,13.94,13.94,13.0,13.94
PUNGITIUS,PUNGITIUS,PARENT-CHILD,41.0,13.86,13.86,41.0,13.86
PYGOCENTRUS,NATTERERI,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99
PYLODICTIS,OLIVARIS,PARENT-CHILD,7.0,13.72,13.72,7.0,13.72
RHAMDIA,QUELEN,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
RHINICHTHYS,CATARACTAE,PARENT-CHILD,15.0,13.51,13.51,15.0,13.51
RHODEUS,SERICEUS,PARENT-CHILD,23.0,13.61,13.61,23.0,13.61
RICHARDSONIUS,BALTEATUS,PARENT-CHILD,12.0,13.88,13.88,12.0,13.88
RUTILUS,RUTILUS,PARENT-CHILD,199.0,13.94,13.94,199.0,13.94
SALIX,ALNUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
SALVELINUS,ALPINUS,PARENT-CHILD,485.0,13.51,13.51,485.0,13.51
SCARDINIUS,ERYTHROPHTHALMUS,PARENT-CHILD,29.0,13.72,13.72,29.0,13.72
SCELOPORUS,UNDULATUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
SCOPHTHALMUS,MAXIMUS,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99
SEBASTES,FLAVIDUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
SEMOTILUS,ATROMACULATUS,PARENT-CHILD,21.0,13.96,13.96,21.0,13.96
SERRANUS,SCRIBA,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99
SICYDIUM,PUNCTATUM,PARENT-CHILD,16.0,13.67,13.67,16.0,13.67
SICYOPTERUS,LAGOCEPHALUS,PARENT-CHILD,57.0,13.65,13.65,57.0,13.65
SOLEA,SOLEA,PARENT-CHILD,6.0,13.99,13.99,6.0,13.99
SPARGANIUM,ERECTUM,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
SPARIDAE,MUGILIDAE,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
SPARUS,AURATA,CHILD-PARENT,4.0,13.99,13.99,4.0,13.99
STENODUS,LEUCICHTHYS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
STENOGOBIUS,GENIVITTATUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
STIPHODON,PERCNOPTERYGIONUS,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99
SULMO,GUIRDNERI,PARENT-CHILD,9.0,13.53,13.53,9.0,13.53
SUOMEN,MERIALUEILLA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
SYNCOMISTES,BUTLERI,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
THALASSOMA,BIFASCIATUM,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99
THYMALLUS,THYMALLUS,PARENT-CHILD,67.0,13.61,13.61,67.0,13.61
TINCA,TINCA,PARENT-CHILD,27.0,13.87,13.87,27.0,13.87
TRIDENTIGER,BREVISPINIS,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99
UMBRA,LIMI,PARENT-CHILD,6.0,13.77,13.77,6.0,13.77
VALLISNERIA,AMERICUNA,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99
VENUSTA,CYPRINIFORMES,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
VIMBA,VIMBA,PARENT-CHILD,5.0,13.99,13.99,5.0,13.99
XYRAUCHEN,TEXANUS,PARENT-CHILD,9.0,13.71,13.71,9.0,13.71
ZANNICHELLIA,CALLITRICHE,CHILD-PARENT,1.0,13.99,13.99,1.0,13.99
