source,target,hits sum,score mean,score median
ETHEOSTOMA,PERCIDAE,1,13.99,13.99
GUDGEON,PIKEPERCH,1,13.99,13.99
GYMNOCEPHALUS_CERNUUS,STIZOSTEDION_LUCIOPERCA,1,11.83,11.83
PERCIDAE,ETHEOSTOMA_NIGRUM,1,11.41,11.41
PERCIDAE,PERCA,3,13.14,13.14
PERCIDAE,PERCA_FLAVESCENS,3,12.04,12.04
PERCIDAE,SANDER_VITREUS,3,13,13
PIKEPERCH,GYMNOCEPHALUS_CERNUUS,1,11,11
PIKEPERCH,SANDER_LUCIOPERCA,7,13.34,13.34
PIKEPERCH,STIZOSTEDION_LUCIOPERCA,7,13.28,13.28
