TAXRANK_target,target,source,TAXRANK_source,relations,score.1,data_source_y
,CERNUA,ACERINA,,,13.36,WEB corpus
,COMMERSONI,CATOSTOMUS,,,13.05,WEB corpus
,DEMERSUM,CERATOPHYLLUM,,,13.88,WEB corpus
,COPEPODA,CLADOCERA,,,12.705,WEB corpus
,ARTEDII,COREGONUS,,,10.08,WEB corpus
,BAIRDI,COTTUS,,,11.99,WEB corpus
,ESOX,CYPRINIDAE,,,12.61,WEB corpus
,FLUVIATILIS,CYPRINIDAE,,,12.62,WEB corpus
,LUCIUS,CYPRINIDAE,,,12.62,WEB corpus
,PERCA,CYPRINIDAE,,,12.6,WEB corpus
,POLYMORPHA,DREISSENA,,,13.88,WEB corpus
,CANADENSIS,ELODEA,,,13.69,WEB corpus
,PLECOPTERA,EPHEMEROPTERA,,,13.31,WEB corpus
,CYPRINIDAE,ESOX,,,10.105,WEB corpus
,HOLBROOKI,GAMBUSIA,,,13.18,WEB corpus
,CERNUA,GYMNOCEPHALUS,,,12.1,WEB corpus
,VERTICILLATA,HYDRILLA,,,13.97,WEB corpus
,DOLOMIEUI,MICROPTERUS,,,12.46,WEB corpus
,SPICATUM,MYRIOPHYLLUM,,,13.88,WEB corpus
,MYKISS,ONCHORHYNCHUS,,,9.67,WEB corpus
,CLARKI,ONCORHYNCHUS,,,9.49,WEB corpus
,LENIUSCULUS,PACIFASTACUS,,,13.99,WEB corpus
,GAIRDNERI,SALMO,,,11.48,WEB corpus
,LINNAEUS,SALMO,,,8.35,WEB corpus
,MAXIMUS,SCOPHTHALMUS,,,13.99,WEB corpus
,LUCIOPERCA,STIZOSTEDION,,,12.71,WEB corpus
,VITREUM,STIZOSTEDION,,,13.23,WEB corpus
