TAXRANK_target,target,source,TAXRANK_source,relations,score.1,data_source_y
,BALLERUS,ABRAMIS,,,10.04,WEB corpus
,HIRUDINEA,ACANTHOCEPHALA,,,11.83,WEB corpus
,SCHLEGELI,ACANTHOPAGRUS,,,13.67,WEB corpus
,BIVALVIA,ACARI,,,11.99,WEB corpus
,CERNUA,ACERINA,,,13.36,WEB corpus
,UMATILLA,ACIPENSER,,,9.14,WEB corpus
,ACHIRIDAE,ACTINOPTERYGII,,,12.41,WEB corpus
,CYPRINIDAE,ACTINOPTERYGII,,,11.83,WEB corpus
,LINNAEUS,ACTINOPTERYGII,,,8.04,WEB corpus
,TRICHOMYCTERIDAE,ACTINOPTERYGII,,,12.19,WEB corpus
,GASTEROSTEIDAE,ACULEATUS,,,11.91,WEB corpus
,LINNAEUS,ACULEATUS,,,10.95,WEB corpus
,MYKISS,ACULEATUS,,,5.52,WEB corpus
,PUNGITIUS,ACULEATUS,,,9.91,WEB corpus
,CHIRONOMIDAE,AESHNIDAE,,,12.68,WEB corpus
,GIBBOSUS,AFFINIS,,,8.52,WEB corpus
,RETICULATA,AFFINIS,,,10.82,WEB corpus
,EPERLANUS,ALBULA,,,9.79,WEB corpus
,WILLIAMSONI,ALBULA,,,10.54,WEB corpus
,GLUTINOSA,ALNUS,,,13.99,WEB corpus
,CERIODAPHNIA,ALONA,,,13.0,WEB corpus
,NANA,ALONELLA,,,13.99,WEB corpus
,LINNAEUS,ALOSA,,,7.95,WEB corpus
,LAVARETUS,ALPINUS,,,7.2,WEB corpus
,OXYRINCHUS,ALPINUS,,,11.99,WEB corpus
,LUCIUS,AMERICANUS,,,7.43,WEB corpus
,ETHEOSTOMA,AMMOCRYPTA,,,12.68,WEB corpus
,COTTIDAE,AMMODYTES,,,11.3,WEB corpus
,HYLIDAE,AMPHIBIA,,,13.99,WEB corpus
,CHIRONOMIDAE,AMPHIPODA,,,11.09,WEB corpus
,COPEPODA,AMPHIPODA,,,11.19,WEB corpus
,DIPTERA,AMPHIPODA,,,11.04,WEB corpus
,EPHEMEROPTERA,AMPHIPODA,,,10.6,WEB corpus
,ISOPODA,AMPHIPODA,,,11.83,WEB corpus
,BAGRIDAE,ANGUILLIDAE,,,13.0,WEB corpus
,LINNAEUS,ANGUILLIDAE,,,8.07,WEB corpus
,UMBRIDAE,ANGUILLIDAE,,,11.83,WEB corpus
