source,target,score.1,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
CARPIODES,VELIFER,13.19,2.0,13.19,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CASTOR,CANADENSIS,10.3,1.0,10.3,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,CATOSTOMUS,12.68,18.0,12.68,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,COMMERSONII,11.57,12.0,11.57,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,DISCOBOLUS,9.79,2.0,9.79,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,LATIPINNIS,8.81,1.0,8.81,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,MACROCHEILUS,11.48,7.0,11.48,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CATOSTOMUS,PLATYRHYNCHUS,10.35,3.0,10.35,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CENTRARCHIDAE,LEPOMIS,11.83,1.0,11.83,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
CENTRARCHIDAE,MICROPTERUS,11.83,1.0,11.83,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
CENTRARCHIDAE,POMOXIS,11.83,1.0,11.83,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
CHAETODON,MULTICINCTUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHEIMARRICHTHYS,FOSTERI,13.77,3.0,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHONDROSTOMA,NASUS,13.33,18.0,13.33,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLARIAS,GARIEPINUS,13.98,51.0,13.98,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLARIAS,MACROCEPHALUS,9.27,1.0,9.27,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLUPEA,HARENGUS,13.97,83.0,13.97,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COBITIS,CALDERONI,13.21,9.0,13.21,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COBITIS,TAENIA,13.5,12.0,13.5,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ALBULA,12.24,86.0,12.24,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ARTEDI,10.67,26.0,10.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,CLUPEAFORMIS,11.99,71.0,11.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,FONTANAE,8.03,4.0,8.03,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,HOYI,10.72,27.0,10.72,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,KIYI,7.62,3.0,7.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,LAVARETUS,13.08,220.0,13.08,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,MARAENA,7.62,3.0,7.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,NASUS,9.54,12.0,9.54,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,OXYRINCHUS,8.03,4.0,8.03,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,PELED,7.62,3.0,7.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,SARDINELLA,8.35,5.0,8.35,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ZENITHICUS,8.03,4.0,8.03,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTIDAE,COTTUS,13.41,1.0,13.41,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
COTTUS,ASPER,11.83,39.0,11.83,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,BAIRDII,10.79,18.0,10.79,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,CAROLINAE,8.29,3.0,8.29,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,COGNATUS,12.5,67.0,12.5,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,GOBIO,12.65,85.0,12.65,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,GULOSUS,9.23,6.0,9.23,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,HANGIONGENSIS,6.71,1.0,6.71,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,NOZAWAE,6.71,1.0,6.71,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,PAULUS,8.29,3.0,8.29,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,PITENSIS,7.71,2.0,7.71,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,POECILOPUS,11.2,24.0,11.2,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,POLLUX,6.71,1.0,6.71,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,RICEI,9.98,10.0,9.98,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COUESIUS,PLUMBEUS,13.97,30.0,13.97,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CRENICHTHYS,BAILEYI,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CTENOPHARYNGODON,IDELLA,12.68,1.0,12.68,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CULAEA,INCONSTANS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYCLEPTUS,ELONGATUS,13.67,2.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYNOSCION,REGALIS,13.99,5.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINELLA,GALACTURA,11.19,1.0,11.19,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINELLA,LUTRENSIS,13.15,5.0,13.15,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINELLA,SPILOPTERA,13.0,5.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINELLA,WHIPPLEI,11.09,1.0,11.09,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINIDAE,ABRAMIS,7.5,1.0,7.5,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
CYPRINIDAE,ALBURNUS,11.12,3.0,11.12,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
CYPRINIDAE,SQUALIUS,7.51,1.0,7.51,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
CYPRINIFORMES,CYPRINIDAE,11.055,4.0,11.055,WEB corpus, FAMILY, ORDER,VTO ontology,is_a,both
CYPRINUS,CARPIO,13.67,6.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DICENTRARCHUS,LABRAX,13.99,39.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DOROSOMA,CEPEDIANUM,13.67,14.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DOROSOMA,PETENENSE,13.0,7.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
EGRETTA,GARZETTA,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ENGRAULIS,ENCRASICOLUS,12.62,5.0,12.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ENGRAULIS,MORDAX,12.65,15.0,12.65,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ERIMYZON,OBLONGUS,13.99,4.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ESOCIDAE,ESOX,10.32,2.0,10.32,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
ESOX,AMERICANUS,8.24,4.0,8.24,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ESOX,LUCIUS,11.755,376.0,11.755,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ESOX,MASQUINONGY,10.43,18.0,10.43,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,ASPRIGENE,9.64,1.0,9.64,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,CAERULEUM,11.54,4.0,11.54,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,CHIENENSE,11.15,3.0,11.15,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,CRAGINI,9.64,1.0,9.64,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,EXILE,12.22,7.0,12.22,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,FLABELLARE,10.57,2.0,10.57,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,HISTRIO,9.64,1.0,9.64,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,MICROPERCA,9.64,1.0,9.64,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,NIANGUAE,9.61,1.0,9.61,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,NIGRUM,12.02,6.0,12.02,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,OLMSTEDI,10.6,2.0,10.6,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
