TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,Hits,Score,data_source_y,_merge
 SPECIES,NOTATUS,PIMEPHALES, GENUS,VTO ontology,is_a,12.85,12.0,12.85,WEB corpus,both
 SPECIES,STORERIANA,MACRHYBOPSIS, GENUS,VTO ontology,is_a,13.67,2.0,13.67,WEB corpus,both
 SPECIES,EMILIAE,OPSOPOEODUS, GENUS,VTO ontology,is_a,13.0,1.0,13.0,WEB corpus,both
 SPECIES,BOCAGEI,LUCIOBARBUS, GENUS,VTO ontology,is_a,13.8,10.0,13.8,WEB corpus,both
 SPECIES,TINCA,TINCA, GENUS,VTO ontology,is_a,13.92,37.0,13.92,WEB corpus,both
 SPECIES,BALLERUS,BALLERUS, GENUS,VTO ontology,is_a,13.19,2.0,13.19,WEB corpus,both
 SPECIES,BURCHELLI,PSEUDOBARBUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,ANOMALUM,CAMPOSTOMA, GENUS,VTO ontology,is_a,13.99,3.0,13.99,WEB corpus,both
 SPECIES,NASUS,CHONDROSTOMA, GENUS,VTO ontology,is_a,13.33,18.0,13.33,WEB corpus,both
 SPECIES,UMBRATILIS,LYTHRURUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,MOLITRIX,HYPOPHTHALMICHTHYS, GENUS,VTO ontology,is_a,13.61,13.0,13.61,WEB corpus,both
 SPECIES,NOBILIS,HYPOPHTHALMICHTHYS, GENUS,VTO ontology,is_a,12.9,7.0,12.9,WEB corpus,both
 SPECIES,CARPIO,CYPRINUS, GENUS,VTO ontology,is_a,13.67,6.0,13.67,WEB corpus,both
 SPECIES,IDELLA,CTENOPHARYNGODON, GENUS,VTO ontology,is_a,12.68,1.0,12.68,WEB corpus,both
 SPECIES,CARASSIUS,CARASSIUS, GENUS,VTO ontology,is_a,12.63,20.0,12.63,WEB corpus,both
 SPECIES,AURATUS,CARASSIUS, GENUS,VTO ontology,is_a,13.52,52.0,13.52,WEB corpus,both
 SPECIES,PARVA,PSEUDORASBORA, GENUS,VTO ontology,is_a,13.73,5.0,13.73,WEB corpus,both
 SPECIES,CAROLITERTII,SQUALIUS, GENUS,VTO ontology,is_a,13.08,9.0,13.08,WEB corpus,both
 SPECIES,ASPIUS,ASPIUS, GENUS,VTO ontology,is_a,13.66,15.0,13.66,WEB corpus,both
 SPECIES,GRACILIS,PLATYGOBIO, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,CATARACTAE,RHINICHTHYS, GENUS,VTO ontology,is_a,13.08,13.0,13.08,WEB corpus,both
 SPECIES,ATRATULUS,RHINICHTHYS, GENUS,VTO ontology,is_a,13.03,12.0,13.03,WEB corpus,both
 SPECIES,SPILOPTERA,CYPRINELLA, GENUS,VTO ontology,is_a,13.0,5.0,13.0,WEB corpus,both
 SPECIES,LUTRENSIS,CYPRINELLA, GENUS,VTO ontology,is_a,13.15,5.0,13.15,WEB corpus,both
 SPECIES,ATROMACULATUS,SEMOTILUS, GENUS,VTO ontology,is_a,13.96,19.0,13.96,WEB corpus,both
 SPECIES,PHOXINUS,PHOXINUS, GENUS,VTO ontology,is_a,13.89,46.0,13.89,WEB corpus,both
 SPECIES,HUDSONIUS,NOTROPIS, GENUS,VTO ontology,is_a,12.79,11.0,12.79,WEB corpus,both
 SPECIES,CRYSOLEUCAS,NOTEMIGONUS, GENUS,VTO ontology,is_a,13.94,12.0,13.94,WEB corpus,both
