TAXRANK_target,target,source,TAXRANK_source,relations,score.1,Hits,Score,data_source_y
,NANA,ALONELLA,,,13.26,3.0,13.26,WEB corpus
,HIATICULA,ALPINA,,,13.41,1.0,13.41,WEB corpus
,LAVARETUS,ALPINUS,,,7.21,1.0,7.21,WEB corpus
,OXYRINCHUS,ALPINUS,,,11.99,1.0,11.99,WEB corpus
,PSEUDOHARENGUS,ALSOA,,,9.02,1.0,9.02,WEB corpus
,SOPHORE,ALTIVELIS,,,13.41,1.0,13.41,WEB corpus
,LACUSTRIS,AMARINUS,,,10.47,1.0,10.47,WEB corpus
,CLAUSOCALANUS,AMAZONICUM,,,11.67,1.0,11.67,WEB corpus
,ERIOCHEIR,AMAZONICUM,,,11.67,1.0,11.67,WEB corpus
,FAXONI,AMAZONICUM,,,11.67,1.0,11.67,WEB corpus
,FURCATUS,AMAZONICUM,,,11.67,1.0,11.67,WEB corpus
,LUCIFER,AMAZONICUM,,,11.67,1.0,11.67,WEB corpus
,RANINA,AMAZONICUM,,,11.67,1.0,11.67,WEB corpus
,SINENSIS,AMAZONICUM,,,11.67,1.0,11.67,WEB corpus
,LUCIUS,AMERICANUS,,,12.19,2.0,12.19,WEB corpus
,HIODON,AMIA,,,12.68,1.0,12.68,WEB corpus
,ASPRELLA,AMMOCRYPTA,,,12.41,1.0,12.41,WEB corpus
,ETHEOSTOMA,AMMOCRYPTA,,,12.68,1.0,12.68,WEB corpus
,COTTIDAE,AMMODYTES,,,10.19,1.0,10.19,WEB corpus
,DYSMICA,AMMOPHILA,,,13.99,1.0,13.99,WEB corpus
,PHYSA,AMNICOLA,,,13.99,1.0,13.99,WEB corpus
,CHIRONOMIDAE,AMPHIPODA,,,11.41,1.0,11.41,WEB corpus
,DIPTERA,AMPHIPODA,,,11.09,2.0,11.09,WEB corpus
,ISOPODA,AMPHIPODA,,,12.68,1.0,12.68,WEB corpus
,TRISCACANTHA,AMPHIURA,,,13.99,1.0,13.99,WEB corpus
,OVALIS,AMPHORA,,,13.0,1.0,13.0,WEB corpus
,RUPESTRIS,AMPLOPLITES,,,10.41,1.0,10.41,WEB corpus
,FLOS-AQUAE,ANABAENA,,,12.68,1.0,12.68,WEB corpus
,FAUNA,ANABARHYNCHUS,,,13.0,1.0,13.0,WEB corpus
,NEW,ANABARHYNCHUS,,,12.41,1.0,12.41,WEB corpus
,RUFICORNIS,ANABARHYNCHUS,,,12.41,1.0,12.41,WEB corpus
,ZEALAND,ANABARHYNCHUS,,,12.68,1.0,12.68,WEB corpus
,CANADENSIS,ANACHARIS,,,10.14,1.0,10.14,WEB corpus
,ARNENCANA,ANAS,,,11.67,1.0,11.67,WEB corpus
,PLATYRHYNCHUS,ANAS,,,11.3,1.0,11.3,WEB corpus
,TASMANIAE,ANASPIDES,,,13.99,1.0,13.99,WEB corpus
,IMPERATOR,ANAX,,,13.99,1.0,13.99,WEB corpus
,POLIFOLIA,ANDROMEDA,,,13.99,1.0,13.99,WEB corpus
,EDULIS,ANGASI,,,10.91,1.0,10.91,WEB corpus
,CORDIFOLIA,ANGOPHORA,,,13.99,1.0,13.99,WEB corpus
,CRASSUS,ANGUILLICOLA,,,13.34,7.0,13.34,WEB corpus
,PAPERNAI,ANGUILLICOLA,,,11.83,1.0,11.83,WEB corpus
,CRASSUS,ANGUILLICOLOIDES,,,12.83,4.0,12.83,WEB corpus
,BAGRIDAE,ANGUILLIDAE,,,13.41,1.0,13.41,WEB corpus
,UMBRIDAE,ANGUILLIDAE,,,11.99,1.0,11.99,WEB corpus
,SIMPLEX,ANISAKIS,,,13.54,4.0,13.54,WEB corpus
,SARDEA,ANISOPS,,,13.99,1.0,13.99,WEB corpus
