filter,VTO_total,WEB_total,VTO_not_in_WEB,WEB_not_in_VTO,VTO_in_WEB,%_only_in_VTO,%_only_in_WEB,%_common_vs_VTO,%_common_WEB
WEB_WEBGNRD_sal_over11.0.csv,107028.0,2915.0,106157.0,2057.0,858.0,99.18619426692081,70.56603773584905,0.8016593788541316,29.433962264150942
WEB_WEBGNRD_sal_over8.0.csv,107028.0,3768.0,105945.0,2700.0,1068.0,98.98811525955826,71.656050955414,0.9978697163359121,28.343949044585987
WEB_WEBGNRD_rel_over80.csv,107028.0,31.0,106998.0,1.0,30.0,99.97196995178832,3.225806451612903,0.028030048211682923,96.7741935483871
WEB_WEBGNRD_sal_over3.5.csv,107028.0,4014.0,105875.0,2876.0,1138.0,98.92271181373098,71.64922770303936,1.0632731621631724,28.350772296960635
WEB_WEBGNRD_sal_over1.5.csv,107028.0,4014.0,105875.0,2876.0,1138.0,98.92271181373098,71.64922770303936,1.0632731621631724,28.350772296960635
WEB_WEBGNRD_rel_over5.csv,107028.0,510.0,106730.0,213.0,297.0,99.72156818776395,41.76470588235294,0.277497477295661,58.235294117647065
WEB_WEBGNRD_rel_over40.csv,107028.0,64.0,106973.0,9.0,55.0,99.94861157827857,14.0625,0.05138842172141869,85.9375
WEB_WEBGNRD_sal_over4.0.csv,107028.0,4014.0,105875.0,2876.0,1138.0,98.92271181373098,71.64922770303936,1.0632731621631724,28.350772296960635
WEB_WEBGNRD_sal_over1.0.csv,107028.0,4014.0,105875.0,2876.0,1138.0,98.92271181373098,71.64922770303936,1.0632731621631724,28.350772296960635
WEB_WEBGNRD_sal_over13.5.csv,107028.0,892.0,106666.0,534.0,358.0,99.66177075157903,59.865470852017935,0.33449190865941625,40.134529147982065
WEB_WEBGNRD_sal_over10.0.csv,107028.0,3341.0,106045.0,2373.0,968.0,99.08154875359719,71.02663873091889,0.904436222296969,28.973361269081117
WEB_WEBGNRD_rel_over100.csv,107028.0,21.0,107008.0,1.0,20.0,99.98131330119222,4.761904761904762,0.018686698807788615,95.23809523809523
WEB_WEBGNRD_rel_over10.csv,107028.0,237.0,106852.0,62.0,175.0,99.83555705049146,26.160337552742618,0.16350861456815038,73.83966244725738
WEB_WEBGNRD_rel_over45.csv,107028.0,57.0,106975.0,4.0,53.0,99.95048024815935,7.017543859649122,0.04951975184063983,92.98245614035088
WEB_WEBGNRD_rel_over25.csv,107028.0,103.0,106944.0,19.0,84.0,99.9215158650073,18.446601941747574,0.07848413499271219,81.55339805825243
WEB_WEBGNRD_sal_over0.csv,107028.0,4014.0,105875.0,2876.0,1138.0,98.92271181373098,71.64922770303936,1.0632731621631724,28.350772296960635
WEB_WEBGNRD_rel_over60.csv,107028.0,38.0,106991.0,1.0,37.0,99.96542960720559,2.631578947368421,0.03457039279440894,97.36842105263158
WEB_WEBGNRD_rel_over65.csv,107028.0,37.0,106992.0,1.0,36.0,99.96636394214599,2.7027027027027026,0.03363605785401951,97.2972972972973
WEB_WEBGNRD_rel_over20.csv,107028.0,127.0,106927.0,26.0,101.0,99.90563217102067,20.47244094488189,0.0943678289793325,79.52755905511812
WEB_WEBGNRD_sal_over8.5.csv,107028.0,3712.0,105961.0,2660.0,1052.0,99.00306461860447,71.65948275862068,0.9829203572896812,28.34051724137931
WEB_WEBGNRD_rel_over15.csv,107028.0,167.0,106900.0,39.0,128.0,99.88040512763015,23.353293413173652,0.11959487236984714,76.64670658682635
WEB_WEBGNRD_sal_over6.0.csv,107028.0,3926.0,105894.0,2807.0,1119.0,98.94046417759839,71.49770759042282,1.045520798295773,28.50229240957718
