source,target,score.1,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
FUNDULUS,HETEROCLITUS,13.69,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GADUS,MORHUA,11.835,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,OLIDUS,13.26,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GAMBUSIA,AFFINIS,12.92,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GASTEROSTEUS,ACULEATUS,13.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIO,GOBIO,12.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIOSOMA,BOSC,12.95,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GYMNOCEPHALUS,CERNUUS,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HUCHO,HUCHO,13.91,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPOPHTHALMICHTHYS,MOLITRIX,13.53,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPOPHTHALMUS,OREMACULATUS,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTALURUS,FURCATUS,11.09,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTALURUS,PUNCTATUS,13.19,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,APPENDIX,9.94,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,FLUVIATILIS,12.6,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,PLANERI,12.49,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,TRIDENTATA,10.09,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LATES,CALCARIFER,12.9,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LATES,NILOTICUS,13.06,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEIOSTOMUS,XANTHURUS,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,CYANELLUS,11.42,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,GIBBOSUS,13.04,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,MACROCHIRUS,13.25,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEUCISCUS,CEPHALUS,13.36,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEUCISCUS,LEUCISCUS,12.97,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LOTA,LOTA,13.94,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LUTRA,LUTRA,13.98,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MACQUARIA,AUSTRALASICA,13.82,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MALLOTUS,VILLOSUS,13.88,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MELANOGRAMMUS,AEGLEFINUS,13.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MENIDIA,MENIDIA,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
