source,target,score.1,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
BAIRDIELLA,CHRYSOURA,13.99,3.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BALAENOPTERA,MUSCULUS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BALAENOPTERA,PHYSALUS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBATULA,BARBATULA,13.72,17.0,13.72,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBONYMUS,GONIONOTUS,13.41,2.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,BARBUS,13.43,28.0,13.43,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BELONE,BELONE,13.99,9.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BELONIFORMES,ADRIANICHTHYIDAE,13.99,1.0,13.99,WEB corpus, FAMILY, ORDER,VTO ontology,is_a,both
BIDYANUS,BIDYANUS,13.98,46.0,13.98,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BLICCA,BJOERKNA,13.88,24.0,13.88,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BOREOGADUS,SAIDA,13.99,9.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BRACHYMYSTAX,LENOK,13.67,2.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BRANTA,BERNICLA,13.99,3.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BREVOORTIA,TYRANNUS,13.99,6.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BRYCINUS,LATERALIS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BRYCON,MOOREI,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BUCEPHALA,CLANGULA,13.73,5.0,13.73,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BUGLOSSIDIUM,LUTEUM,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CALLICHTHYS,CALLICHTHYS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CAMPOSTOMA,ANOMALUM,13.99,3.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CANIS,LUPUS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CAPREOLUS,CAPREOLUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CAPROS,APER,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,AURATUS,13.41,52.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARCHARHINUS,LIMBATUS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARETTA,CARETTA,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CASTOR,FIBER,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CENTROPOMUS,UNDECIMALIS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CENTROPRISTIS,STRIATA,13.75,8.0,13.75,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CERATOPHRYS,CRANWELLI,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CERORHINCA,MONOCERATA,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHAETODON,MULTICINCTUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHARADRIUS,HIATICULA,13.0,1.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHARADRIUS,SEMIPALMATUS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHASMISTES,BREVIROSTRIS,13.77,6.0,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHASMODES,BOSQUIANUS,13.99,11.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHEIMARRICHTHYS,FOSTERI,13.41,3.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHEIROGALEUS,MEDIUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHELON,LABROSUS,13.83,4.0,13.83,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CHONDROSTOMA,NASUS,13.12,18.0,13.12,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CICONIA,NIGRA,13.77,3.0,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CILIATA,MUSTELA,13.83,4.0,13.83,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CINCLUS,CINCLUS,13.77,3.0,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CIONA,SAVIGNYI,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CIRRHINUS,CIRRHOSUS,13.0,1.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CIRRHINUS,MRIGALA,13.41,2.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CITHARICHTHYS,SORDIDUS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CITHARICHTHYS,STIGMAEUS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLANGULA,HYEMALIS,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLARIAS,GARIEPINUS,13.85,51.0,13.85,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLINOSTOMUS,ELONGATUS,13.56,10.0,13.56,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLUPEA,HARENGUS,13.8,83.0,13.8,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CNESTERODON,DECEMMACULATUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COBITIS,CALDERONI,13.26,9.0,13.26,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COBITIS,TAENIA,13.5,12.0,13.5,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COLOSSOMA,MACROPOMUM,13.99,3.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CONGER,MYRIASTER,13.48,7.0,13.48,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,LAVARETUS,13.02,218.0,13.02,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CORIS,JULIS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CORYPHAENOIDES,YAQUINAE,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTIDAE,COTTUS,13.0,1.0,13.0,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
COUESIUS,PLUMBEUS,13.95,30.0,13.95,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CRENICHTHYS,BAILEYI,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CREX,CREX,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CROTAPHYTUS,COLLARIS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CRYSTALLARIA,ASPRELLA,13.0,1.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CULAEA,INCONSTANS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYCLOPTERUS,LUMPUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYEMA,ATRUM,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYGNUS,OLOR,13.91,15.0,13.91,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYMATOGASTER,AGGREGATA,13.83,4.0,13.83,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYNOSCION,REGALIS,13.15,5.0,13.15,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINELLA,LUTRENSIS,13.15,5.0,13.15,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINELLA,SPILOPTERA,13.0,5.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINIFORMES,CYPRINIDAE,13.24,4.0,13.24,WEB corpus, FAMILY, ORDER,VTO ontology,is_a,both
CYPRINODON,RADIOSUS,13.67,2.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYSTOPHORA,CRISTATA,13.0,1.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DANIO,RERIO,13.81,18.0,13.81,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DASCYLLUS,ARUANUS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DASCYLLUS,RETICULATUS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DASYATIS,PASTINACA,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DASYCERCUS,CRISTICAUDA,13.67,4.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DELTISTES,LUXATUS,13.99,8.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DENTEX,DENTEX,13.77,6.0,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DERMOCHELYS,CORIACEA,13.99,4.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DIAPHUS,GARMANI,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DIPLODUS,PUNTAZZO,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DOROSOMA,CEPEDIANUM,13.64,14.0,13.64,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
