name,TAXRANK,is_a
 Chordata,1.0,
 unclassified Chordata,, Chordata
,,
,,
,,
 Craniata,8.0, Chordata
 Vertebrata,, Craniata
 Gnathostomata,15.0, Vertebrata
 Chondrichthyes,, Chondrichthiomorphi
 Holocephali,7.0, Chondrichthyes
 Chimaeriformes,3.0, Holocephali
 Rhinochimaeridae,4.0, Chimaeriformes
 Rhinochimaera,5.0, Rhinochimaeridae
 Rhinochimaera africana,6.0, Rhinochimaera
 Rhinochimaera pacifica,6.0, Rhinochimaera
 Neoharriotta,5.0, Rhinochimaeridae
 Neoharriotta pinnata,6.0, Neoharriotta
 Harriotta,5.0, Rhinochimaeridae
 Harriotta raleighana,6.0, Harriotta
 Chimaeridae,4.0, Chimaeriformes
 Hydrolagus,5.0, Chimaeridae
 Hydrolagus colliei,6.0, Hydrolagus
 Hydrolagus bemisi,6.0, Hydrolagus
 Hydrolagus barbouri,6.0, Hydrolagus
 Hydrolagus melanophasma,6.0, Hydrolagus
 Hydrolagus africanus,6.0, Hydrolagus
 Hydrolagus trolli,6.0, Hydrolagus
 Hydrolagus novaezealandiae,6.0, Hydrolagus
 Hydrolagus mitsukurii,6.0, Hydrolagus
 Hydrolagus lemures,6.0, Hydrolagus
 Hydrolagus ogilbyi,6.0, Hydrolagus
 Chimaera,5.0, Chimaeridae
 Chimaera lignaria,6.0, Chimaera
 Chimaera panthera,6.0, Chimaera
 Chimaera phantasma,6.0, Chimaera
 Chimaera monstrosa,6.0, Chimaera
 Chimaera fulva,6.0, Chimaera
 Callorhinchidae,4.0, Chimaeriformes
 Callorhinchus,5.0, Callorhinchidae
 Callorhinchus capensis,6.0, Callorhinchus
 Callorhinchus milii,6.0, Callorhinchus
 Callorhinchus callorynchus,6.0, Callorhinchus
 Elasmobranchii,7.0, Chondrichthyes
 Heterodontiformes,3.0, Elasmobranchii
 Heterodontidae,4.0, Heterodontiformes
 Heterodontus,5.0, Heterodontidae
 Heterodontus galeatus,6.0, Heterodontus
 Heterodontus mexicanus,6.0, Heterodontus
 Heterodontus japonicus,6.0, Heterodontus
 Heterodontus zebra,6.0, Heterodontus
 Heterodontus francisci,6.0, Heterodontus
 Heterodontus portusjacksoni,6.0, Heterodontus
 Lamniformes,3.0, Elasmobranchii
 Odontaspididae,4.0, Lamniformes
 Odontaspis,5.0, Odontaspididae
 Odontaspis noronhai,6.0, Odontaspis
 Odontaspis ferox,6.0, Odontaspis
 Carcharias,5.0, Odontaspididae
 Carcharias taurus,6.0, Carcharias
 Mitsukurinidae,4.0, Lamniformes
 Mitsukurina,5.0, Mitsukurinidae
 Mitsukurina owstoni,6.0, Mitsukurina
 Megachasmidae,4.0, Lamniformes
 Megachasma,5.0, Megachasmidae
 Megachasma pelagios,6.0, Megachasma
 Pseudocarchariidae,4.0, Lamniformes
 Pseudocarcharias,5.0, Pseudocarchariidae
 Pseudocarcharias kamoharai,6.0, Pseudocarcharias
 Alopiidae,4.0, Lamniformes
 Isurus,5.0, Lamnidae
 Isurus paucus,6.0, Isurus
 Isurus oxyrinchus,6.0, Isurus
 Carcharodon,5.0, Lamnidae
 Carcharodon carcharias,6.0, Carcharodon
 Lamna,5.0, Lamnidae
 Lamna ditropis,6.0, Lamna
 Lamna nasus,6.0, Lamna
 Cetorhinus,5.0, Cetorhinidae
 Cetorhinus maximus,6.0, Cetorhinus
 Alopias,5.0, Alopiidae
 Alopias superciliosus,6.0, Alopias
 Alopias pelagicus,6.0, Alopias
 Alopias vulpinus,6.0, Alopias
 Carcharhiniformes,3.0, Elasmobranchii
 Leptochariidae,4.0, Carcharhiniformes
 Leptocharias,5.0, Leptochariidae
 Leptocharias smithii,6.0, Leptocharias
 Hemigaleidae,4.0, Carcharhiniformes
 Chaenogaleus,5.0, Hemigaleidae
 Chaenogaleus macrostoma,6.0, Chaenogaleus
 Hemigaleus,5.0, Hemigaleidae
 Hemigaleus australiensis,6.0, Hemigaleus
 Hemigaleus microstoma,6.0, Hemigaleus
 Paragaleus,5.0, Hemigaleidae
 Paragaleus pectoralis,6.0, Paragaleus
 Paragaleus randalli,6.0, Paragaleus
 Hemipristis,5.0, Hemigaleidae
 Hemipristis elongata,6.0, Hemipristis
 Scyliorhinidae,4.0, Carcharhiniformes
 Scyliorhinus,5.0, Scyliorhinidae
 Scyliorhinus retifer,6.0, Scyliorhinus
 Scyliorhinus capensis,6.0, Scyliorhinus
 Scyliorhinus canicula,6.0, Scyliorhinus
 Scyliorhinus stellaris,6.0, Scyliorhinus
 Scyliorhinus torazame,6.0, Scyliorhinus
 Figaro,5.0, Scyliorhinidae
 Figaro boardmani,6.0, Figaro
 Poroderma,5.0, Scyliorhinidae
 Poroderma africanum,6.0, Poroderma
 Poroderma pantherinum,6.0, Poroderma
 Parmaturus,5.0, Scyliorhinidae
 Parmaturus xaniurus,6.0, Parmaturus
 Galeus,5.0, Scyliorhinidae
 Galeus murinus,6.0, Galeus
 Galeus eastmani,6.0, Galeus
 Galeus sauteri,6.0, Galeus
 Galeus polli,6.0, Galeus
 Galeus atlanticus,6.0, Galeus
 Galeus melastomus,6.0, Galeus
 Galeus arae,6.0, Galeus
 Cephaloscyllium,5.0, Scyliorhinidae
 Cephaloscyllium pictum,6.0, Cephaloscyllium
 Cephaloscyllium umbratile,6.0, Cephaloscyllium
 Cephaloscyllium ventriosum,6.0, Cephaloscyllium
 Cephaloscyllium silasi,6.0, Cephaloscyllium
 Cephaloscyllium laticeps,6.0, Cephaloscyllium
 Cephaloscyllium sufflans,6.0, Cephaloscyllium
 Cephaloscyllium speccum,6.0, Cephaloscyllium
 Cephaloscyllium albipinnum,6.0, Cephaloscyllium
 Cephaloscyllium variegatum,6.0, Cephaloscyllium
 Cephaloscyllium hiscosellum,6.0, Cephaloscyllium
 Cephaloscyllium fasciatum,6.0, Cephaloscyllium
 Schroederichthys,5.0, Scyliorhinidae
 Schroederichthys bivius,6.0, Schroederichthys
 Atelomycterus,5.0, Scyliorhinidae
 Atelomycterus baliensis,6.0, Atelomycterus
 Atelomycterus fasciatus,6.0, Atelomycterus
 Atelomycterus marmoratus,6.0, Atelomycterus
 Atelomycterus marnkalha,6.0, Atelomycterus
 Holohalaelurus,5.0, Scyliorhinidae
 Holohalaelurus punctatus,6.0, Holohalaelurus
 Holohalaelurus regani,6.0, Holohalaelurus
 Aulohalaelurus,5.0, Scyliorhinidae
 Aulohalaelurus labiosus,6.0, Aulohalaelurus
 Haploblepharus,5.0, Scyliorhinidae
 Haploblepharus kistnasamyi,6.0, Haploblepharus
 Haploblepharus edwardsii,6.0, Haploblepharus
 Halaelurus,5.0, Scyliorhinidae
 Halaelurus quagga,6.0, Halaelurus
 Halaelurus buergeri,6.0, Halaelurus
 Halaelurus sellus,6.0, Halaelurus
 Halaelurus lineatus,6.0, Halaelurus
 Halaelurus natalensis,6.0, Halaelurus
 Bythaelurus,5.0, Scyliorhinidae
 Bythaelurus dawsoni,6.0, Bythaelurus
 Bythaelurus canescens,6.0, Bythaelurus
 Apristurus,5.0, Scyliorhinidae
 Apristurus pinguis,6.0, Apristurus
 Apristurus platyrhynchus,6.0, Apristurus
 Apristurus australis,6.0, Apristurus
 Apristurus profundorum,6.0, Apristurus
 Apristurus manis,6.0, Apristurus
 Apristurus aphyodes,6.0, Apristurus
 Apristurus microps,6.0, Apristurus
 Apristurus laurussonii,6.0, Apristurus
 Apristurus albisoma,6.0, Apristurus
 Apristurus fedorovi,6.0, Apristurus
 Apristurus japonicus,6.0, Apristurus
 Apristurus kampae,6.0, Apristurus
 Apristurus longicephalus,6.0, Apristurus
 Apristurus melanoasper,6.0, Apristurus
 Apristurus macrorhynchus,6.0, Apristurus
 Apristurus sinensis,6.0, Apristurus
 Apristurus ampliceps,6.0, Apristurus
 Apristurus brunneus,6.0, Apristurus
 Apristurus exsanguis,6.0, Apristurus
 Asymbolus,5.0, Scyliorhinidae
 Asymbolus analis,6.0, Asymbolus
 Asymbolus parvus,6.0, Asymbolus
 Asymbolus rubiginosus,6.0, Asymbolus
 Cephalurus,5.0, Scyliorhinidae
 Carcharhinidae,4.0, Carcharhiniformes
 Carcharhinus,5.0, Carcharhinidae
 Carcharhinus perezii,6.0, Carcharhinus
 Carcharhinus isodon,6.0, Carcharhinus
 Carcharhinus altimus,6.0, Carcharhinus
 Carcharhinus acronotus,6.0, Carcharhinus
 Carcharhinus sorrah,6.0, Carcharhinus
 Carcharhinus albimarginatus,6.0, Carcharhinus
 Carcharhinus sealei,6.0, Carcharhinus
 Carcharhinus tilstoni,6.0, Carcharhinus
 Carcharhinus amboinensis,6.0, Carcharhinus
 Carcharhinus leucas,6.0, Carcharhinus
 Carcharhinus borneensis,6.0, Carcharhinus
 Carcharhinus plumbeus,6.0, Carcharhinus
 Carcharhinus porosus,6.0, Carcharhinus
 Carcharhinus fitzroyensis,6.0, Carcharhinus
 Carcharhinus macloti,6.0, Carcharhinus
 Carcharhinus falciformis,6.0, Carcharhinus
 Carcharhinus amblyrhynchoides,6.0, Carcharhinus
 Carcharhinus cautus,6.0, Carcharhinus
 Carcharhinus dussumieri,6.0, Carcharhinus
 Carcharhinus limbatus,6.0, Carcharhinus
 Carcharhinus longimanus,6.0, Carcharhinus
 Carcharhinus obscurus,6.0, Carcharhinus
 Carcharhinus amblyrhynchos,6.0, Carcharhinus
 Carcharhinus brevipinna,6.0, Carcharhinus
 Carcharhinus leiodon,6.0, Carcharhinus
 Carcharhinus melanopterus,6.0, Carcharhinus
 Carcharhinus signatus,6.0, Carcharhinus
 Carcharhinus brachyurus,6.0, Carcharhinus
 Carcharhinus galapagensis,6.0, Carcharhinus
 Rhizoprionodon,5.0, Carcharhinidae
 Rhizoprionodon oligolinx,6.0, Rhizoprionodon
 Rhizoprionodon longurio,6.0, Rhizoprionodon
 Rhizoprionodon taylori,6.0, Rhizoprionodon
 Rhizoprionodon terraenovae,6.0, Rhizoprionodon
 Rhizoprionodon lalandii,6.0, Rhizoprionodon
 Rhizoprionodon acutus,6.0, Rhizoprionodon
 Rhizoprionodon porosus,6.0, Rhizoprionodon
 Nasolamia,5.0, Carcharhinidae
 Nasolamia velox,6.0, Nasolamia
 Prionace,5.0, Carcharhinidae
 Prionace glauca,6.0, Prionace
 Triaenodon,5.0, Pomacentridae
 Triaenodon obesus,6.0, Triaenodon
 Glyphis,5.0, Carcharhinidae
 Glyphis glyphis,6.0, Glyphis
 Glyphis gangeticus,6.0, Glyphis
 Glyphis garricki,6.0, Glyphis
 Negaprion,5.0, Carcharhinidae
 Negaprion brevirostris,6.0, Negaprion
 Negaprion acutidens,6.0, Negaprion
 Loxodon,5.0, Carcharhinidae
 Loxodon macrorhinus,6.0, Loxodon
 Sphyrna,5.0, Sphyrnidae
 Sphyrna tudes,6.0, Sphyrna
 Sphyrna tiburo,6.0, Sphyrna
 Sphyrna zygaena,6.0, Sphyrna
 Sphyrna corona,6.0, Sphyrna
 Sphyrna mokarran,6.0, Sphyrna
 Sphyrna media,6.0, Sphyrna
 Sphyrna lewini,6.0, Sphyrna
 Lamiopsis,5.0, Carcharhinidae
 Lamiopsis temminckii,6.0, Lamiopsis
 Scoliodon,5.0, Carcharhinidae
 Scoliodon laticaudus,6.0, Scoliodon
 Galeocerdo,5.0, Carcharhinidae
 Galeocerdo cuvier,6.0, Galeocerdo
 Isogomphodon,5.0, Carcharhinidae
 Isogomphodon oxyrhynchus,6.0, Isogomphodon
 Proscylliidae,4.0, Carcharhiniformes
 Eridacnis,5.0, Proscylliidae
 Proscyllium,5.0, Proscylliidae
 Proscyllium habereri,6.0, Proscyllium
 Gollum,5.0, Pseudotriakidae
 Gollum attenuatus,6.0, Gollum
 Triakidae,4.0, Carcharhiniformes
 Galeorhinus,5.0, Triakidae
 Galeorhinus galeus,6.0, Galeorhinus
 Hemitriakis,5.0, Triakidae
 Hemitriakis falcata,6.0, Hemitriakis
 Hemitriakis leucoperiptera,6.0, Hemitriakis
 Hemitriakis complicofasciata,6.0, Hemitriakis
 Hemitriakis japanica,6.0, Hemitriakis
 Iago,5.0, Triakidae
 Iago garricki,6.0, Iago
 Iago omanensis,6.0, Iago
 Triakis,5.0, Triakidae
 Triakis semifasciata,6.0, Triakis
 Triakis scyllium,6.0, Triakis
 Triakis megalopterus,6.0, Triakis
 Mustelus,5.0, Triakidae
 Mustelus ravidus,6.0, Mustelus
 Mustelus widodoi,6.0, Mustelus
 Mustelus sinusmexicanus,6.0, Mustelus
 Mustelus schmitti,6.0, Mustelus
 Mustelus stevensi,6.0, Mustelus
 Mustelus mosis,6.0, Mustelus
 Mustelus henlei,6.0, Mustelus
 Mustelus canis,6.0, Mustelus
 Mustelus antarcticus,6.0, Mustelus
 Mustelus californicus,6.0, Mustelus
 Mustelus lenticulatus,6.0, Mustelus
 Mustelus griseus,6.0, Mustelus
 Mustelus albipinnis,6.0, Mustelus
 Mustelus manazo,6.0, Mustelus
 Mustelus norrisi,6.0, Mustelus
 Mustelus mustelus,6.0, Mustelus
 Mustelus asterias,6.0, Mustelus
 Mustelus punctulatus,6.0, Mustelus
 Mustelus palumbes,6.0, Mustelus
 Mustelus lunulatus,6.0, Mustelus
 Hypogaleus,5.0, Triakidae
 Hypogaleus hyugaensis,6.0, Hypogaleus
 Furgaleus,5.0, Triakidae
 Furgaleus macki,6.0, Furgaleus
 Scylliogaleus,5.0, Triakidae
 Scylliogaleus quecketti,6.0, Scylliogaleus
 Sphyrnidae,4.0, Carcharhiniformes
 Eusphyra,5.0, Sphyrnidae
 Eusphyra blochii,6.0, Eusphyra
 Pseudotriakidae,4.0, Carcharhiniformes
 Pseudotriakis,5.0, Pseudotriakidae
 Pseudotriakis microdon,6.0, Pseudotriakis
 Orectolobiformes,3.0, Elasmobranchii
 Orectolobidae,4.0, Orectolobiformes
 Eucrossorhinus,5.0, Orectolobidae
 Eucrossorhinus dasypogon,6.0, Eucrossorhinus
 Orectolobus,5.0, Orectolobidae
 Orectolobus maculatus,6.0, Orectolobus
 Orectolobus floridus,6.0, Orectolobus
 Orectolobus japonicus,6.0, Orectolobus
 Orectolobus hutchinsi,6.0, Orectolobus
 Orectolobus ornatus,6.0, Orectolobus
 Orectolobus parvimaculatus,6.0, Orectolobus
 Orectolobus halei,6.0, Orectolobus
 Orectolobus wardi,6.0, Orectolobus
 Sutorectus,5.0, Orectolobidae
 Sutorectus tentaculatus,6.0, Sutorectus
 Ginglymostomatidae,4.0, Orectolobiformes
 Pseudoginglymostoma,5.0, Ginglymostomatidae
 Pseudoginglymostoma brevicaudatum,6.0, Pseudoginglymostoma
 Ginglymostoma,5.0, Ginglymostomatidae
 Ginglymostoma cirratum,6.0, Ginglymostoma
 Nebrius,5.0, Ginglymostomatidae
 Nebrius ferrugineus,6.0, Nebrius
 Brachaeluridae,4.0, Orectolobiformes
 Brachaelurus,5.0, Brachaeluridae
 Brachaelurus waddi,6.0, Brachaelurus
 Brachaelurus colcloughi,6.0, Brachaelurus
 Stegostomatidae,4.0, Orectolobiformes
 Stegostoma,5.0, Stegostomatidae
 Stegostoma fasciatum,6.0, Stegostoma
 Hemiscylliidae,4.0, Orectolobiformes
 Chiloscyllium,5.0, Hemiscylliidae
 Chiloscyllium griseum,6.0, Chiloscyllium
 Chiloscyllium indicum,6.0, Chiloscyllium
 Chiloscyllium hasseltii,6.0, Chiloscyllium
 Chiloscyllium plagiosum,6.0, Chiloscyllium
 Chiloscyllium punctatum,6.0, Chiloscyllium
 Hemiscyllium,5.0, Hemiscylliidae
 Hemiscyllium ocellatum,6.0, Hemiscyllium
 Rhincodontidae,4.0, Orectolobiformes
 Rhincodon typus,6.0, Rhincodon
 Parascylliidae,4.0, Orectolobiformes
 Parascyllium,5.0, Parascylliidae
 Parascyllium collare,6.0, Parascyllium
 Squaliformes,3.0, Elasmobranchii
 Centroscymnus,5.0, Dalatiidae
 Centroscymnus coelolepis,6.0, Centroscymnus
 Scymnodon,5.0, Dalatiidae
 Scymnodon ringens,6.0, Scymnodon
 Zameus,5.0, Dalatiidae
 Zameus squamulosus,6.0, Zameus
 Somniosus,5.0, Dalatiidae
 Somniosus antarcticus,6.0, Somniosus
 Somniosus pacificus,6.0, Somniosus
 Somniosus microcephalus,6.0, Somniosus
 Somniosus rostratus,6.0, Somniosus
 Squalidae,4.0, Squaliformes
 Cirrhigaleus,5.0, Squalidae
 Cirrhigaleus barbifer,6.0, Cirrhigaleus
 Cirrhigaleus australis,6.0, Cirrhigaleus
 Cirrhigaleus asper,6.0, Cirrhigaleus
 Squalus,5.0, Squalidae
 Squalus japonicus,6.0, Squalus
 Squalus notocaudatus,6.0, Squalus
 Squalus acanthias,6.0, Squalus
 Squalus edmundsi,6.0, Squalus
 Squalus crassispinus,6.0, Squalus
 Squalus grahami,6.0, Squalus
 Squalus megalops,6.0, Squalus
 Squalus chloroculus,6.0, Squalus
 Squalus blainville,6.0, Squalus
 Squalus hemipinnis,6.0, Squalus
 Squalus cubensis,6.0, Squalus
 Squalus brevirostris,6.0, Squalus
 Squalus montalbani,6.0, Squalus
 Squalus mitsukurii,6.0, Squalus
 Squalus nasutus,6.0, Squalus
 Squalus albifrons,6.0, Squalus
 Oxynotus,5.0, Dalatiidae
 Oxynotus paradoxus,6.0, Oxynotus
 Oxynotus bruniensis,6.0, Oxynotus
 Oxynotus centrina,6.0, Oxynotus
 Dalatiidae,4.0, Squaliformes
 Euprotomicrus,5.0, Dalatiidae
 Euprotomicrus bispinatus,6.0, Euprotomicrus
 Isistius,5.0, Dalatiidae
 Isistius brasiliensis,6.0, Isistius
 Squaliolus,5.0, Dalatiidae
 Squaliolus laticaudus,6.0, Squaliolus
 Squaliolus aliae,6.0, Squaliolus
 Dalatias,5.0, Dalatiidae
 Dalatias licha,6.0, Dalatias
 Centrophoridae,4.0, Squaliformes
 Deania,5.0, Centrophoridae
 Deania profundorum,6.0, Deania
 Deania hystricosa,6.0, Deania
 Deania calcea,6.0, Deania
 Centrophorus,5.0, Centrophoridae
 Centrophorus atromarginatus,6.0, Centrophorus
 Centrophorus isodon,6.0, Centrophorus
 Centrophorus uyato,6.0, Centrophorus
 Centrophorus zeehaani,6.0, Centrophorus
 Centrophorus moluccensis,6.0, Centrophorus
 Centrophorus squamosus,6.0, Centrophorus
 Centrophorus niaukang,6.0, Centrophorus
 Centrophorus acus,6.0, Centrophorus
 Centrophorus harrissoni,6.0, Centrophorus
 Centrophorus granulosus,6.0, Centrophorus
 Centrophorus lusitanicus,6.0, Centrophorus
 Centroscyllium,5.0, Dalatiidae
 Centroscyllium fabricii,6.0, Centroscyllium
 Centroscyllium ritteri,6.0, Centroscyllium
 Centroscyllium granulatum,6.0, Centroscyllium
 Centroscyllium nigrum,6.0, Centroscyllium
 Etmopterus,5.0, Dalatiidae
 Etmopterus princeps,6.0, Etmopterus
 Etmopterus granulosus,6.0, Etmopterus
 Etmopterus unicolor,6.0, Etmopterus
 Etmopterus baxteri,6.0, Etmopterus
 Etmopterus spinax,6.0, Etmopterus
 Etmopterus splendidus,6.0, Etmopterus
 Etmopterus schultzi,6.0, Etmopterus
 Etmopterus pseudosqualiolus,6.0, Etmopterus
 Etmopterus virens,6.0, Etmopterus
 Etmopterus sentosus,6.0, Etmopterus
 Etmopterus dislineatus,6.0, Etmopterus
 Etmopterus dianthus,6.0, Etmopterus
 Etmopterus polli,6.0, Etmopterus
 Etmopterus fusus,6.0, Etmopterus
 Etmopterus molleri,6.0, Etmopterus
 Etmopterus bigelowi,6.0, Etmopterus
 Etmopterus brachyurus,6.0, Etmopterus
 Etmopterus gracilispinis,6.0, Etmopterus
 Etmopterus lucifer,6.0, Etmopterus
 Etmopterus pusillus,6.0, Etmopterus
 Trigonognathus,5.0, Dalatiidae
 Trigonognathus kabeyai,6.0, Trigonognathus
 Aculeola,5.0, Dalatiidae
 Aculeola nigra,6.0, Aculeola
 Echinorhinidae,4.0, Squaliformes
 Echinorhinus,5.0, Echinorhinidae
 Echinorhinus brucus,6.0, Echinorhinus
 Echinorhinus cookei,6.0, Echinorhinus
 Squatiniformes,3.0, Elasmobranchii
 Squatinidae,4.0, Squatiniformes
 Squatina,5.0, Squatinidae
 Squatina californica,6.0, Squatina
 Squatina formosa,6.0, Squatina
 Squatina tergocellata,6.0, Squatina
 Squatina guggenheim,6.0, Squatina
 Squatina japonica,6.0, Squatina
 Squatina legnota,6.0, Squatina
 Squatina occulta,6.0, Squatina
 Squatina squatina,6.0, Squatina
 Squatina aculeata,6.0, Squatina
 Squatina africana,6.0, Squatina
 Squatina albipunctata,6.0, Squatina
 Squatina tergocellatoides,6.0, Squatina
 Squatina nebulosa,6.0, Squatina
 Squatina pseudocellata,6.0, Squatina
 Squatina oculata,6.0, Squatina
 Squatina dumeril,6.0, Squatina
 Squatina australis,6.0, Squatina
 Hexanchiformes,3.0, Elasmobranchii
 Chlamydoselachidae,4.0, Hexanchiformes
 Chlamydoselachus,5.0, Chlamydoselachidae
 Chlamydoselachus anguineus,6.0, Chlamydoselachus
 Hexanchidae,4.0, Hexanchiformes
 Notorynchus,5.0, Hexanchidae
 Notorynchus cepedianus,6.0, Notorynchus
 Hexanchus,5.0, Hexanchidae
 Hexanchus nakamurai,6.0, Hexanchus
 Hexanchus griseus,6.0, Hexanchus
 Heptranchias,5.0, Hexanchidae
 Heptranchias perlo,6.0, Heptranchias
 Pristiophoriformes,3.0, Elasmobranchii
 Pristiophoridae,4.0, Pristiophoriformes
 Pliotrema,5.0, Pristiophoridae
 Pliotrema warreni,6.0, Pliotrema
 Pristiophorus,5.0, Pristiophoridae
 Pristiophorus japonicus,6.0, Pristiophorus
 Pristiophorus nudipinnis,6.0, Pristiophorus
 Pristiophorus cirratus,6.0, Pristiophorus
 Platyrhina,5.0, Rhinobatidae
 Platyrhina sinensis,6.0, Platyrhina
 Platyrhinoidis,5.0, Rhinobatidae
 Platyrhinoidis triseriata,6.0, Platyrhinoidis
 Rajiformes,3.0, Elasmobranchii
 Rajidae,4.0, Rajiformes
 Dipturus,5.0, Rajidae
 Dipturus pullopunctatus,6.0, Dipturus
 Dipturus macrocauda,6.0, Dipturus
 Dipturus argentinensis,6.0, Dipturus
 Dipturus kwangtungensis,6.0, Dipturus
 Dipturus healdi,6.0, Dipturus
 Dipturus leptocauda,6.0, Dipturus
 Dipturus oxyrinchus,6.0, Dipturus
 Dipturus trachyderma,6.0, Dipturus
 Dipturus linteus,6.0, Dipturus
 Dipturus laevis,6.0, Dipturus
 Dipturus campbelli,6.0, Dipturus
 Dipturus springeri,6.0, Dipturus
 Dipturus innominatus,6.0, Dipturus
 Dipturus flavirostris,6.0, Dipturus
 Dipturus gudgeri,6.0, Dipturus
 Dipturus tengu,6.0, Dipturus
 Dipturus australis,6.0, Dipturus
 Dipturus confusus,6.0, Dipturus
 Dipturus nidarosiensis,6.0, Dipturus
 Dipturus cerva,6.0, Dipturus
 Dipturus canutus,6.0, Dipturus
 Dipturus batis,6.0, Dipturus
 Dipturus whitleyi,6.0, Dipturus
 Cruriraja,5.0, Rajidae
 Cruriraja triangularis,6.0, Cruriraja
 Cruriraja parcomaculata,6.0, Cruriraja
 Neoraja,5.0, Rajidae
 Neoraja iberica,6.0, Neoraja
 Neoraja caerulea,6.0, Neoraja
 Malacoraja,5.0, Rajidae
 Malacoraja spinacidermis,6.0, Malacoraja
 Malacoraja senta,6.0, Malacoraja
 Malacoraja kreffti,6.0, Malacoraja
 Leucoraja,5.0, Rajidae
 Leucoraja ocellata,6.0, Leucoraja
 Leucoraja garmani,6.0, Leucoraja
 Leucoraja circularis,6.0, Leucoraja
 Leucoraja wallacei,6.0, Leucoraja
 Leucoraja fullonica,6.0, Leucoraja
 Leucoraja naevus,6.0, Leucoraja
 Leucoraja melitensis,6.0, Leucoraja
 Leucoraja erinacea,6.0, Leucoraja
 Rostroraja,5.0, Rajidae
 Rostroraja alba,6.0, Rostroraja
 Rajella,5.0, Rajidae
 Rajella caudaspinosa,6.0, Rajella
 Rajella bathyphila,6.0, Rajella
 Rajella bigelowi,6.0, Rajella
 Rajella leopardus,6.0, Rajella
 Rajella barnardi,6.0, Rajella
 Rajella dissimilis,6.0, Rajella
 Rajella kukujevi,6.0, Rajella
 Rajella fyllae,6.0, Rajella
 Okamejei,5.0, Rajidae
 Okamejei boesemani,6.0, Okamejei
 Okamejei schmidti,6.0, Okamejei
 Okamejei hollandi,6.0, Okamejei
 Okamejei acutispina,6.0, Okamejei
 Okamejei meerdervoortii,6.0, Okamejei
 Okamejei kenojei,6.0, Okamejei
 Brochiraja,5.0, Rajidae
 Brochiraja asperula,6.0, Brochiraja
 Brochiraja spinifera,6.0, Brochiraja
 Brochiraja leviveneta,6.0, Brochiraja
 Brochiraja microspinifera,6.0, Brochiraja
 Brochiraja albilabiata,6.0, Brochiraja
 Zearaja,5.0, Rajidae
 Zearaja nasuta,6.0, Zearaja
 Zearaja maugeana,6.0, Zearaja
 Zearaja chilensis,6.0, Zearaja
 Amblyraja,5.0, Rajidae
 Amblyraja radiata,6.0, Amblyraja
 Amblyraja hyperborea,6.0, Amblyraja
 Amblyraja doellojuradoi,6.0, Amblyraja
 Amblyraja georgiana,6.0, Amblyraja
 Amblyraja taaf,6.0, Amblyraja
 Amblyraja badia,6.0, Amblyraja
 Amblyraja jenseni,6.0, Amblyraja
 Raja,5.0, Rajidae
 Raja eglanteria,6.0, Raja
 Raja binoculata,6.0, Raja
 Raja inornata,6.0, Raja
 Raja stellulata,6.0, Raja
 Raja rhina,6.0, Raja
 Raja undulata,6.0, Raja
 Raja asterias,6.0, Raja
 Raja miraletus,6.0, Raja
 Raja maderensis,6.0, Raja
 Raja montagui,6.0, Raja
 Raja pulchra,6.0, Raja
 Raja velezi,6.0, Raja
 Raja brachyura,6.0, Raja
 Raja microocellata,6.0, Raja
 Raja radula,6.0, Raja
 Raja polystigma,6.0, Raja
 Raja straeleni,6.0, Raja
 Raja clavata,6.0, Raja
 Anacanthobatidae,4.0, Rajiformes
 Sinobatis,5.0, Anacanthobatidae
 Sinobatis bulbicauda,6.0, Sinobatis
 Anacanthobatis,5.0, Anacanthobatidae
 Anacanthobatis borneensis,6.0, Anacanthobatis
 Arhynchobatidae,4.0, Rajiformes
 Psammobatis,5.0, Rajidae
 Psammobatis lentiginosa,6.0, Psammobatis
 Psammobatis extenta,6.0, Psammobatis
 Psammobatis rudis,6.0, Psammobatis
 Notoraja,5.0, Rajidae
 Notoraja azurea,6.0, Notoraja
 Pavoraja,5.0, Rajidae
 Pavoraja alleni,6.0, Pavoraja
 Pavoraja nitida,6.0, Pavoraja
 Sympterygia,5.0, Rajidae
 Sympterygia bonapartii,6.0, Sympterygia
 Sympterygia acuta,6.0, Sympterygia
 Rhinoraja,5.0, Rajidae
 Rhinoraja longicauda,6.0, Rhinoraja
 Rioraja,5.0, Rajidae
 Rioraja agassizii,6.0, Rioraja
 Insentiraja,5.0, Rajidae
 Insentiraja subtilispinosa,6.0, Insentiraja
 Irolita,5.0, Rajidae
 Irolita waitii,6.0, Irolita
 Bathyraja,5.0, Rajidae
 Bathyraja richardsoni,6.0, Bathyraja
 Bathyraja shuntovi,6.0, Bathyraja
 Bathyraja violacea,6.0, Bathyraja
 Bathyraja meridionalis,6.0, Bathyraja
 Bathyraja matsubarai,6.0, Bathyraja
 Bathyraja murrayi,6.0, Bathyraja
 Bathyraja irrasa,6.0, Bathyraja
 Bathyraja maccaini,6.0, Bathyraja
 Bathyraja abyssicola,6.0, Bathyraja
 Bathyraja spinicauda,6.0, Bathyraja
 Bathyraja aleutica,6.0, Bathyraja
 Bathyraja interrupta,6.0, Bathyraja
 Bathyraja lindbergi,6.0, Bathyraja
 Bathyraja maculata,6.0, Bathyraja
 Bathyraja mariposa,6.0, Bathyraja
 Bathyraja brachyurops,6.0, Bathyraja
