parent,child,hits,score,score.1,Hits,Score
ARDEA,LUCIUS,1.0,11.09,11.09,1.0,11.09
ARDEA,TROUT,1.0,8.08,8.08,1.0,8.08
ARUNDINACEA,LINNAEUS,1.0,7.9,7.9,1.0,7.9
ASOTUS,LINNAEUS,1.0,7.9,7.9,1.0,7.9
ASPECTOS,REPRODUCTIVOS,1.0,13.99,13.99,1.0,13.99
ASPIUS,ASPIUS,7.0,13.9,13.9,7.0,13.9
ASTROBLEPUS,UBIDIAI,1.0,13.99,13.99,1.0,13.99
ASTYANAX,BIMACULATUS,1.0,10.82,10.82,1.0,10.82
ASTYANAX,CICHLA,1.0,10.82,10.82,1.0,10.82
ASTYANAX,FASCIATUS,1.0,9.95,9.95,1.0,9.95
ASTYANAX,INTERMEDIUS,11.0,13.45,13.45,11.0,13.45
ASTYANAX,MEXICANUS,1.0,10.82,10.82,1.0,10.82
ASTYANAX,SPECIE,2.0,5.61,5.61,2.0,5.61
ATHERINA,BOYERI,1.0,13.99,13.99,1.0,13.99
ATHERINIDAE,ATHERINOPSIDAE,1.0,13.41,13.41,1.0,13.41
ATHERINIDAE,SPECIE,1.0,4.63,4.63,1.0,4.63
ATRACTOSTEUS,SPATULA,6.0,13.99,13.99,6.0,13.99
ATRATULUS,CATARACTAE,1.0,10.91,10.91,1.0,10.91
AURATA,LINNAEUS,1.0,7.9,7.9,1.0,7.9
AURATUS,SPARIDAE,1.0,12.68,12.68,1.0,12.68
AUSTRALIS,LARVA,1.0,6.38,6.38,1.0,6.38
AWAOS,MELANOCEPHALUS,1.0,13.41,13.41,1.0,13.41
BAETIDAE,HEPTAGENIIDAE,1.0,13.41,13.41,1.0,13.41
BAETIDAE,SIPHLONURIDAE,1.0,13.41,13.41,1.0,13.41
BAILEYI,NOTROPIS,1.0,13.0,13.0,1.0,13.0
BALLERUS,BALLERUS,1.0,13.41,13.41,1.0,13.41
BARBATULA,BARBATULA,16.0,13.95,13.95,16.0,13.95
BARBATULA,LINNAEUS,2.0,7.82,7.82,2.0,7.82
BARBUS,BARBUS,59.0,13.61,13.61,59.0,13.61
BARBUS,BOCAGEI,4.0,10.41,10.41,4.0,10.41
BARBUS,BRAZZAI,1.0,8.46,8.46,1.0,8.46
BARBUS,CAMPTACANTHUS,1.0,8.46,8.46,1.0,8.46
BARBUS,COMIZA,1.0,8.46,8.46,1.0,8.46
BARBUS,HAASI,6.0,10.95,10.95,6.0,10.95
BARBUS,MICROCEPHALUS,3.0,10.01,10.01,3.0,10.01
BARBUS,PETENYI,5.0,10.72,10.72,5.0,10.72
BARBUS,SCLATERI,12.0,11.87,11.87,12.0,11.87
BARBUS,SPECIES,1.0,10.6,10.6,1.0,10.6
BARHUS,BARBUS,1.0,9.02,9.02,1.0,9.02
BATRACHIUM,MYRIOPHYLLUM,1.0,13.99,13.99,1.0,13.99
BETULA,NANA,1.0,13.0,13.0,1.0,13.0
BFICCA,BJOERKNA,1.0,10.19,10.19,1.0,10.19
BIPUNCTATUS,BARBUS,1.0,9.02,9.02,1.0,9.02
BIVALVIA,CLADOCERA,1.0,11.67,11.67,1.0,11.67
BIVALVIA,MYTILIDAE,2.0,13.41,13.41,2.0,13.41
BIVALVIA,VENEROIDA,1.0,12.68,12.68,1.0,12.68
BJOERKNA,ERYTHROPHTHALMUS,1.0,9.75,9.75,1.0,9.75
