parent,child,hits,score,score.1,Hits,Score
HYALELLA_AZTECA_PREFERIDA,LEPOMIS,1.0,13.99,13.99,1.0,13.99
HYBOGNATHUS,ICTIOBUS,1.0,13.99,13.99,1.0,13.99
HYBOGNATHUS_ARGRYTUS,NOTROPIS_TOPEKA,1.0,13.99,13.99,1.0,13.99
HYBOGNATHUS_NUCHALIS,NOTROPIS_TEXANUS,1.0,13.99,13.99,1.0,13.99
HYDRAENIDAE,EMPIDIDAE,1.0,13.99,13.99,1.0,13.99
HYDRILLA_VERTICILLATA,POTAMOGETON_ILLINOENSIS,1.0,13.99,13.99,1.0,13.99
HYDROPSYCHIDAE,LEPTOPHLEBIDAE,1.0,13.99,13.99,1.0,13.99
HYPOSTOMUS_URUGUAYENSIS,PROCHILODUS_LINEATUS,1.0,13.99,13.99,1.0,13.99
INVERTEBRATE,PLECOPTERA,1.0,13.99,13.99,1.0,13.99
IOTICHTHYS_PHLEGETHONTIS,RHADINOCENTRIS_ORNATUS,1.0,13.99,13.99,1.0,13.99
KERATELLA,POLYARTHRA,1.0,13.99,13.99,1.0,13.99
LABEO_BATESII,TILAPIA_THOLLONI,1.0,13.99,13.99,1.0,13.99
LABRATREMA,MINIMUS,1.0,13.99,13.99,1.0,13.99
LATINA,LATIUM,1.0,13.99,13.99,1.0,13.99
LEPISOSTEUS_OCULATUS,LEPISOSTEUS_OSSEUS,1.0,13.99,13.99,1.0,13.99
LEPISOSTEUS_OSSEUS,CATCH,1.0,13.99,13.99,1.0,13.99
LEPTOPHLEBIDAE,LIMNEPHILIDAE,1.0,13.99,13.99,1.0,13.99
LIE-IN-WAIT,CRYSTALLARIA_ASPRELLA,1.0,13.99,13.99,1.0,13.99
LIGIA_ITALICA,FABRICIUS,1.0,13.99,13.99,1.0,13.99
LIMNOCALANUS_MACRURUS,EUDIAPTOMUS_SPP,1.0,13.99,13.99,1.0,13.99
LIOBAGRUS_STYANI,SILURUS_ASOTUS,1.0,13.99,13.99,1.0,13.99
LUDWIGIA,JUSTICIA,1.0,13.99,13.99,1.0,13.99
LYTHRURUS_ATRACPICULUS,MICROPTERUS_CATERACTAE,1.0,13.99,13.99,1.0,13.99
MACRHYBOPSIS_GELIDA,PLATYGOBIO_GRACILIS,1.0,13.99,13.99,1.0,13.99
MESOCYCLOPS,DIAPTOMUS,1.0,13.99,13.99,1.0,13.99
METYNNIS_MACULATUS,PIARACTUS_MESOPOTAMICUS,1.0,13.99,13.99,1.0,13.99
MICROCTENOPOMA_NANUM,CLARIAS_CAMERUNENSIS,1.0,13.99,13.99,1.0,13.99
MICROPTERUS_SALMOIDES,POMOXIS_SPP,2.0,13.67,13.67,2.0,13.67
MICROTUS_OECONOMUS,CLETHRIONOMYS_RUTILUS,1.0,13.99,13.99,1.0,13.99
MIRANDA,MIRZA,1.0,13.99,13.99,1.0,13.99
MIRA_CHUB,SQUALIUS_TORGALENSIS,1.0,13.99,13.99,1.0,13.99
MISCANTHIDIUM_VIOLACEUM,VOSSIA_CUSPIDATA,1.0,13.99,13.99,1.0,13.99
MISGURNUS_ANGUILLICAUDATUS,HOMALOPTERIDAE,1.0,13.99,13.99,1.0,13.99
MOENKHAUSIA_DICHROURA,ROEBOIDES_AFFINIS,1.0,13.99,13.99,1.0,13.99
MONOPTERUS_ALBA,GNATHOPOGON_IMBERBIS,1.0,13.99,13.99,1.0,13.99
MUGILIDAE,TERAPONTIDAE,1.0,13.99,13.99,1.0,13.99
MUIKUN_TALVINUOTTAUS_JA,KUUSAMOSSA,1.0,13.99,13.99,1.0,13.99
MYRIOPHYLLUM,CERATOPHYLLUM,1.0,13.99,13.99,1.0,13.99
MYSIDACEA,HEMIMYSIS_ANOMALA,1.0,13.99,13.99,1.0,13.99
MYTILUS_TROSSULUS,MACOMA_BALTHICA,1.0,13.99,13.99,1.0,13.99
NEOGOBIUS_GYMNOTRACHELUS,NEOGOBIUS_KESSLERI,1.0,13.99,13.99,1.0,13.99
NEOLEBIAS_TREWAVASAE,MICROCTENOPOMA_NANUM,1.0,13.99,13.99,1.0,13.99
NIANGUA,ETHEOSTOMA_NIANGUAE,1.0,13.99,13.99,1.0,13.99
NICOLA,ELVIRA,2.0,13.99,13.99,2.0,13.99
NOCOMIS_LEPTOCEPHALUS,ETHEOSTOMA_SWAINI,1.0,13.99,13.99,1.0,13.99
NOTEMIGONUS,HYBOGNATHUS,1.0,13.99,13.99,1.0,13.99
NOTROPIS_ATHERINOIDES,CULAEA_INCON,1.0,13.99,13.99,1.0,13.99
NOTROPIS_BOOPS,CAMPOSTOMA_ANOMALUM,2.0,13.99,13.99,2.0,13.99
ONCHORHYNCUS_TSCHAWYCHA,SALMO_TRUTTA_INTRODUCIDOS,1.0,13.99,13.99,1.0,13.99
ONDONTOCERIDAE,PHILOPOTAMIDAE,1.0,13.99,13.99,1.0,13.99
OPSOPOEODUS,NOTEMIGONUS,1.0,13.99,13.99,1.0,13.99
ORYZIAS_SINENSIS,ICTIOBUS_NIGER,1.0,13.99,13.99,1.0,13.99
OSMERIDAE,OSMERUS_MORDAX,1.0,13.99,13.99,1.0,13.99
OSTARIOPHYSI,CHARACIFORMES,1.0,13.99,13.99,1.0,13.99
PANTOSTEUS,CASTOSTOMUS,1.0,13.99,13.99,1.0,13.99
PERCINA_ANTESELLA,PERCINA_LENTICULA,1.0,13.99,13.99,1.0,13.99
PESQUISA_DA,AMAZONIA,3.0,13.99,13.99,3.0,13.99
PHILOPOTAMIDAE,SERICOSTOMATIDAE,1.0,13.99,13.99,1.0,13.99
PHOXINUS_OXYCEPHALUS,HEMIBARBUS_LABEO,1.0,13.99,13.99,1.0,13.99
PHYSA,GYRAULUS,2.0,13.99,13.99,2.0,13.99
PIMELODELLA_GRACILIS,PIMELODUS_BLOCHII,1.0,13.99,13.99,1.0,13.99
PIMEPHALES,MINYTREMA,1.0,13.99,13.99,1.0,13.99
PIMEPHALES_NOTATUS,CYPRINUS_CARPIO,1.0,13.99,13.99,1.0,13.99
PLATYHELMINTHES,MONOGENEA,1.0,13.99,13.99,1.0,13.99
PLEURONECTIFORMES,GOBIESOCIFORMES,1.0,13.99,13.99,1.0,13.99
POECILIA_MEXICANA,POECILIIDAE,3.0,13.58,13.58,3.0,13.58
POLYARTHRA,BRACHIONUS,1.0,13.99,13.99,1.0,13.99
POPULUS,PLATANUS,1.0,13.99,13.99,1.0,13.99
POTAMOGETON_ILLINOENSIS,PANICUM_HEMITOMON,1.0,13.99,13.99,1.0,13.99
POTAMOGETON_NATANS,CAREX_RIPARIA,1.0,13.99,13.99,1.0,13.99
PSEUDOCHONDROSTOMA_POLYLEPIS,AUSTRALOHEROS_FACETUM,1.0,13.99,13.99,1.0,13.99
PSEUDOCLOEON,BAETIS,1.0,13.99,13.99,1.0,13.99
PSEUDOPLASTYSTOMA,ZUNGARO,1.0,13.99,13.99,1.0,13.99
PSEUDOPLATYSTOMA_CORRUSCANS,SALMINUS_BRASILIENSIS,1.0,13.99,13.99,1.0,13.99
PSEUDORASBORA_PARVA,SANDER_LUCIOPERCA,2.0,13.99,13.99,2.0,13.99
PSEUDOTROPHEUS,MAYLANDIA,1.0,13.99,13.99,1.0,13.99
QUERCUS,POPULUS,1.0,13.99,13.99,1.0,13.99
RADIX_OVATA,MYTILUS_TROSSULUS,1.0,13.99,13.99,1.0,13.99
RANUNCULUS,ZANNICHELLIA,1.0,13.99,13.99,1.0,13.99
ROACH,RUTILUS_RUTILUS,58.0,13.74,13.74,58.0,13.74
SALIX,ALNUS,1.0,13.99,13.99,1.0,13.99
SALMINUS_BRASILIENSIS,BRYCON_ORBIGNYANUS,1.0,13.99,13.99,1.0,13.99
SANDER_VITREUS,SANDER_CANADENSIS,1.0,13.99,13.99,1.0,13.99
SARCOCHEILICHTHYS_PARVUS,ABBOTTINA_TAFANGENSIS,1.0,13.99,13.99,1.0,13.99
SAROTHERODON,OREOCHROMIS,1.0,13.99,13.99,1.0,13.99
SCELOPORUS_UNDULATUS,ROSENBLUM,1.0,13.99,13.99,1.0,13.99
SCHILBE_MULTITAENIATUS,LABEO_BATESII,1.0,13.99,13.99,1.0,13.99
SCORPAENIDAE,SEBASTES,2.0,13.99,13.99,2.0,13.99
SERRA_DA,MANTIQUEIRA,1.0,13.99,13.99,1.0,13.99
SICYOPUS_ZOSTEROPHORUM,SMILOSICYOPUS_CHLOE,2.0,13.67,13.67,2.0,13.67
SIDA_CRYSTALLINA,CERIODAPHNIA,1.0,13.99,13.99,1.0,13.99
SILURIFORMES,AGENEIOSUS,1.0,13.99,13.99,1.0,13.99
SILURUS_ASOTUS,COBITIS_SINENSIS,1.0,13.99,13.99,1.0,13.99
SPARIDAE,MUGILIDAE,1.0,13.99,13.99,1.0,13.99
STUCKENIA,RANUNCULUS,1.0,13.99,13.99,1.0,13.99
TABANIDAE,BLEPHAROCERIDAE,1.0,13.99,13.99,1.0,13.99
THUJA_OCCIDENTALIS,LARIX_LARICINA,1.0,13.99,13.99,1.0,13.99
TILAPIA_THOLLONI,ALESTES_SCHOUTEDENI,1.0,13.99,13.99,1.0,13.99
TRICHOMYCTERUS_CALIENSE,ASTROBLEPUS_CYCLOPUS,1.0,13.99,13.99,1.0,13.99
TROPOCYCLOPS,MESOCYCLOPS,1.0,13.99,13.99,1.0,13.99
TYPHA,PHRAGMITES,1.0,13.99,13.99,1.0,13.99
XENOCHARAX_SPILURUS,BRYCINUS_LONGIPINNIS,1.0,13.99,13.99,1.0,13.99
ZANNICHELLIA,CALLITRICHE,1.0,13.99,13.99,1.0,13.99
